West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),West Coast Games (W-D-L W%),West Coast Goals (Ave.)
26,"Butler, Sam",25y 121d,71 (37-0-34 52.11%),11 (0.15),←,
20,"Cox, Dean",29y 287d,209 (99-1-109 47.61%),105 (0.50),←,
27,"Darling, Jack",18y 336d,7 (4-0-3 57.14%),10 (1.43),←,
5,"Ebert, Brad",21y 43d,61 (16-0-45 26.23%),23 (0.38),←,
3,"Gaff, Andrew",18y 333d,6 (4-0-2 66.67%),2 (0.33),←,
23,"Glass, Darren",30y 1d,203 (101-2-100 50.25%),8 (0.04),←,
25,"Hurn, Shannon",23y 253d,80 (34-0-46 42.50%),21 (0.26),←,
17,"Kennedy, Josh",23y 263d,74 (18-1-55 25.00%),106 (1.43),52 (15-0-37 28.85%),95 (1.83)
2,"LeCras, Mark",24y 258d,82 (33-0-49 40.24%),194 (2.37),←,
21,"Lynch, Quinten",28y 111d,171 (89-0-82 52.05%),231 (1.35),←,
7,"Masten, Chris",22y 13d,43 (12-0-31 27.91%),11 (0.26),←,
35,"McGinnity, Patrick",22y 86d,28 (10-0-18 35.71%),2 (0.07),←,
9,"Naitanui, Nic",21y 11d,38 (12-0-26 31.58%),14 (0.37),←,
6,"Nicoski, Mark",27y 172d,94 (44-0-50 46.81%),30 (0.32),←,
11,"Priddis, Matt",26y 55d,90 (35-0-55 38.89%),24 (0.27),←,
24,"Rosa, Matt",24y 173d,97 (44-0-53 45.36%),28 (0.29),←,
31,"Schofield, Will",22y 111d,41 (13-0-28 31.71%),3 (0.07),←,
37,"Selwood, Adam",27y 14d,140 (70-0-70 50.00%),39 (0.28),←,
10,"Selwood, Scott",21y 49d,50 (15-0-35 30.00%),8 (0.16),←,
12,"Sheppard, Brad",19y 357d,18 (6-0-12 33.33%),2 (0.11),←,
13,"Shuey, Luke",20y 347d,13 (4-0-9 30.77%),13 (1.00),←,
28,"Smith, Ashley",20y 299d,11 (3-0-8 27.27%),2 (0.18),←,
Totals,Totals,23y 234d,1627 (703-4-920 43.21%),887 (0.55),,
C,"Worsfold, John",42y 232d,217 (110-2-105 51.15%),,←,
