West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
1,"Brown, Mitch",4,4,5,9,,,,3.0,1.0,1.0,,2.0,,2.0,,4.0,5.0,1.0,,3.0,,,90.0
26,"Butler, Sam",12,2,6,18,,,,2.0,1.0,2.0,1.0,2.0,,2.0,,5.0,11.0,1.0,,,,,75.0
20,"Cox, Dean",8,2,1,9,,1.0,28.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,,5.0,3.0,,,1.0,,1.0,79.0
27,"Darling, Jack",6,3,1,7,2,,,3.0,,3.0,,1.0,3.0,1.0,,5.0,2.0,1.0,,1.0,,,90.0
3,"Gaff, Andrew",13,5,8,21,,1.0,,3.0,2.0,3.0,3.0,1.0,,,,5.0,16.0,,1.0,1.0,1.0,,89.0
43,"Hams, Ashton",6,3,6,12,1,,,4.0,,2.0,,2.0,1.0,1.0,,5.0,7.0,,1.0,,,,85.0
33,"Hill, Josh",5,3,2,7,,1.0,,2.0,,1.0,1.0,1.0,,1.0,,4.0,3.0,,,1.0,,1.0,92.0
25,"Hurn, Shannon",5,2,,5,1,1.0,,2.0,2.0,,2.0,,,,,2.0,3.0,,,4.0,,,81.0
4,"Kerr, Daniel",15,4,21,36,,,,2.0,2.0,3.0,11.0,2.0,2.0,,,21.0,15.0,,,1.0,1.0,,89.0
21,"Lynch, Quinten",6,5,4,10,1,,,1.0,,3.0,1.0,1.0,,1.0,,6.0,4.0,2.0,1.0,5.0,,,94.0
16,"Mackenzie, Eric",2,1,3,5,,,4.0,3.0,1.0,,,2.0,1.0,2.0,,1.0,4.0,,,7.0,,,97.0
7,"Masten, Chris",12,2,8,20,,1.0,,5.0,1.0,4.0,2.0,2.0,1.0,,,8.0,14.0,,,1.0,,,80.0
35,"McGinnity, Patrick",9,2,7,16,,1.0,,3.0,2.0,4.0,1.0,1.0,1.0,,,6.0,10.0,,,1.0,,,86.0
9,"Naitanui, Nic",3,1,5,8,1,,25.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,,8.0,1.0,1.0,,4.0,,,80.0
11,"Priddis, Matt",4,5,15,19,,,,8.0,2.0,2.0,5.0,2.0,,2.0,,12.0,8.0,,,1.0,,,87.0
31,"Schofield, Will",6,6,3,9,,,4.0,3.0,3.0,,,1.0,1.0,,,4.0,5.0,1.0,,5.0,,,92.0
37,"Selwood, Adam",10,5,8,18,,,,2.0,5.0,,,1.0,1.0,,,9.0,9.0,1.0,,2.0,,,90.0
10,"Selwood, Scott",14,8,9,23,,,,6.0,1.0,2.0,3.0,3.0,,2.0,,4.0,19.0,,,1.0,,1.0,86.0
5 ↓,"Sheppard, Brad",2,1,2,4,,,,,,1.0,,1.0,,1.0,,,4.0,,,,,,49.0
13,"Shuey, Luke",5,2,6,11,,1.0,,3.0,1.0,,2.0,3.0,2.0,3.0,,4.0,7.0,1.0,,1.0,,,78.0
15 ↑,"Swift, Tom",4,2,1,5,,,,1.0,,2.0,,,,,,,5.0,,,1.0,,,32.0
8,"Waters, Beau",12,7,11,23,,,,4.0,2.0,1.0,,3.0,,1.0,,5.0,16.0,2.0,,4.0,,,82.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,163,75,132,295,6,12.0,61.0,64.0,30.0,36.0,35.0,34.0,19.0,22.0,,123.0,171.0,11.0,3.0,45.0,2.0,3.0,
Opposition,Opposition,227,89,102,329,17,11.0,38.0,72.0,27.0,56.0,49.0,49.0,22.0,19.0,6.0,162.0,159.0,12.0,11.0,43.0,6.0,8.0,
