Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
1,"Ballantyne, Hayden",16,9,1,17,2,2.0,,2.0,,5.0,1.0,2.0,,2.0,1.0,4.0,13.0,,2.0,2.0,,2.0,87.0
21,"Barlow, Michael",9,5,12,21,1,,,2.0,1.0,2.0,3.0,3.0,3.0,1.0,,7.0,15.0,,2.0,,,,71.0
30,"Clarke, Zac",7,5,7,14,3,,3.0,2.0,,,1.0,,2.0,,,6.0,8.0,1.0,2.0,2.0,,,83.0
15,"Crowley, Ryan",9,6,2,11,1,,,5.0,,3.0,3.0,,,,,3.0,9.0,,1.0,1.0,,,82.0
17,"Crozier, Hayden",6,3,7,13,,1.0,,2.0,,2.0,1.0,,,,,8.0,6.0,1.0,,,4.0,,73.0
3 ↓,"Dawson, Zac",1,1,4,5,,,,1.0,1.0,,,1.0,1.0,1.0,,3.0,2.0,,,2.0,,,41.0
9,"de Boer, Matt",12,10,11,23,1,,,3.0,1.0,3.0,1.0,2.0,1.0,,,6.0,17.0,,,,,,83.0
41,"Duffield, Paul",18,10,6,24,,,,6.0,7.0,2.0,3.0,1.0,1.0,1.0,,5.0,17.0,1.0,,2.0,,,92.0
7,"Fyfe, Nat",11,6,15,26,1,1.0,,5.0,1.0,,3.0,1.0,1.0,1.0,,7.0,19.0,1.0,1.0,,1.0,,85.0
37,"Johnson, Michael",15,8,7,22,,,,1.0,3.0,3.0,,1.0,,,,8.0,14.0,1.0,,4.0,2.0,,100.0
23,"Mayne, Chris",7,4,8,15,1,,,6.0,1.0,2.0,,,,,,5.0,9.0,1.0,1.0,1.0,,,90.0
18,"McPharlin, Luke",12,9,10,22,,,1.0,3.0,4.0,1.0,,4.0,,2.0,,6.0,15.0,2.0,,2.0,1.0,,87.0
16,"Mundy, David",16,4,10,26,,,,6.0,2.0,2.0,4.0,5.0,,3.0,,7.0,21.0,,,1.0,,1.0,79.0
13,"Mzungu, Tendai",14,7,5,19,,1.0,,4.0,2.0,1.0,1.0,,,,,4.0,14.0,2.0,1.0,2.0,,,90.0
27,"Neale, Lachie",11,4,21,32,1,,1.0,2.0,1.0,3.0,4.0,2.0,3.0,1.0,3.0,13.0,19.0,1.0,,1.0,,1.0,69.0
29,"Pavlich, Matthew",8,6,6,14,,,,2.0,,2.0,,1.0,2.0,,,7.0,7.0,2.0,,,,,93.0
46,"Pearce, Clancee",11,9,4,15,,1.0,,2.0,,,,1.0,,,,4.0,12.0,,,3.0,,,86.0
6,"Pearce, Danyle",17,5,7,24,,,,3.0,,7.0,5.0,4.0,,,,7.0,17.0,,,1.0,,1.0,83.0
31,"Sandilands, Aaron",4,6,17,21,,,38.0,2.0,2.0,1.0,2.0,,1.0,,2.0,10.0,9.0,5.0,,3.0,,,82.0
34,"Spurr, Lee",10,7,7,17,,,,2.0,,1.0,,,1.0,,,2.0,15.0,,,,1.0,,100.0
8 ↑,"Suban, Nick",6,2,6,12,,,,,,1.0,1.0,2.0,1.0,2.0,,5.0,7.0,,,,,3.0,42.0
33,"Sutcliffe, Cam",16,7,9,25,,,,6.0,3.0,3.0,,3.0,,1.0,,4.0,21.0,,,1.0,,,100.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,236,133,182,418,11,7.0,43.0,67.0,29.0,44.0,33.0,33.0,17.0,15.0,6.0,131.0,286.0,18.0,10.0,28.0,9.0,8.0,
Opposition,Opposition,168,80,139,307,7,12.0,27.0,80.0,29.0,37.0,28.0,43.0,15.0,16.0,,114.0,192.0,11.0,4.0,42.0,18.0,4.0,
