West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),West Coast Games (W-D-L W%),West Coast Goals (Ave.)
37,"Barrass, Tom",21y 281d,26 (17-1-8 67.31%),,←,
15,"Cripps, Jamie",25y 84d,111 (63-1-47 57.21%),132 (1.19),95 (55-1-39 58.42%),116 (1.22)
27,"Darling, Jack",25y 33d,143 (87-1-55 61.19%),258 (1.80),←,
14,"Duggan, Liam",20y 217d,38 (24-0-14 63.16%),6 (0.16),←,
3,"Gaff, Andrew",25y 30d,148 (90-1-57 61.15%),54 (0.36),←,
25,"Hurn, Shannon",29y 315d,215 (122-1-92 56.98%),49 (0.23),←,
34,"Hutchings, Mark",26y 52d,67 (39-1-27 58.96%),33 (0.49),←,
23,"Jetta, Lewis",28y 73d,148 (97-2-49 66.22%),113 (0.76),21 (13-0-8 61.90%),14 (0.67)
17,"Kennedy, Josh",29y 325d,199 (96-2-101 48.74%),487 (2.45),177 (93-1-83 52.82%),476 (2.69)
2,"LeCras, Mark",30y 320d,190 (105-1-84 55.53%),400 (2.11),←,
7,"Masten, Chris",28y 75d,173 (93-1-79 54.05%),60 (0.35),←,
20,"McGovern, Jeremy",25y 92d,71 (46-0-25 64.79%),27 (0.38),←,
1,"Mitchell, Sam",34y 277d,322 (198-1-123 61.65%),68 (0.21),15 (9-0-6 60.00%),1 (0.07)
30,"Nelson, Jackson",21y 123d,28 (20-0-8 71.43%),1 (0.04),←,
21,"Petrie, Drew",34y 274d,324 (163-3-158 50.77%),439 (1.35),8 (4-0-4 50.00%),11 (1.38)
11,"Priddis, Matt",32y 117d,234 (122-1-111 52.35%),70 (0.30),←,
8,"Redden, Jack",26y 219d,155 (62-1-92 40.32%),58 (0.37),26 (18-0-8 69.23%),6 (0.23)
31,"Schofield, Will",28y 173d,161 (89-1-71 55.59%),22 (0.14),←,
4,"Sheed, Dom",22y 97d,52 (32-1-19 62.50%),20 (0.38),←,
5,"Sheppard, Brad",26y 54d,123 (68-1-54 55.69%),17 (0.14),←,
13,"Shuey, Luke",27y 44d,149 (93-1-55 62.75%),117 (0.79),←,
19,"Vardy, Nathan",26y 21d,41 (26-1-14 64.63%),32 (0.78),16 (9-0-7 56.25%),7 (0.44)
Totals,Totals,27y 34d,3118 (1752-23-1343 56.19%),2463 (0.79),,
C,"Simpson, Adam",41y 150d,86 (54-1-31 63.37%),,←,
