Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
11,"Aish, James",29y 142d,184 (86-2-96 47.28%),33 (0.18),102 (53-2-47 52.94%),10 (0.10)
24,"Amiss, Jye",21y 242d,50 (24-1-25 49.00%),86 (1.72),←,
41,"Banfield, Bailey",27y 32d,100 (47-2-51 48.00%),64 (0.64),←,
15,"Bolton, Shai",26y 112d,137 (69-4-64 51.82%),165 (1.20),2 (1-0-1 50.00%),
8,"Brayshaw, Andrew",25y 142d,149 (69-2-78 46.98%),51 (0.34),←,
5,"Chapman, Heath",23y 58d,45 (25-2-18 57.78%),2 (0.04),←,
6,"Clark, Jordan",24y 165d,105 (60-2-43 58.10%),23 (0.22),73 (39-2-32 54.79%),8 (0.11)
36,"Cox, Brennan",26y 229d,114 (51-1-62 45.18%),32 (0.28),←,
37,"Draper, Josh",21y 49d,23 (10-1-12 45.65%),,←,
43,"Dudley, Isaiah",21y 334d,1 (1-0-0 100.00%),2 (2.00),←,
28,"Erasmus, Neil",21y 118d,25 (11-0-14 44.00%),2 (0.08),←,
32,"Frederick, Michael",24y 317d,81 (46-1-34 57.41%),89 (1.10),←,
9,"Jackson, Luke",23y 182d,101 (60-2-39 60.40%),75 (0.74),49 (23-1-25 47.96%),45 (0.92)
44,"Johnson, Matthew",22y 14d,40 (17-1-22 43.75%),8 (0.20),←,
30,"ODriscoll, Nathan",22y 317d,27 (16-0-11 59.26%),13 (0.48),←,
25,"Pearce, Alex",29y 294d,125 (60-2-63 48.80%),5 (0.04),←,
16,"Reid, Murphy",18y 243d,3 (1-0-2 33.33%),4 (1.33),←,
13,"Ryan, Luke",29y 52d,158 (74-2-82 47.47%),3 (0.02),←,
3,"Serong, Caleb",24y 49d,106 (54-2-50 51.89%),31 (0.29),←,
14,"Sharp, Jeremy",23y 229d,49 (21-1-27 43.88%),17 (0.35),26 (13-1-12 51.92%),10 (0.38)
35,"Treacy, Josh",22y 238d,59 (33-1-25 56.78%),82 (1.39),←,
20,"Voss, Patrick",21y 274d,9 (3-0-6 33.33%),9 (1.00),←,
23,"Worner, Karl",22y 287d,10 (5-0-5 50.00%),,←,
Totals,Totals,24y 36d,1701 (843-29-829 49.56%),796 (0.47),,
C,"Longmuir, Justin",44y 68d,110 (54-2-54 50.00%),,←,
