Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
41,"Banfield, Bailey",4,1,9,13,,,,9.0,,2.0,1.0,1.0,3.0,1.0,,6.0,8.0,,,2.0,,1.0,67.0
8,"Brayshaw, Andrew",5,,8,13,,1.0,,10.0,,2.0,1.0,3.0,1.0,,,7.0,6.0,,,2.0,,,69.0
5,"Cerra, Adam",9,2,5,14,,,,,5.0,1.0,1.0,3.0,1.0,,,5.0,8.0,,,1.0,,,81.0
33,"Colyer, Travis",11,3,9,20,2,1.0,,3.0,1.0,4.0,3.0,4.0,,1.0,,9.0,13.0,,1.0,,,,75.0
6,"Conca, Reece",15,5,6,21,,,,,7.0,,,5.0,,2.0,,6.0,12.0,,,6.0,,,84.0
4,"Darcy, Sean",3,,3,6,,,37.0,2.0,1.0,,3.0,4.0,,2.0,,6.0,1.0,,,1.0,,,80.0
7,"Fyfe, Nat",16,10,15,31,,,,3.0,1.0,3.0,9.0,3.0,2.0,1.0,2.0,17.0,15.0,2.0,1.0,2.0,,,85.0
21,"Hamling, Joel",5,2,4,9,,,,2.0,5.0,,,1.0,1.0,,,4.0,5.0,,,8.0,,,100.0
9,"Hill, Bradley",25,6,7,32,,1.0,,5.0,8.0,6.0,5.0,5.0,1.0,,,11.0,17.0,,1.0,2.0,1.0,2.0,91.0
11,"Hogan, Jesse",8,3,13,21,,,,3.0,1.0,4.0,3.0,1.0,1.0,,,12.0,9.0,,,2.0,,1.0,83.0
15,"Hughes, Ethan",9,5,5,14,,,,1.0,4.0,,4.0,2.0,,2.0,,6.0,9.0,1.0,,8.0,,,86.0
26,"Langdon, Ed",19,8,7,26,,,,1.0,6.0,3.0,3.0,5.0,,2.0,,10.0,16.0,1.0,,1.0,,,87.0
37,"Lobb, Rory",4,1,3,7,1,1.0,11.0,2.0,,1.0,1.0,2.0,2.0,,,5.0,4.0,,,1.0,,,86.0
23,"McCarthy, Cam",9,3,3,12,2,,,1.0,1.0,2.0,1.0,3.0,,2.0,,2.0,9.0,,2.0,,,,87.0
16,"Mundy, David",7,1,8,15,,,,3.0,1.0,3.0,2.0,3.0,,1.0,,6.0,9.0,,,,,,66.0
25,"Pearce, Alex",5,,7,12,,,,1.0,2.0,1.0,,5.0,,3.0,,8.0,4.0,,,4.0,,,92.0
38,"Ryan, Luke",10,2,5,15,,,,3.0,2.0,3.0,,1.0,,,,4.0,8.0,1.0,,,,1.0,77.0
28,"Schultz, Lachie",6,1,7,13,,1.0,,3.0,1.0,2.0,2.0,4.0,,,,6.0,7.0,,,2.0,,,67.0
20,"Taberner, Matthew",12,8,6,18,2,,,2.0,,3.0,,1.0,,,,7.0,10.0,2.0,2.0,2.0,,1.0,92.0
18,"Tucker, Darcy",5,4,11,16,,,,2.0,1.0,1.0,3.0,1.0,,1.0,,7.0,10.0,,,2.0,,,75.0
10,"Walters, Michael",7,3,1,8,1,2.0,,4.0,,2.0,1.0,2.0,2.0,1.0,,4.0,4.0,,1.0,2.0,,,89.0
14,"Wilson, Nathan",14,3,6,20,,,,1.0,8.0,3.0,,,1.0,,,5.0,11.0,,,1.0,,,81.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,208,71,148,356,8,10.0,48.0,61.0,55.0,46.0,43.0,59.0,15.0,19.0,2.0,153.0,195.0,7.0,8.0,49.0,1.0,6.0,
Opposition,Opposition,245,97,169,414,7,19.0,42.0,63.0,37.0,67.0,38.0,64.0,19.0,15.0,4.0,172.0,243.0,8.0,13.0,64.0,9.0,4.0,
