Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
1,"Ballantyne, Hayden",30y 272d,155 (88-1-66 57.10%),235 (1.52),←,
41,"Banfield, Bailey",20y 47d,4 (2-0-2 50.00%),1 (0.25),←,
19,"Blakely, Connor",22y 43d,37 (13-0-24 35.14%),2 (0.05),←,
8,"Brayshaw, Andrew",18y 157d,4 (2-0-2 50.00%),,←,
5,"Cerra, Adam",18y 189d,3 (2-0-1 66.67%),2 (0.67),←,
12,"Crowden, Mitch",18y 351d,3 (2-0-1 66.67%),1 (0.33),←,
7,"Fyfe, Nat",26y 208d,142 (82-1-59 58.10%),125 (0.88),←,
21,"Hamling, Joel",25y 5d,48 (26-0-22 54.17%),,25 (10-0-15 40.00%),
32,"Hill, Stephen",27y 348d,193 (101-0-92 52.33%),110 (0.57),←,
37,"Johnson, Michael",33y 176d,235 (125-1-109 53.40%),65 (0.28),←,
3,"Matera, Brandon",26y 34d,105 (33-1-71 31.90%),129 (1.23),4 (2-0-2 50.00%),5 (1.25)
23,"McCarthy, Cam",23y 13d,44 (21-0-23 47.73%),66 (1.50),23 (9-0-14 39.13%),30 (1.30)
16,"Mundy, David",32y 268d,276 (145-1-130 52.72%),114 (0.41),←,
27,"Neale, Lachie",24y 325d,117 (59-0-58 50.43%),57 (0.49),←,
25,"Pearce, Alex",22y 309d,25 (11-0-14 44.00%),3 (0.12),←,
38,"Ryan, Luke",22y 67d,15 (4-0-11 26.67%),,←,
31,"Sandilands, Aaron",35y 129d,258 (144-0-114 55.81%),95 (0.37),←,
11,"Sheridan, Tom",24y 168d,70 (36-0-34 51.43%),23 (0.33),←,
20,"Taberner, Matthew",24y 301d,57 (27-0-30 47.37%),57 (1.00),←,
18,"Tucker, Darcy",21y 81d,33 (9-0-24 27.27%),11 (0.33),←,
10,"Walters, Michael",27y 97d,115 (62-1-52 54.35%),203 (1.77),←,
14,"Wilson, Nathan",25y 97d,81 (42-2-37 53.09%),17 (0.21),4 (2-0-2 50.00%),1 (0.25)
Totals,Totals,25y 35d,2020 (1036-8-976 51.29%),1316 (0.65),,
C,"Lyon, Ross",51y 157d,266 (157-5-104 59.96%),,145 (81-1-63 56.21%),
