Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
9,"Bizzell, Clint",22y 56d,20 (6-0-14 30.00%),7 (0.35),←,
8,"Burns, Ronnie",25y 163d,65 (35-1-29 54.62%),113 (1.74),←,
2,"Colbert, Leigh",23y 77d,104 (61-1-42 59.13%),48 (0.46),←,
33,"Corrigan, Paul",21y 24d,31 (16-0-15 51.61%),4 (0.13),←,
19,"Hall, Derek",27y 267d,68 (39-1-28 58.09%),71 (1.04),66 (37-1-28 56.82%),68 (1.03)
32,"Hocking, Garry",29y 319d,223 (127-2-94 57.40%),209 (0.94),←,
1,"King, Steven",19y 274d,45 (21-0-24 46.67%),12 (0.27),←,
29,"Lowther, Daniel",21y 126d,17 (9-0-8 52.94%),3 (0.18),←,
18,"Lynch, Paul",24y 309d,50 (33-0-17 66.00%),38 (0.76),←,
21,"Mansfield, Michael",27y 15d,162 (93-1-68 57.72%),86 (0.53),←,
38,"McKay, Joel",19y 38d,1 (0-0-1 0.00%),,←,
31,"Mensch, David",26y 9d,96 (62-0-34 64.58%),88 (0.92),←,
39,"Milburn, Darren",21y 130d,24 (8-0-16 33.33%),9 (0.38),←,
34,"Rahilly, James",19y 69d,16 (7-0-9 43.75%),2 (0.13),←,
15,"Riccardi, Peter",25y 249d,144 (87-1-56 60.76%),144 (1.00),←,
11,"Roberts, Cameron",19y 350d,10 (2-0-8 20.00%),1 (0.10),←,
27,"Sanderson, Brenton",24y 177d,86 (46-1-39 54.07%),22 (0.26),76 (44-1-31 58.55%),17 (0.22)
12,"Sholl, Brad",25y 286d,90 (52-1-37 58.33%),28 (0.31),88 (52-1-35 59.66%),28 (0.32)
24,"Simpson, Hamish",22y 218d,8 (2-0-6 25.00%),,←,
14,"Spinks, Brett",24y 289d,39 (20-0-19 51.28%),48 (1.23),18 (8-0-10 44.44%),34 (1.89)
20,"Steinfort, Carl",21y 144d,33 (18-0-15 54.55%),13 (0.39),←,
42,"Wood, Justin",18y 248d,6 (2-0-4 33.33%),5 (0.83),←,
Totals,Totals,23y 91d,1338 (746-9-583 55.75%),951 (0.71),,
C,"Ayres, Gary",37y 329d,93 (54-1-38 58.60%),,←,
