Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
3,"Bartel, Jimmy",29y 290d,249 (175-2-72 70.68%),164 (0.66),←,
46,"Blicavs, Mark",22y 176d,22 (16-0-6 72.73%),7 (0.32),←,
23,"Caddy, Josh",20y 357d,42 (16-0-26 38.10%),28 (0.67),18 (13-0-5 72.22%),11 (0.61)
28,"Christensen, Allen",22y 124d,57 (43-0-14 75.44%),50 (0.88),←,
11,"Corey, Joel",31y 215d,276 (182-2-92 66.30%),79 (0.29),←,
22,"Duncan, Mitch",22y 102d,76 (59-0-17 77.63%),64 (0.84),←,
29,"Guthrie, Cameron",21y 32d,40 (28-0-12 70.00%),6 (0.15),←,
26,"Hawkins, Tom",25y 61d,123 (97-0-26 78.86%),218 (1.77),←,
8,"Hunt, Josh",31y 190d,198 (134-1-63 67.93%),29 (0.15),←,
20,"Johnson, Steve",30y 78d,215 (155-2-58 72.56%),405 (1.88),←,
9,"Kelly, James",29y 265d,233 (159-1-73 68.45%),87 (0.37),←,
13,"Lonergan, Tom",29y 126d,122 (91-1-30 75.00%),51 (0.42),←,
4,"Mackie, Andrew",29y 44d,198 (152-0-46 76.77%),85 (0.43),←,
32,"Motlop, Steven",22y 192d,51 (35-0-16 68.63%),72 (1.41),←,
21,"Murdoch, Jordan",21y 181d,19 (14-0-5 73.68%),15 (0.79),←,
31,"Podsiadly, James",32y 10d,83 (62-0-21 74.70%),169 (2.04),←,
25,"Rivers, Jared",28y 337d,160 (62-3-95 39.69%),18 (0.11),10 (8-0-2 80.00%),
14,"Selwood, Joel",25y 117d,160 (130-0-30 81.25%),91 (0.57),←,
27,"Stokes, Mathew",28y 302d,155 (122-0-33 78.71%),192 (1.24),←,
7,"Taylor, Harry",27y 100d,136 (107-0-29 78.68%),38 (0.28),←,
5,"Varcoe, Travis",25y 163d,115 (98-0-17 85.22%),121 (1.05),←,
30,"Vardy, Nathan",22y 87d,21 (15-0-6 71.43%),19 (0.90),←,
Totals,Totals,26y 128d,2751 (1952-12-787 70.96%),2008 (0.73),,
C,"Scott, Chris",37y 140d,73 (56-0-17 76.71%),,←,
