Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
3,"Bartram, Clint",7,3,8,15,,,,4.0,,3.0,1.0,3.0,1.0,1.0,,6.0,10.0,,,2.0,,,82.0
6,"Bate, Matthew",3,1,4,7,,1.0,1.0,3.0,,1.0,2.0,3.0,,,,2.0,5.0,,,2.0,,,88.0
32,"Bruce, Cameron",14,5,11,25,,,,4.0,1.0,4.0,5.0,3.0,3.0,2.0,,11.0,13.0,,1.0,3.0,,,80.0
1,"Buckley, Simon",9,5,9,18,,1.0,,4.0,4.0,3.0,,4.0,,3.0,,2.0,16.0,,,1.0,,,75.0
41,"Carroll, Nathan",4,4,13,17,,,,,4.0,,,2.0,,1.0,,3.0,14.0,,,7.0,,,93.0
14,"Dunn, Lynden",4,2,6,10,,,,2.0,1.0,2.0,,6.0,,4.0,,2.0,8.0,,,,,,74.0
8,"Frawley, James",12,4,5,17,,,,1.0,3.0,1.0,1.0,2.0,,,,6.0,11.0,,,2.0,1.0,,76.0
18,"Green, Brad",17,7,10,27,,1.0,1.0,5.0,4.0,6.0,,3.0,1.0,1.0,,4.0,22.0,1.0,,1.0,,1.0,85.0
17,"Johnson, Chris",6,3,7,13,1,,,1.0,1.0,1.0,2.0,5.0,,4.0,,6.0,7.0,1.0,1.0,1.0,,,83.0
11,"Johnson, Paul",10,6,5,15,1,,10.0,3.0,,2.0,1.0,1.0,2.0,,,7.0,7.0,,,5.0,,1.0,87.0
2,"Jones, Nathan",5,2,12,17,,,,5.0,1.0,,2.0,1.0,1.0,,,6.0,11.0,,,2.0,,,82.0
19,"Maric, Addam",16,5,7,23,,1.0,,1.0,,4.0,,4.0,,,,3.0,19.0,,,1.0,1.0,,84.0
33,"Martin, Stefan",7,6,10,17,,,,1.0,4.0,,1.0,1.0,,1.0,,9.0,7.0,2.0,,2.0,,,89.0
23,"McDonald, James",10,2,12,22,,1.0,3.0,4.0,,3.0,7.0,1.0,3.0,,,10.0,11.0,,,4.0,,,70.0
10,"Morton, Cale",7,7,7,14,,,,2.0,,3.0,,5.0,,1.0,,4.0,10.0,,,3.0,,,70.0
12,"Sylvia, Colin",8,5,12,20,,,3.0,6.0,1.0,3.0,,1.0,,,,9.0,11.0,,,3.0,,,90.0
44,"Valenti, Shane",9,2,7,16,2,1.0,,3.0,,2.0,2.0,3.0,4.0,1.0,,9.0,6.0,1.0,1.0,2.0,,,73.0
37,"Warnock, Matthew",3,5,10,13,,,,,2.0,,,4.0,,1.0,,6.0,7.0,1.0,,4.0,,,89.0
31,"Wheatley, Paul",20,6,7,27,,,,3.0,8.0,5.0,2.0,4.0,,,,2.0,22.0,,,1.0,,,81.0
45,"Whelan, Matthew",15,9,16,31,,,,4.0,5.0,1.0,,4.0,2.0,4.0,,9.0,22.0,,,4.0,1.0,,82.0
34,"White, Jeff",6,4,10,16,,1.0,11.0,2.0,2.0,,,4.0,,3.0,,3.0,13.0,,,1.0,,,89.0
39,"Wonaeamirri, Austin",4,4,3,7,1,,,4.0,,,,1.0,2.0,,,3.0,5.0,,,,,,78.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,196,97,191,387,5,11.0,29.0,62.0,41.0,44.0,26.0,65.0,19.0,27.0,,122.0,257.0,6.0,3.0,51.0,3.0,2.0,
Opposition,Opposition,235,104,234,469,24,13.0,43.0,77.0,37.0,69.0,41.0,54.0,27.0,19.0,6.0,157.0,313.0,9.0,18.0,51.0,9.0,21.0,
