Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Archer, Glenn",12,3.0,2.0,14,,,,4.0,4.0,2.0,3.0,,,4.0,3.0,8,3.0,2.0,,4.0,,,
12,"Blakey, John",14,7.0,5.0,19,,,,1.0,3.0,3.0,4.0,6.0,1.0,,,8,9.0,,,3.0,,,
22,"Burton, Matthew",8,1.0,4.0,12,,,35.0,2.0,,,1.0,2.0,1.0,,,6,4.0,,,,,,
18,"Carey, Wayne",13,4.0,4.0,17,1.0,1.0,,2.0,,5.0,,1.0,1.0,2.0,,9,4.0,1.0,1.0,2.0,,,
23,"Clayton, Shane",4,,1.0,5,,,,5.0,1.0,1.0,1.0,,,,,3,1.0,,,1.0,,,
45,"Cochrane, Stuart",3,1.0,2.0,5,,,,8.0,,,,,,,,2,2.0,,,2.0,,,
2,"Colbert, Leigh",15,4.0,4.0,19,,,3.0,4.0,2.0,3.0,6.0,1.0,3.0,2.0,,11,8.0,1.0,,5.0,,,
6,"Grant, Shannon",8,4.0,7.0,15,1.0,3.0,,2.0,,,1.0,2.0,1.0,1.0,,10,4.0,1.0,4.0,1.0,,,
14,"Harris, Daniel",2,,1.0,3,,,,1.0,,1.0,1.0,2.0,,,,3,,,,,,,
29,"Harvey, Brent",22,4.0,4.0,26,1.0,4.0,,1.0,6.0,7.0,4.0,1.0,3.0,,2.0,12,10.0,,2.0,,2.0,,
21,"Jones, Corey",9,,,9,,,,2.0,,3.0,3.0,1.0,,1.0,,7,1.0,,,1.0,,,
34,"King, David",18,4.0,5.0,23,3.0,2.0,1.0,2.0,8.0,4.0,3.0,1.0,2.0,3.0,1.0,13,8.0,,,,1.0,,
35,"Makepeace, Troy",9,4.0,1.0,10,,,,3.0,5.0,,2.0,1.0,1.0,,,5,2.0,2.0,,3.0,,,
4,"Martyn, Mick",11,1.0,2.0,13,,,,,1.0,4.0,1.0,2.0,,1.0,,9,3.0,,,2.0,,,
5,"McCartney, Jason",14,1.0,5.0,19,,,1.0,,3.0,1.0,2.0,1.0,1.0,,,13,4.0,,,1.0,,,
31,"McKernan, Corey",8,4.0,1.0,9,,,8.0,1.0,,1.0,1.0,4.0,1.0,4.0,,4,3.0,1.0,,3.0,,,
28,"Pickett, Byron",9,2.0,4.0,13,,1.0,1.0,7.0,3.0,2.0,3.0,2.0,,1.0,,7,3.0,,,2.0,,,
3,"Rawlings, Brady",2,,,2,,,,,,,,,,,,1,,,,,,,
7,"Simpson, Adam",18,2.0,4.0,22,,,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,,10,8.0,,,3.0,,,
9,"Sinclair, Jess",9,,1.0,10,,,,4.0,,1.0,3.0,,2.0,,,6,6.0,,,,,,
10,"Stevens, Anthony",18,1.0,7.0,25,,,,6.0,,6.0,4.0,4.0,5.0,1.0,,18,3.0,,,4.0,,,
36,"Watt, Shannon",1,,1.0,2,1.0,,,4.0,,,,,,1.0,,1,,,,1.0,,,
Totals,Totals,227,47.0,65.0,292,7.0,11.0,50.0,61.0,39.0,46.0,45.0,32.0,23.0,23.0,6.0,166,86.0,8.0,7.0,38.0,3.0,,
Opposition,Opposition,198,39.0,60.0,258,4.0,9.0,46.0,44.0,33.0,49.0,45.0,29.0,23.0,23.0,,153,92.0,4.0,4.0,41.0,,,
