Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",33y 15d,276 (165-0-111 59.78%),139 (0.50),←,
16,"Brown, Leigh",24y 44d,131 (54-1-76 41.60%),51 (0.39),68 (35-1-32 52.21%),31 (0.46)
24,"Firrito, Michael",22y 132d,43 (23-0-20 53.49%),9 (0.21),←,
38,"Gibson, Josh",22y 26d,2 (1-0-1 50.00%),,←,
6,"Grant, Shannon",28y 354d,239 (136-2-101 57.32%),274 (1.15),181 (104-1-76 57.73%),236 (1.30)
15,"Green, Kasey",26y 210d,56 (22-1-33 40.18%),8 (0.14),2 (1-0-1 50.00%),
31,"Hale, David",21y 321d,39 (18-0-21 46.15%),18 (0.46),←,
39,"Harding, Leigh",24y 347d,72 (38-1-33 53.47%),106 (1.47),←,
4,"Harris, Daniel",23y 333d,71 (37-1-33 52.82%),24 (0.34),←,
29,"Harvey, Brent",27y 329d,196 (114-1-81 58.42%),231 (1.18),←,
21,"Jones, Corey",25y 41d,83 (40-0-43 48.19%),103 (1.24),←,
1,"McIntosh, Hamish",21y 216d,3 (1-0-2 33.33%),1 (0.33),←,
37,"Perry, Joel",20y 294d,1 (0-0-1 0.00%),,←,
20,"Petrie, Drew",23y 175d,87 (43-1-43 50.00%),70 (0.80),←,
30,"Pratt, Daniel",23y 18d,22 (12-0-10 54.55%),1 (0.05),19 (11-0-8 57.89%),
3,"Rawlings, Brady",24y 302d,113 (61-0-52 53.98%),49 (0.43),←,
7,"Simpson, Adam",30y 51d,225 (135-1-89 60.22%),68 (0.30),←,
9,"Sinclair, Jess",27y 225d,142 (55-1-86 39.08%),58 (0.41),92 (42-1-49 46.20%),32 (0.35)
23,"Thompson, Nathan",28y 53d,144 (69-1-74 48.26%),245 (1.70),25 (14-0-11 56.00%),53 (2.12)
12,"Thurley, Cameron",24y 133d,9 (5-0-4 55.56%),12 (1.33),2 (1-0-1 50.00%),
36,"Watt, Shannon",25y 133d,93 (48-1-44 52.15%),4 (0.04),←,
8,"Wells, Daniel",21y 64d,64 (34-1-29 53.91%),40 (0.63),←,
Totals,Totals,25y 24d,2111 (1111-13-987 52.63%),1511 (0.72),,
C,"Laidley, Dani",39y 12d,69 (35-1-33 51.45%),,←,
