Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
3,"Bartel, Jimmy",19,8,8,27,1,1.0,1.0,3.0,3.0,4.0,3.0,2.0,1.0,2.0,,8.0,21.0,1.0,,4.0,,2.0,86.0
46,"Blicavs, Mark",6,5,7,13,,,20.0,4.0,1.0,1.0,,,1.0,,,7.0,6.0,2.0,,2.0,,,82.0
1,"Brown, Mitch",9,7,4,13,,1.0,,,,2.0,,2.0,,1.0,,3.0,10.0,1.0,1.0,1.0,,,81.0
43,"Burbury, George",6,,3,9,1,1.0,,5.0,,3.0,,2.0,1.0,1.0,,2.0,8.0,,,2.0,,1.0,80.0
28,"Christensen, Allen",11,5,16,27,,1.0,,7.0,1.0,5.0,1.0,1.0,1.0,,,5.0,22.0,,,1.0,,,85.0
11,"Corey, Joel",6,5,9,15,,,,3.0,,1.0,1.0,3.0,,1.0,,8.0,8.0,,1.0,3.0,,,89.0
22,"Duncan, Mitch",12,7,9,21,,,1.0,5.0,3.0,3.0,1.0,1.0,1.0,,,6.0,15.0,1.0,,3.0,1.0,1.0,82.0
44,"Enright, Corey",16,10,9,25,,,,1.0,5.0,4.0,1.0,1.0,1.0,,,6.0,17.0,,,,,1.0,93.0
29,"Guthrie, Cameron",9,3,10,19,,,,2.0,,2.0,1.0,3.0,2.0,1.0,,7.0,12.0,,,1.0,,,89.0
26,"Hawkins, Tom",7,5,3,10,6,1.0,,2.0,,1.0,,,1.0,,,7.0,3.0,3.0,5.0,,,,85.0
8 ↑,"Hunt, Josh",,,1,1,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,,24.0
20,"Johnson, Steve",17,7,16,33,1,,,9.0,1.0,7.0,7.0,2.0,1.0,1.0,3.0,14.0,18.0,,1.0,,,2.0,86.0
13,"Lonergan, Tom",,,8,8,,,,1.0,2.0,,,,,,,6.0,2.0,,,1.0,,,92.0
4,"Mackie, Andrew",12,9,11,23,,,,,3.0,,1.0,2.0,,1.0,,5.0,18.0,,,1.0,,,88.0
32,"Motlop, Steven",16,3,5,21,2,,,,1.0,8.0,,2.0,1.0,2.0,1.0,7.0,14.0,,,,7.0,3.0,79.0
31,"Podsiadly, James",11,5,3,14,4,,1.0,1.0,,3.0,,1.0,,,,3.0,10.0,2.0,3.0,,,,88.0
15,"Schroder, Jordan",5,,6,11,2,1.0,,3.0,,1.0,2.0,2.0,,1.0,,7.0,3.0,,,1.0,,,80.0
14 ↓,"Selwood, Joel",10,2,8,18,,,2.0,5.0,,1.0,5.0,,1.0,,,6.0,11.0,,,,,,59.0
27,"Stokes, Mathew",11,6,17,28,,,,5.0,4.0,1.0,2.0,2.0,1.0,1.0,,9.0,18.0,,,,,1.0,89.0
7,"Taylor, Harry",20,10,9,29,,,,1.0,7.0,1.0,,,1.0,,2.0,4.0,22.0,,,7.0,1.0,,89.0
40,"Thurlow, Jackson",4,1,4,8,1,,,,1.0,,,,,,,1.0,8.0,,1.0,1.0,1.0,,85.0
12,"West, Trent",6,3,5,11,,1.0,17.0,,,3.0,1.0,1.0,3.0,1.0,,6.0,7.0,,1.0,6.0,,1.0,88.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,213,101,171,384,18,8.0,42.0,57.0,32.0,51.0,26.0,28.0,17.0,14.0,6.0,128.0,253.0,10.0,13.0,35.0,10.0,12.0,
Opposition,Opposition,198,90,175,373,9,14.0,30.0,55.0,31.0,47.0,35.0,43.0,14.0,17.0,,135.0,238.0,12.0,17.0,31.0,13.0,9.0,
