Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
6,"Barnes, John",6,5,5,11,,,8.0,,2.0,1.0,3.0,2.0,,2.0,,,,,,,,,
9,"Bizzell, Clint",16,9,14,30,2,,,2.0,5.0,4.0,2.0,,5.0,1.0,,,,,,,,,
25,"Brockman, Leigh",3,3,1,4,,,1.0,,1.0,1.0,,,,,,,,,,,,,
2,"Colbert, Leigh",11,4,6,17,1,,3.0,3.0,1.0,2.0,2.0,1.0,5.0,1.0,,,,,,,,,
22,"Hargreaves, Tim",5,1,3,8,,,,3.0,1.0,2.0,1.0,2.0,,1.0,,,,,,,,,
32,"Hocking, Garry",10,2,13,23,,,,1.0,,,8.0,3.0,2.0,3.0,2.0,,,,,,,,
13,"Kilpatrick, Glenn",17,2,3,20,1,,,2.0,,10.0,8.0,,1.0,,,,,,,,,,
1,"King, Steven",10,10,5,15,,,13.0,1.0,4.0,1.0,1.0,,,4.0,,,,,,,,,
21,"Mansfield, Michael",16,9,6,22,,,,,7.0,1.0,,3.0,2.0,1.0,,,,,,,,,
17,"McGrath, Tim",5,6,3,8,,,,2.0,1.0,,,,,,,,,,,,,,
31,"Mensch, David",4,3,4,8,,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,
39,"Milburn, Darren",9,5,4,13,1,1.0,,5.0,,2.0,1.0,1.0,,,,,,,,,,,
34,"Rahilly, James",6,,8,14,,,,,3.0,2.0,3.0,1.0,2.0,2.0,,,,,,,,,
15,"Riccardi, Peter",13,5,7,20,2,3.0,,3.0,,5.0,3.0,,,,,,,,,,,,
27,"Sanderson, Brenton",13,4,1,14,,,,2.0,4.0,3.0,2.0,2.0,2.0,1.0,,,,,,,,,
12,"Sholl, Brad",24,6,4,28,,,,2.0,8.0,4.0,2.0,4.0,,,,,,,,,,,
24,"Simpson, Hamish",2,,,2,,,1.0,,,,,,1.0,,,,,,,,,,
37,"Simpson, Sean",2,,1,3,,,,1.0,,1.0,,,,1.0,,,,,,,,,
4,"Snell, Jason",3,1,2,5,1,,,1.0,,1.0,,2.0,,2.0,,,,,,,,,
14,"Spinks, Brett",2,3,3,5,,1.0,,,,1.0,,,,,,,,,,,,,
20,"Steinfort, Carl",7,4,9,16,,,,,,1.0,2.0,2.0,1.0,1.0,,,,,,,,,
26,"Stoneham, Barry",,,,,,,,,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,184,82,102,286,8,10.0,28.0,29.0,39.0,43.0,40.0,24.0,22.0,22.0,2.0,,,,,,,,
Opposition,Opposition,192,75,97,289,10,7.0,30.0,43.0,31.0,50.0,32.0,24.0,22.0,22.0,4.0,,,,,,,,
