Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
12,"Astbury, David",8,3,5,13,,,,2.0,1.0,1.0,,4.0,,2.0,,8.0,6.0,,,6.0,,,91.0
48,"Baker, Liam",7,3,7,14,,2.0,,2.0,,5.0,,2.0,1.0,2.0,,2.0,12.0,,1.0,,,,77.0
22,"Caddy, Josh",11,5,4,15,,2.0,1.0,9.0,,4.0,3.0,2.0,1.0,1.0,,7.0,9.0,,1.0,1.0,,,86.0
11,"Castagna, Jason",7,1,1,8,2,,1.0,5.0,1.0,,1.0,5.0,,1.0,,4.0,4.0,,1.0,1.0,,,87.0
9,"Cotchin, Trent",16,3,3,19,1,,,9.0,,1.0,4.0,1.0,,,,11.0,7.0,,,4.0,,,77.0
10,"Edwards, Shane",8,3,7,15,,,,5.0,1.0,1.0,5.0,2.0,1.0,1.0,,13.0,4.0,,,2.0,,1.0,76.0
5,"Ellis, Brandon",10,3,8,18,,,,4.0,3.0,1.0,1.0,2.0,1.0,,,9.0,8.0,,,1.0,,,83.0
6,"Grigg, Shaun",11,4,4,15,,,6.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,,4.0,9.0,,,,,,84.0
2,"Grimes, Dylan",6,6,3,9,,,,5.0,2.0,2.0,,2.0,,1.0,,2.0,7.0,1.0,,7.0,,,89.0
28,"Higgins, Jack",11,2,7,18,1,2.0,,2.0,1.0,3.0,4.0,3.0,2.0,1.0,,13.0,5.0,1.0,,3.0,,,63.0
23,"Lambert, Kane",14,6,17,31,,1.0,,7.0,2.0,8.0,4.0,4.0,,1.0,1.0,14.0,17.0,,,3.0,,2.0,86.0
27,"Lloyd, Sam",8,2,9,17,1,,,7.0,1.0,4.0,2.0,2.0,,1.0,,8.0,9.0,,1.0,3.0,,2.0,69.0
4,"Martin, Dustin",23,4,3,26,,2.0,,6.0,1.0,10.0,10.0,3.0,1.0,,,17.0,8.0,1.0,,2.0,1.0,2.0,86.0
33,"McIntosh, Kamdyn",10,2,3,13,1,,,5.0,1.0,3.0,,2.0,1.0,,,7.0,6.0,,,4.0,,,67.0
37,"Menadue, Connor",11,2,7,18,,,,2.0,,1.0,1.0,3.0,,1.0,,9.0,10.0,,,1.0,,,72.0
25,"Nankervis, Toby",15,3,3,18,1,1.0,33.0,3.0,1.0,3.0,4.0,5.0,1.0,2.0,,8.0,6.0,,,2.0,,1.0,81.0
18,"Rance, Alex",6,2,7,13,,,,2.0,1.0,2.0,,2.0,2.0,,,5.0,7.0,,,10.0,,,100.0
8,"Riewoldt, Jack",9,4,1,10,4,1.0,,2.0,,3.0,,4.0,1.0,2.0,,5.0,6.0,2.0,4.0,1.0,,1.0,100.0
17,"Rioli, Daniel",5,2,7,12,,,,4.0,,4.0,,2.0,,1.0,,3.0,9.0,,,,2.0,,83.0
15,"Short, Jayden",12,1,2,14,,,,1.0,3.0,4.0,,2.0,,1.0,,3.0,11.0,,,,1.0,1.0,80.0
21,"Townsend, Jacob",4,1,3,7,1,,1.0,4.0,,2.0,,4.0,,2.0,,2.0,5.0,,,1.0,,,74.0
1,"Vlastuin, Nick",11,4,3,14,,,,2.0,7.0,2.0,,3.0,2.0,2.0,,4.0,9.0,,,,1.0,,88.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,223,66,114,337,12,13.0,42.0,92.0,30.0,68.0,40.0,60.0,15.0,23.0,1.0,158.0,174.0,5.0,8.0,52.0,5.0,10.0,
Opposition,Opposition,200,58,204,404,12,10.0,41.0,73.0,53.0,46.0,47.0,63.0,23.0,15.0,5.0,188.0,227.0,5.0,9.0,75.0,,9.0,
