Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
4,"Ablett, Gary",35y 24d,332 (179-2-151 54.22%),424 (1.28),222 (144-2-76 65.32%),300 (1.35)
30,"Atkins, Tom",23y 262d,11 (10-0-1 90.91%),2 (0.18),←,
46,"Blicavs, Mark",28y 71d,145 (98-2-45 68.28%),36 (0.25),←,
6,"Clark, Jordan",18y 234d,11 (10-0-1 90.91%),6 (0.55),←,
40,"Dahlhaus, Luke",26y 290d,166 (81-0-85 48.80%),117 (0.70),12 (11-0-1 91.67%),7 (0.58)
35,"Dangerfield, Patrick",29y 63d,235 (137-1-97 58.51%),269 (1.14),81 (56-1-24 69.75%),106 (1.31)
22,"Duncan, Mitch",27y 362d,192 (140-1-51 73.18%),139 (0.72),←,
29,"Guthrie, Cameron",26y 292d,149 (99-2-48 67.11%),44 (0.30),←,
26,"Hawkins, Tom",30y 321d,244 (177-2-65 72.95%),533 (2.18),←,
38,"Henry, Jack",20y 282d,33 (22-0-11 66.67%),8 (0.24),←,
11,"Kelly, Tim",24y 316d,35 (24-0-11 68.57%),34 (0.97),←,
8,"Kolodjashnij, Jake",23y 302d,82 (55-2-25 68.29%),,←,
32,"Miers, Gryan",20y 69d,12 (11-0-1 91.67%),15 (1.25),←,
42,"OConnor, Mark",22y 141d,19 (14-0-5 73.68%),1 (0.05),←,
3,"Parfitt, Brandan",21y 41d,45 (32-0-13 71.11%),24 (0.53),←,
17,"Ratugolea, Esava",20y 318d,18 (15-0-3 83.33%),13 (0.72),←,
23,"Rohan, Gary",28y,118 (81-1-36 69.07%),117 (0.99),12 (11-0-1 91.67%),21 (1.75)
14,"Selwood, Joel",31y 12d,282 (210-1-71 74.65%),155 (0.55),←,
1,"Stanley, Rhys",28y 188d,125 (66-1-58 53.20%),81 (0.65),67 (45-1-21 67.91%),41 (0.61)
44,"Stewart, Tom",26y 84d,55 (38-0-17 69.09%),3 (0.05),←,
7,"Taylor, Harry",32y 360d,249 (185-2-62 74.70%),74 (0.30),←,
2,"Tuohy, Zach",29y 179d,174 (83-2-89 48.28%),56 (0.32),54 (35-1-18 65.74%),16 (0.30)
Totals,Totals,26y 92d,2732 (1767-19-946 64.68%),2151 (0.79),,
C,"Scott, Chris",43y 35d,202 (142-2-58 70.79%),,←,
