Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
39,"Aarts, Jake",4,3,3,7,,,,3.0,,,,2.0,1.0,1.0,,3.0,4.0,,2.0,,,,82.0
7,"Baker, Liam",7,3,10,17,,,,1.0,3.0,,,4.0,,1.0,,5.0,12.0,,,2.0,,,83.0
21,"Balta, Noah",6,2,2,8,,,,,3.0,1.0,,1.0,,,,3.0,4.0,,,1.0,,,100.0
29,"Bolton, Shai",10,5,8,18,,1.0,,6.0,1.0,3.0,4.0,7.0,1.0,5.0,3.0,11.0,10.0,,,1.0,4.0,1.0,89.0
11,"Castagna, Jason",6,4,5,11,1,2.0,,3.0,,2.0,,,,,,,11.0,,2.0,,,,89.0
9,"Cotchin, Trent",10,2,5,15,,1.0,,3.0,1.0,1.0,3.0,3.0,1.0,,,6.0,9.0,,1.0,3.0,,,76.0
34,"Graham, Jack",8,2,7,15,,,,3.0,1.0,3.0,3.0,1.0,1.0,,,3.0,12.0,,,2.0,,1.0,90.0
2,"Grimes, Dylan",8,6,8,16,,,,,3.0,,,3.0,,1.0,,9.0,6.0,4.0,,4.0,,,85.0
14,"Houli, Bachar",6,1,4,10,,1.0,,2.0,3.0,1.0,,,,,,2.0,6.0,,1.0,3.0,1.0,,76.0
23,"Lambert, Kane",6,1,6,12,,,,2.0,1.0,4.0,2.0,4.0,,2.0,,7.0,5.0,,,2.0,,1.0,89.0
19,"Lynch, Tom",6,3,3,9,1,2.0,,3.0,,1.0,,3.0,2.0,,,5.0,6.0,1.0,2.0,2.0,,,62.0
31,"Markov, Oleg",3,2,8,11,,,,1.0,,1.0,,1.0,1.0,1.0,,4.0,7.0,,,1.0,1.0,,81.0
4,"Martin, Dustin",13,4,6,19,,3.0,,3.0,,8.0,3.0,5.0,1.0,1.0,1.0,9.0,8.0,2.0,1.0,1.0,,1.0,89.0
33,"McIntosh, Kamdyn",11,3,2,13,,,,1.0,1.0,6.0,,,1.0,,,4.0,9.0,,,2.0,3.0,,82.0
25,"Nankervis, Toby",10,6,2,12,,,16.0,4.0,2.0,2.0,,3.0,1.0,2.0,,4.0,7.0,1.0,,2.0,,,77.0
50,"Pickett, Marlion",5,1,5,10,,1.0,,3.0,1.0,1.0,,2.0,,,,8.0,4.0,,1.0,3.0,,,91.0
8,"Riewoldt, Jack",7,6,3,10,4,,,,1.0,2.0,1.0,2.0,,1.0,2.0,4.0,6.0,2.0,4.0,3.0,,,100.0
17,"Rioli, Daniel",11,5,3,14,1,1.0,,2.0,,2.0,,,1.0,,,4.0,10.0,,,,,,84.0
5,"Ross, Jack",7,3,6,13,,,,4.0,3.0,2.0,,2.0,,,,5.0,10.0,,,1.0,,1.0,71.0
15,"Short, Jayden",10,3,6,16,,1.0,,1.0,8.0,2.0,,1.0,,,,1.0,11.0,,,1.0,6.0,,81.0
20,"Soldo, Ivan",2,1,,2,,,7.0,2.0,,,,2.0,,2.0,,1.0,1.0,,,2.0,,,24.0
1,"Vlastuin, Nick",10,7,5,15,,,,2.0,4.0,,,1.0,,,,5.0,9.0,1.0,,1.0,2.0,,100.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,166,73,107,273,7,15.0,23.0,49.0,36.0,42.0,16.0,47.0,11.0,17.0,6.0,103.0,167.0,11.0,14.0,37.0,17.0,5.0,
Opposition,Opposition,207,111,99,306,4,7.0,20.0,43.0,34.0,40.0,32.0,42.0,17.0,11.0,,117.0,191.0,15.0,7.0,36.0,5.0,4.0,
