Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
30,"Atkins, Tom",24y 359d,34 (23-0-11 67.65%),9 (0.26),←,
24,"Bews, Jed",26y 272d,98 (57-2-39 59.18%),12 (0.12),←,
46,"Blicavs, Mark",29y 167d,174 (115-2-57 66.67%),39 (0.22),←,
45,"Close, Brad",22y 43d,8 (6-0-2 75.00%),2 (0.25),←,
40,"Dahlhaus, Luke",28y 21d,189 (94-0-95 49.74%),130 (0.69),35 (24-0-11 68.57%),20 (0.57)
35,"Dangerfield, Patrick",30y 159d,264 (154-1-109 58.52%),291 (1.10),110 (73-1-36 66.82%),128 (1.16)
22,"Duncan, Mitch",29y 93d,218 (156-1-61 71.79%),158 (0.72),←,
13,"Fogarty, Lachie",21y 163d,23 (13-0-10 56.52%),6 (0.26),←,
29,"Guthrie, Cameron",28y 23d,177 (116-2-59 66.10%),56 (0.32),←,
26,"Hawkins, Tom",32y 52d,272 (194-2-76 71.69%),594 (2.18),←,
25,"Henderson, Lachie",30y 272d,180 (92-2-86 51.67%),114 (0.63),63 (42-1-20 67.46%),10 (0.16)
38,"Henry, Jack",22y 13d,61 (39-0-22 63.93%),8 (0.13),←,
10,"Jarvis, Ben",20y 46d,1 (0-0-1 0.00%),,←,
8,"Kolodjashnij, Jake",25y 33d,105 (68-2-35 65.71%),,←,
27,"Menegola, Sam",28y 188d,81 (52-1-28 64.81%),61 (0.75),←,
32,"Miers, Gryan",21y 165d,41 (28-0-13 68.29%),44 (1.07),←,
42,"OConnor, Mark",23y 238d,46 (30-0-16 65.22%),3 (0.07),←,
3,"Parfitt, Brandan",22y 137d,67 (47-0-20 70.15%),30 (0.45),←,
17,"Ratugolea, Esava",22y 49d,39 (26-0-13 66.67%),27 (0.69),←,
44,"Stewart, Tom",27y 180d,81 (53-0-28 65.43%),3 (0.04),←,
7,"Taylor, Harry",34y 91d,275 (200-2-73 73.09%),75 (0.27),←,
2,"Tuohy, Zach",30y 276d,200 (97-2-101 49.00%),63 (0.31),80 (49-1-30 61.88%),23 (0.29)
Totals,Totals,26y 155d,2634 (1660-19-955 63.02%),1725 (0.65),,
C,"Scott, Chris",44y 131d,231 (159-2-70 69.26%),,←,
