Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
7,"Baker, Liam",18,2,13,31,1,,,6.0,2.0,2.0,5.0,7.0,2.0,2.0,,15.0,16.0,,1.0,,1.0,,82.0
21,"Balta, Noah",15,9,3,18,,,,1.0,8.0,1.0,1.0,6.0,1.0,,,8.0,9.0,3.0,,4.0,,,92.0
35,"Broad, Nathan",7,3,3,10,,,,1.0,3.0,,1.0,4.0,,1.0,,3.0,7.0,,,6.0,,,100.0
30,"Brown, Tom",8,3,5,13,,,,1.0,3.0,2.0,1.0,,,,,2.0,10.0,,,1.0,,1.0,75.0
44,"Campbell, Seth",7,5,3,10,1,1.0,,7.0,1.0,,1.0,2.0,,1.0,,4.0,7.0,,2.0,1.0,,,81.0
38,"Cumberland, Noah",2,1,4,6,1,,,2.0,,1.0,1.0,2.0,1.0,2.0,,4.0,4.0,,,1.0,,1.0,85.0
27,"Dow, Thomson",5,,10,15,,,,5.0,1.0,,8.0,2.0,2.0,2.0,,10.0,5.0,,,,,,78.0
34,"Graham, Jack",6,2,12,18,,,,9.0,2.0,4.0,3.0,2.0,1.0,1.0,,9.0,9.0,,,2.0,,1.0,74.0
42,"Lefau, Mykelti",5,3,2,7,2,1.0,,1.0,,,,2.0,1.0,2.0,,5.0,4.0,,2.0,4.0,,1.0,83.0
31,"Mansell, Rhyan",5,2,1,6,1,,,3.0,,1.0,,1.0,1.0,,,1.0,5.0,,,2.0,,,82.0
4,"Martin, Dustin",9,2,6,15,2,,,3.0,,3.0,,4.0,1.0,,,4.0,11.0,,,1.0,,,84.0
28,"McAuliffe, Kane",7,,9,16,,1.0,,4.0,,4.0,4.0,5.0,3.0,1.0,,11.0,7.0,,,1.0,,,69.0
33,"McIntosh, Kamdyn",12,6,4,16,,,,2.0,,2.0,1.0,6.0,,1.0,,4.0,11.0,1.0,,2.0,1.0,,78.0
46,"Miller, Ben",3,3,3,6,,,,3.0,3.0,,,,,,,3.0,3.0,,,12.0,,,93.0
25,"Nankervis, Toby",12,7,5,17,,,51.0,6.0,4.0,2.0,2.0,5.0,2.0,1.0,,7.0,9.0,2.0,,7.0,,,82.0
50 ↓,"Pickett, Marlion",9,4,7,16,,1.0,,,,3.0,1.0,10.0,,4.0,,5.0,10.0,,1.0,,,1.0,63.0
13,"Ralphsmith, Hugo",10,4,3,13,,,,3.0,3.0,3.0,,2.0,1.0,1.0,,1.0,11.0,,,3.0,,1.0,92.0
17,"Rioli, Daniel",8,3,12,20,,,,3.0,1.0,1.0,2.0,3.0,,,,8.0,11.0,,,1.0,,,84.0
32,"Ryan, Samson",8,6,,8,2,,7.0,,1.0,3.0,1.0,1.0,2.0,,,4.0,5.0,1.0,1.0,2.0,,,69.0
15,"Short, Jayden",15,4,7,22,,,,,4.0,4.0,2.0,3.0,1.0,,,5.0,14.0,,,1.0,,1.0,76.0
49 ↑,"Smith, Kaleb",3,,,3,,,,1.0,3.0,,,2.0,,1.0,,1.0,1.0,,,,,,14.0
40,"Sonsie, Tyler",5,1,7,12,,3.0,,1.0,,1.0,2.0,1.0,,,,5.0,6.0,1.0,1.0,,,1.0,88.0
1,"Vlastuin, Nick",7,,7,14,,,,,5.0,1.0,2.0,2.0,,,,6.0,4.0,,,2.0,,,77.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,186,70,126,312,10,9.0,58.0,62.0,44.0,38.0,38.0,72.0,19.0,20.0,,125.0,179.0,8.0,8.0,53.0,2.0,8.0,
Opposition,Opposition,224,92,157,381,15,9.0,27.0,66.0,27.0,61.0,45.0,65.0,20.0,19.0,6.0,148.0,230.0,6.0,16.0,48.0,6.0,12.0,
