St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
27,"Beveridge, Luke",27y 329d,111 (66-1-44 59.91%),102 (0.92),38 (23-0-15 60.53%),32 (0.84)
2,"Brown, Tony",21y 51d,70 (42-0-28 60.00%),40 (0.57),←,
3,"Burke, Nathan",28y 162d,242 (114-2-126 47.52%),92 (0.38),←,
41,"Campbell, Brad",22y 209d,11 (10-0-1 90.91%),,←,
42,"Cook, Brett",25y 90d,35 (6-0-29 17.14%),7 (0.20),10 (5-0-5 50.00%),
38,"Elliott, Tim",21y 309d,8 (6-0-2 75.00%),2 (0.25),←,
10,"Everitt, Peter",24y 76d,107 (57-1-49 53.74%),179 (1.67),←,
35,"Harvey, Robert",26y 331d,195 (103-2-90 53.33%),115 (0.59),←,
6,"Healy, Daniel",24y 76d,30 (20-0-10 66.67%),20 (0.67),←,
24,"Heatley, Jason",26y 147d,38 (28-0-10 73.68%),117 (3.08),35 (25-0-10 71.43%),109 (3.11)
8,"Hudghton, Max",21y 319d,33 (23-0-10 69.70%),,←,
5,"Jones, Austinn",21y 293d,82 (45-0-37 54.88%),72 (0.88),←,
23,"Loewe, Stewart",30y 56d,250 (116-1-133 46.60%),498 (1.99),←,
1,"Peckett, Justin",25y 286d,111 (55-1-55 50.00%),7 (0.06),←,
13,"Sierakowski, David",23y 201d,68 (37-1-30 55.15%),14 (0.21),←,
19,"Sziller, Steven",25y 215d,71 (42-0-29 59.15%),27 (0.38),←,
29,"Thompson, Andrew",25y 270d,37 (27-0-10 72.97%),25 (0.68),←,
32,"Traianidis, Jason",23y 253d,25 (14-0-11 56.00%),19 (0.76),←,
15,"Wakelin, Darryl",23y 341d,72 (42-0-30 58.33%),6 (0.08),←,
12,"Wakelin, Shane",23y 340d,66 (34-1-31 52.27%),18 (0.27),←,
7,"Winmar, Nicky",32y 296d,223 (106-1-116 47.76%),279 (1.25),←,
20,"Young, Matthew",25y 304d,72 (42-0-30 58.33%),17 (0.24),51 (33-0-18 64.71%),11 (0.22)
Totals,Totals,25y 59d,1957 (1035-11-911 52.89%),1656 (0.85),,
C,"Alves, Stan",52y 57d,107 (54-1-52 50.93%),,←,
