Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
28,"Arnott, Simon",23y 91d,38 (23-1-14 61.84%),23 (0.61),8 (5-0-3 62.50%),8 (1.00)
22,"Bamford, Scott",24y 327d,54 (12-2-40 24.07%),31 (0.57),8 (5-0-3 62.50%),8 (1.00)
6,"Barnes, John",29y 349d,147 (82-2-63 56.46%),73 (0.50),135 (76-1-58 56.67%),61 (0.45)
9,"Bizzell, Clint",22y 322d,29 (12-0-17 41.38%),8 (0.28),←,
33,"Corrigan, Paul",21y 290d,34 (17-0-17 50.00%),4 (0.12),←,
7,"Graham, Ben",25y 195d,93 (61-0-32 65.59%),7 (0.08),←,
32,"Hocking, Garry",30y 220d,230 (132-2-96 57.83%),215 (0.93),←,
13,"Kilpatrick, Glenn",26y 260d,86 (47-0-39 54.65%),16 (0.19),60 (33-0-27 55.00%),12 (0.20)
1,"King, Steven",20y 175d,54 (27-0-27 50.00%),23 (0.43),←,
44,"Lynch, Tristan",25y 267d,63 (31-2-30 50.79%),12 (0.19),8 (5-0-3 62.50%),4 (0.50)
21,"Mansfield, Michael",27y 281d,171 (99-1-71 58.19%),88 (0.51),←,
17,"McGrath, Tim",28y 221d,170 (105-1-64 62.06%),14 (0.08),163 (101-1-61 62.27%),14 (0.09)
31,"Mensch, David",26y 275d,105 (68-0-37 64.76%),107 (1.02),←,
39,"Milburn, Darren",22y 31d,33 (14-0-19 42.42%),17 (0.52),←,
16,"Mooney, Jason",25y 345d,105 (45-0-60 42.86%),71 (0.68),8 (5-0-3 62.50%),20 (2.50)
23,"Pickering, Liam",30y 249d,118 (72-1-45 61.44%),53 (0.45),96 (63-1-32 66.15%),45 (0.47)
34,"Rahilly, James",19y 335d,19 (8-0-11 42.11%),3 (0.16),←,
15,"Riccardi, Peter",26y 150d,152 (92-1-59 60.86%),148 (0.97),←,
27,"Sanderson, Brenton",25y 78d,95 (52-1-42 55.26%),24 (0.25),85 (50-1-34 59.41%),19 (0.22)
12,"Sholl, Brad",26y 187d,99 (58-1-40 59.09%),32 (0.32),97 (58-1-38 60.31%),32 (0.33)
4,"Snell, Jason",21y 293d,37 (20-0-17 54.05%),31 (0.84),←,
26,"Stoneham, Barry",31y 96d,216 (126-2-88 58.80%),196 (0.91),←,
Totals,Totals,25y 246d,2148 (1203-17-928 56.01%),1196 (0.56),,
C,"Ayres, Gary",38y 230d,102 (60-1-41 59.31%),,←,
