Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
29,"Ablett, Gary",20,10,18,38,2,,,7.0,2.0,8.0,10.0,1.0,1.0,,3.0,20.0,18.0,2.0,2.0,1.0,3.0,1.0,87.0
3,"Bartel, Jimmy",11,3,12,23,,,4.0,7.0,2.0,3.0,2.0,3.0,3.0,1.0,,8.0,15.0,,,,,,86.0
24,"Blake, Mark",4,3,4,8,1,,33.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,3.0,5.0,,,,,,60.0
17,"Byrnes, Shannon",8,3,7,15,1,,,3.0,,6.0,2.0,1.0,,1.0,,7.0,8.0,,1.0,1.0,1.0,,77.0
35,"Chapman, Paul",17,7,10,27,3,,,7.0,1.0,6.0,3.0,2.0,2.0,,,9.0,16.0,1.0,1.0,1.0,1.0,1.0,89.0
44,"Enright, Corey",15,7,6,21,,,,2.0,2.0,,,2.0,,1.0,1.0,4.0,17.0,,,2.0,,,86.0
26,"Hawkins, Tom",5,6,6,11,,,9.0,6.0,,2.0,1.0,3.0,3.0,2.0,,6.0,6.0,,1.0,,,,77.0
34,"Hogan, Simon",6,3,12,18,1,,,4.0,,3.0,2.0,1.0,1.0,1.0,,6.0,12.0,,,2.0,,,70.0
8,"Hunt, Josh",10,4,7,17,,,1.0,3.0,,3.0,2.0,2.0,1.0,1.0,,6.0,11.0,,,4.0,1.0,,75.0
20,"Johnson, Steve",17,8,2,19,2,2.0,,4.0,1.0,2.0,2.0,3.0,2.0,,,4.0,14.0,1.0,6.0,1.0,,1.0,87.0
9,"Kelly, James",11,2,11,22,1,,,5.0,1.0,4.0,4.0,4.0,2.0,2.0,,11.0,11.0,,,,,1.0,75.0
45,"Ling, Cameron",10,5,9,19,,1.0,,3.0,2.0,,4.0,4.0,,3.0,,7.0,11.0,,1.0,1.0,,,87.0
13,"Lonergan, Tom",3,3,2,5,,,,3.0,2.0,1.0,,2.0,,2.0,,2.0,4.0,1.0,,5.0,1.0,,89.0
4,"Mackie, Andrew",14,10,6,20,,,,3.0,2.0,4.0,1.0,2.0,,1.0,,6.0,13.0,2.0,,4.0,2.0,1.0,94.0
39,"Milburn, Darren",12,8,6,18,,,,6.0,3.0,,,1.0,1.0,1.0,,4.0,13.0,1.0,,3.0,1.0,1.0,80.0
21,"Mooney, Cameron",11,5,3,14,,2.0,,3.0,,3.0,,2.0,,2.0,,5.0,9.0,,2.0,,,2.0,88.0
31,"Podsiadly, James",13,8,8,21,5,2.0,,3.0,,5.0,2.0,2.0,1.0,2.0,2.0,12.0,8.0,3.0,2.0,1.0,,1.0,91.0
30,"Scarlett, Matthew",6,1,7,13,,,,1.0,3.0,1.0,,,1.0,,,4.0,9.0,,,3.0,2.0,,92.0
14,"Selwood, Joel",13,3,13,26,,,1.0,7.0,2.0,3.0,5.0,2.0,4.0,,,12.0,15.0,,,,2.0,1.0,76.0
7,"Taylor, Harry",10,3,10,20,,,,1.0,3.0,3.0,,2.0,1.0,1.0,,7.0,12.0,,,4.0,1.0,,82.0
5,"Varcoe, Travis",8,1,6,14,3,2.0,,5.0,,4.0,,,1.0,,,7.0,7.0,,1.0,,1.0,,83.0
40,"Wojcinski, David",5,2,8,13,,1.0,,2.0,,1.0,1.0,,2.0,,,6.0,7.0,,,1.0,,,69.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,229,105,173,402,19,12.0,48.0,86.0,27.0,64.0,43.0,40.0,27.0,22.0,6.0,156.0,241.0,11.0,17.0,34.0,16.0,10.0,
Opposition,Opposition,171,69,154,325,9,5.0,43.0,65.0,42.0,36.0,44.0,53.0,22.0,27.0,,132.0,190.0,6.0,6.0,44.0,25.0,7.0,
