Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
30,"Atkins, Tom",27y 216d,88 (62-0-26 70.45%),14 (0.16),←,
46,"Blicavs, Mark",32y 25d,233 (157-2-74 67.81%),56 (0.24),←,
12,"Bowes, Jack",25y 86d,88 (24-1-63 27.84%),16 (0.18),5 (3-0-2 60.00%),2 (0.40)
5,"Cameron, Jeremy",30y 21d,216 (110-3-103 51.62%),558 (2.58),45 (33-0-12 73.33%),131 (2.91)
45,"Close, Brad",24y 266d,61 (45-0-16 73.77%),52 (0.85),←,
35,"Dangerfield, Patrick",33y 17d,309 (185-1-123 60.03%),320 (1.04),155 (104-1-50 67.42%),157 (1.01)
16,"De Koning, Sam",22y 55d,29 (23-0-6 79.31%),1 (0.03),←,
22,"Duncan, Mitch",31y 316d,261 (189-1-71 72.61%),176 (0.67),←,
29,"Guthrie, Cameron",30y 246d,236 (158-2-76 67.37%),75 (0.32),←,
39,"Guthrie, Zach",24y 296d,60 (41-1-18 69.17%),7 (0.12),←,
26,"Hawkins, Tom",34y 275d,333 (238-2-93 71.77%),746 (2.24),←,
36,"Henry, Oliver",20y 267d,31 (17-0-14 54.84%),38 (1.23),6 (3-0-3 50.00%),10 (1.67)
9,"Holmes, Max",20y 236d,36 (26-0-10 72.22%),17 (0.47),←,
10,"Knevitt, Mitch",20y 104d,3 (2-0-1 66.67%),,←,
8,"Kolodjashnij, Jake",27y 256d,158 (108-2-48 68.99%),3 (0.02),←,
32,"Miers, Gryan",24y 23d,89 (62-0-27 69.66%),72 (0.81),←,
42,"OConnor, Mark",26y 95d,93 (64-0-29 68.82%),5 (0.05),←,
17,"Ratugolea, Esava",24y 272d,65 (45-0-20 69.23%),38 (0.58),←,
23,"Rohan, Gary",31y 319d,182 (124-1-57 68.41%),196 (1.08),76 (54-0-22 71.05%),100 (1.32)
37,"Simpson, Sam",24y 312d,20 (12-1-7 62.50%),9 (0.45),←,
7,"Smith, Isaac",34y 113d,264 (184-1-79 69.89%),197 (0.75),54 (40-0-14 74.07%),32 (0.59)
44,"Stewart, Tom",30y 38d,131 (90-0-41 68.70%),3 (0.02),←,
2,"Tuohy, Zach",33y 133d,256 (139-2-115 54.69%),91 (0.36),136 (91-1-44 67.28%),51 (0.38)
Totals,Totals,27y 237d,3242 (2105-20-1117 64.93%),2690 (0.83),,
C,"Scott, Chris",46y 354d,292 (203-2-87 69.86%),,←,
