Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
5,"Ablett, Gary",28y 335d,134 (70-1-63 52.61%),487 (3.63),128 (65-1-62 51.17%),477 (3.73)
16,"Brownless, Bill",23y 216d,83 (39-1-43 47.59%),157 (1.89),←,
19,"Bruns, Neville",31y 333d,207 (108-1-98 52.42%),159 (0.77),←,
7,"Couch, Paul",26y 44d,117 (60-0-57 51.28%),92 (0.79),←,
28,"Darcy, Tim",26y 229d,103 (48-0-55 46.60%),26 (0.25),←,
4,"Fletcher, Adrian",20y 326d,17 (8-0-9 47.06%),8 (0.47),←,
46,"Forssman, Darren",19y 352d,5 (1-0-4 20.00%),3 (0.60),←,
39,"Hinkley, Ken",23y 336d,27 (9-0-18 33.33%),48 (1.78),16 (5-0-11 31.25%),27 (1.69)
32,"Hocking, Garry",21y 328d,56 (29-1-26 52.68%),40 (0.71),←,
1,"Hocking, Steve",25y 226d,126 (62-0-64 49.21%),7 (0.06),←,
12,"Malakellis, Spiro",22y 131d,34 (18-0-16 52.94%),13 (0.38),←,
50,"Malakellis, Tony",20y 161d,9 (2-0-7 22.22%),8 (0.89),←,
49,"Mansfield, Michael",19y 24d,5 (1-0-4 20.00%),2 (0.40),←,
38,"McCrabb, Austin",25y 217d,30 (16-0-14 53.33%),4 (0.13),←,
55,"Neeld, Mark",19y 50d,6 (1-0-5 16.67%),,←,
41,"Phillips, Garry",22y 43d,3 (0-0-3 0.00%),,←,
24,"Poole, Trevor",26y 131d,116 (36-0-80 31.03%),71 (0.61),17 (6-0-11 35.29%),15 (0.88)
20,"Rogers, Andrew",26y 17d,42 (24-0-18 57.14%),3 (0.07),34 (19-0-15 55.88%),2 (0.06)
8,"Scott, Robert",21y 184d,71 (37-1-33 52.82%),84 (1.18),←,
26,"Stoneham, Barry",22y 204d,85 (43-1-41 51.18%),74 (0.87),←,
Totals,Totals,23y 267d,1276 (612-6-658 47.96%),1286 (1.01),,
C,"Blight, Malcolm",40y 197d,64 (32-0-32 50.00%),,48 (26-0-22 54.17%),
