West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
1,"Brown, Mitch",6,7,3,9,2,,,2.0,,3.0,,,1.0,,,3.0,7.0,1.0,2.0,,,,80.0
20,"Cox, Dean",11,7,19,30,1,1.0,32.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,2.0,12.0,18.0,,,2.0,1.0,,91.0
18,"Ebert, Brad",10,2,6,16,,1.0,,9.0,1.0,4.0,1.0,4.0,4.0,2.0,,10.0,8.0,1.0,,2.0,,1.0,84.0
32,"Embley, Andrew",8,4,5,13,,1.0,,,3.0,2.0,2.0,3.0,,1.0,,3.0,10.0,,1.0,1.0,1.0,1.0,55.0
23,"Glass, Darren",,2,7,7,,,,,1.0,,,3.0,,3.0,,3.0,4.0,,,3.0,,,90.0
39,"Hunter, Adam",10,3,16,26,,,,,2.0,2.0,2.0,3.0,,1.0,,9.0,17.0,,,2.0,1.0,,78.0
25,"Hurn, Shannon",17,3,5,22,,,,1.0,2.0,3.0,1.0,3.0,,2.0,,5.0,16.0,1.0,,2.0,,,86.0
17,"Kennedy, Josh",8,3,4,12,1,1.0,,2.0,1.0,2.0,,2.0,1.0,,,7.0,4.0,1.0,1.0,1.0,,,88.0
2,"LeCras, Mark",6,3,7,13,1,1.0,,3.0,,2.0,,5.0,1.0,2.0,,8.0,5.0,,1.0,2.0,,1.0,93.0
21,"Lynch, Quinten",11,3,11,22,2,,,,1.0,4.0,4.0,3.0,4.0,2.0,,13.0,9.0,1.0,1.0,,2.0,1.0,93.0
16,"Mackenzie, Eric",3,3,5,8,,,,,1.0,,,,,,,2.0,6.0,,,3.0,1.0,,79.0
13,"Masten, Chris",7,2,7,14,,1.0,,2.0,2.0,2.0,,3.0,,1.0,,2.0,12.0,,,,1.0,1.0,83.0
27,"McKinley, Ben",8,5,2,10,2,2.0,,,,1.0,,,,,,3.0,7.0,1.0,3.0,,1.0,,85.0
12,"McNamara, Jamie",6,1,11,17,,,,3.0,2.0,,2.0,1.0,,,,3.0,14.0,,,2.0,3.0,,64.0
6,"Nicoski, Mark",7,2,9,16,,,,,,4.0,,1.0,,1.0,,2.0,14.0,,,3.0,,,83.0
11,"Priddis, Matt",12,4,9,21,,,,6.0,1.0,1.0,5.0,3.0,1.0,1.0,,9.0,11.0,,,,,1.0,84.0
24,"Rosa, Matt",14,5,9,23,1,,,3.0,3.0,1.0,1.0,6.0,,,,5.0,18.0,,,1.0,,,81.0
37,"Selwood, Adam",10,3,13,23,,1.0,,4.0,,3.0,3.0,6.0,2.0,2.0,,8.0,16.0,,,3.0,1.0,,89.0
10,"Selwood, Scott",8,2,9,17,1,,,4.0,,,1.0,,3.0,,,3.0,14.0,,,,,,74.0
30,"Spangher, Matthew",3,2,9,12,,,,1.0,5.0,,,2.0,,1.0,,3.0,9.0,,,8.0,,,85.0
5,"Stenglein, Tyson",6,5,15,21,,,,3.0,3.0,,1.0,4.0,,2.0,,7.0,14.0,,,4.0,,,88.0
15,"Swift, Tom",5,3,8,13,,1.0,,1.0,2.0,2.0,,1.0,1.0,1.0,,4.0,9.0,,,1.0,,,67.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,176,74,189,365,11,11.0,32.0,45.0,31.0,37.0,29.0,56.0,20.0,24.0,2.0,124.0,242.0,6.0,9.0,40.0,12.0,6.0,
Opposition,Opposition,199,108,221,420,15,9.0,23.0,57.0,23.0,52.0,24.0,39.0,24.0,20.0,4.0,104.0,317.0,11.0,16.0,39.0,17.0,10.0,
