Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
29,"Ablett, Gary",20y 36d,43 (18-1-24 43.02%),52 (1.21),←,
3,"Bartel, Jimmy",20y 198d,30 (12-1-17 41.67%),10 (0.33),←,
31,"Chambers, Paul",21y 362d,21 (8-0-13 38.10%),3 (0.14),←,
35,"Chapman, Paul",22y 227d,64 (29-1-34 46.09%),64 (1.00),←,
11,"Corey, Joel",22y 123d,71 (31-1-39 44.37%),23 (0.32),←,
7,"Graham, Ben",30y 230d,207 (113-2-92 55.07%),128 (0.62),←,
2,"Harley, Tom",25y 337d,104 (52-2-50 50.96%),7 (0.07),103 (51-2-50 50.49%),6 (0.06)
8,"Haynes, David",23y 9d,57 (26-2-29 47.37%),53 (0.93),11 (6-0-5 54.55%),10 (0.91)
41,"Hunt, Josh",22y 97d,27 (15-0-12 55.56%),3 (0.11),←,
28,"Johnson, David",22y 235d,20 (7-0-13 35.00%),3 (0.15),←,
20,"Johnson, Steve",20y 351d,28 (10-1-17 37.50%),41 (1.46),←,
9,"Kelly, James",20y 173d,45 (20-1-24 45.56%),22 (0.49),←,
18,"Kingsley, Kent",25y 267d,78 (41-0-37 52.56%),153 (1.96),66 (30-0-36 45.45%),143 (2.17)
45,"Ling, Cameron",23y 113d,78 (37-2-39 48.72%),36 (0.46),←,
4,"Mackie, Andrew",19y 317d,10 (7-0-3 70.00%),9 (0.90),←,
39,"Milburn, Darren",27y 65d,131 (61-0-70 46.56%),51 (0.39),←,
32,"Moloney, Brent",20y 143d,17 (9-1-7 55.88%),4 (0.24),←,
21,"Mooney, Cameron",24y 267d,74 (39-1-34 53.38%),59 (0.80),63 (29-1-33 46.83%),57 (0.90)
33,"Rooke, Max",22y 183d,43 (17-1-25 40.70%),4 (0.09),←,
27,"Sanderson, Brenton",30y 113d,190 (93-3-94 49.74%),32 (0.17),180 (91-3-86 51.39%),27 (0.15)
30,"Scarlett, Matthew",25y 14d,104 (51-1-52 49.52%),8 (0.08),←,
40,"Wojcinski, David",23y 275d,66 (32-1-33 49.24%),17 (0.26),←,
Totals,Totals,23y 171d,1508 (728-22-758 48.28%),782 (0.52),,
C,"Thompson, Mark",40y 213d,102 (47-2-53 47.06%),,←,
