Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
7,"Adcock, Jed",23y 162d,80 (33-2-45 42.50%),25 (0.31),←,
20,"Black, Simon",30y 23d,237 (140-3-94 59.70%),143 (0.60),←,
36,"Bradshaw, Daniel",30y 156d,206 (115-2-89 56.31%),451 (2.19),203 (112-2-89 55.67%),451 (2.22)
17,"Brennan, Jared",24y 272d,83 (39-2-42 48.19%),56 (0.67),←,
16,"Brown, Jonathan",27y 179d,165 (104-2-59 63.64%),353 (2.14),←,
1,"Clark, Mitch",21y 189d,27 (10-1-16 38.89%),19 (0.70),←,
22,"Collier, Tom",20y 32d,8 (3-0-5 37.50%),1 (0.13),←,
34,"Dalziell, Bradd",22y 42d,12 (4-0-8 33.33%),3 (0.25),←,
39,"Drummond, Josh",26y 7d,50 (22-1-27 45.00%),23 (0.46),←,
14,"Henderson, Lachie",19y 133d,9 (4-0-5 44.44%),3 (0.33),←,
4,"Johnstone, Travis",28y 283d,183 (89-1-93 48.91%),131 (0.72),23 (11-0-12 47.83%),20 (0.87)
26,"Macdonald, Joel",24y 198d,63 (34-0-29 53.97%),6 (0.10),←,
9,"McGrath, Ashley",25y 341d,118 (64-1-53 54.66%),101 (0.86),←,
21,"Merrett, Daniel",24y 135d,73 (30-2-41 42.47%),16 (0.22),←,
24,"Patfull, Joel",24y 140d,63 (26-2-35 42.86%),19 (0.30),←,
31,"Polkinghorne, James",20y 95d,5 (2-0-3 40.00%),,←,
6,"Power, Luke",29y 108d,222 (129-2-91 58.56%),192 (0.86),←,
10,"Rich, Daniel",18y 323d,5 (2-0-3 40.00%),2 (0.40),←,
35,"Rischitelli, Michael",23y 108d,70 (30-2-38 44.29%),29 (0.41),←,
29,"Roe, Jason",25y 44d,45 (19-1-25 43.33%),6 (0.13),←,
28,"Selwood, Troy",24y 360d,65 (27-1-37 42.31%),10 (0.15),←,
11,"Sherman, Justin",22y 90d,78 (30-2-46 39.74%),49 (0.63),←,
Totals,Totals,24y 155d,1867 (956-27-884 51.21%),1638 (0.88),,
C,"Voss, Michael",33y 293d,5 (2-0-3 40.00%),,←,
