Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
4,"Ablett, Gary",13,8.0,25,38,,,,5.0,4.0,6.0,8.0,3.0,,1.0,2.0,16,22,,,1.0,,1.0,87.0
24,"Bews, Jed",1,1.0,1,2,,,,3.0,,,,5.0,,4.0,,1,3,,,4.0,,,82.0
46,"Blicavs, Mark",5,3.0,5,10,,1.0,,2.0,2.0,,,,1.0,,,5,5,,,1.0,,,100.0
31,"Cunico, Jordan",13,7.0,10,23,,,,5.0,2.0,3.0,3.0,,1.0,,,7,17,,,2.0,,1.0,84.0
35,"Dangerfield, Patrick",12,2.0,14,26,,,,1.0,1.0,8.0,4.0,4.0,1.0,3.0,,15,13,,1.0,4.0,1.0,3.0,86.0
22,"Duncan, Mitch",16,10.0,12,28,,2.0,,3.0,,5.0,,2.0,,2.0,,4,25,,1.0,,,4.0,87.0
13,"Fogarty, Lachie",10,3.0,5,15,,2.0,,4.0,,1.0,,1.0,,1.0,,5,9,1.0,1.0,2.0,,,68.0
29,"Guthrie, Cameron",6,5.0,5,11,1.0,,,3.0,1.0,,,,,,,1,9,1.0,,2.0,,,82.0
26,"Hawkins, Tom",11,10.0,11,22,7.0,1.0,1.0,1.0,,1.0,,2.0,2.0,1.0,3.0,9,13,1.0,8.0,,,,89.0
25,"Henderson, Lachie",13,6.0,4,17,,,,,6.0,2.0,,1.0,2.0,1.0,,7,10,,,11.0,,,90.0
38,"Henry, Jack",10,5.0,3,13,3.0,1.0,1.0,1.0,1.0,3.0,,,,,,4,9,1.0,3.0,2.0,,,83.0
11,"Kelly, Tim",11,2.0,5,16,,2.0,,2.0,3.0,2.0,1.0,6.0,1.0,1.0,,4,11,,,1.0,,,89.0
8,"Kolodjashnij, Jake",8,5.0,3,11,,,,2.0,2.0,1.0,,5.0,2.0,,,2,11,,,2.0,,,90.0
27,"Menegola, Sam",16,9.0,11,27,1.0,,,,3.0,6.0,3.0,2.0,,2.0,,7,23,,,1.0,,1.0,85.0
10,"Menzel, Daniel",10,5.0,1,11,3.0,,,2.0,,4.0,1.0,1.0,2.0,,,4,7,,1.0,,,1.0,87.0
19,"Narkle, Quinton",4,3.0,8,12,,,,1.0,,2.0,1.0,,,,,2,10,,,1.0,,1.0,80.0
3,"Parfitt, Brandan",11,6.0,15,26,1.0,2.0,,5.0,1.0,2.0,2.0,,3.0,,,8,18,,2.0,1.0,,1.0,83.0
14,"Selwood, Joel",9,5.0,13,22,,1.0,,1.0,3.0,1.0,2.0,4.0,,3.0,,5,18,,1.0,1.0,,,82.0
16,"Selwood, Scott",11,5.0,12,23,2.0,,,6.0,,1.0,2.0,2.0,1.0,,,6,18,,1.0,1.0,,1.0,84.0
1,"Stanley, Rhys",8,1.0,8,16,,,18.0,1.0,,3.0,8.0,1.0,5.0,1.0,,10,8,,,4.0,,,75.0
44,"Stewart, Tom",2,,2,4,,,,1.0,2.0,,,,,,,1,1,,,1.0,,,14.0
2,"Tuohy, Zach",15,4.0,11,26,,,,,5.0,4.0,1.0,1.0,1.0,,,9,15,1.0,,4.0,,,93.0
Totals,Totals,215,105.0,184,399,18.0,12.0,20.0,49.0,36.0,55.0,36.0,40.0,22.0,20.0,5.0,132,275,5.0,19.0,46.0,1.0,14.0,
Opposition,Opposition,188,89.0,177,365,11.0,12.0,35.0,59.0,36.0,51.0,32.0,57.0,20.0,22.0,1.0,120,240,11.0,15.0,51.0,11.0,10.0,
