Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
17,"Chick, Daniel",14,3,2,16,2,1.0,,,,,,,1.0,,,,,,,,,,
3,"Condon, Anthony",4,,4,8,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,
23,"Crawford, Justin",11,2,6,17,1,,,1.0,,,,,,,,,,,,,,,
19,"Dunstall, Jason",5,3,1,6,3,2.0,,1.0,,,,,1.0,,,,,,,,,,
34,"Graham, Mark",10,4,3,13,,,,1.0,,,,,,,,,,,,,,,
5,"Harford, Daniel",14,4,10,24,1,,,1.0,,,,,2.0,2.0,1.0,,,,,,,,
2,"Holland, Nick",11,6,6,17,1,,4.0,,,,,,,,,,,,,,,,
1,"Jencke, Ray",3,2,2,5,,,,2.0,,,,,,1.0,,,,,,,,,
37,"Lekkas, Angelo",13,2,4,17,,,,1.0,,,,,1.0,,,,,,,,,,
15,"Lord, Aaron",13,6,9,22,,1.0,,1.0,,,,,,2.0,,,,,,,,,
7,"McCabe, Luke",1,,1,2,,,,,,,,,,,,,,,,,,,
18,"Pritchard, Darrin",14,5,4,18,,1.0,,,,,,,,,,,,,,,,,
27,"Ridley, Todd",6,4,4,10,,,,1.0,,,,,,,,,,,,,,,
10,"Robran, Jonathon",1,2,2,3,1,,,1.0,,,,,,,,,,,,,,,
4,"Salmon, Paul",13,6,4,17,2,,26.0,1.0,,,,,3.0,1.0,3.0,,,,,,,,
28,"Scott, Brad",8,2,5,13,,,,1.0,,,,,1.0,1.0,,,,,,,,,
21,"Stevenson, Shayne",7,,3,10,3,,,,,,,,,1.0,,,,,,,,,
29,"Tallis, Rayden",4,1,4,8,,,,2.0,,,,,,,,,,,,,,,
6,"Taylor, Richard",18,2,5,23,,,,1.0,,,,,1.0,3.0,,,,,,,,,
8,"Treleven, Craig",10,1,6,16,,,,3.0,,,,,1.0,,,,,,,,,,
30,"Woods, Tony",6,2,4,10,,1.0,,1.0,,,,,2.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,186,57,89,275,14,9.0,31.0,20.0,,,,,14.0,13.0,4.0,,,,,,,,
Opposition,Opposition,181,47,71,252,16,7.0,18.0,24.0,,,,,13.0,14.0,2.0,,,,,,,,
