North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
3,"Anderson, Jed",9.0,4.0,16.0,25.0,,,,4.0,1.0,3.0,2.0,5.0,1.0,1.0,,8.0,16.0,,,1.0,,1.0,73.0
16,"Bonar, Aiden",8.0,2.0,5.0,13.0,,,,4.0,5.0,,1.0,5.0,,1.0,,4.0,9.0,,,6.0,2.0,,82.0
21,"Coleman-Jones, Callum",4.0,2.0,9.0,13.0,,2.0,17.0,,1.0,,1.0,3.0,,3.0,,7.0,7.0,,2.0,,,1.0,83.0
4,"Corr, Aidan",8.0,2.0,5.0,13.0,,,,1.0,5.0,1.0,1.0,6.0,,2.0,,7.0,6.0,,,6.0,,,90.0
25,"Curtis, Paul",4.0,3.0,3.0,7.0,,1.0,,6.0,,2.0,,1.0,1.0,1.0,,3.0,5.0,,1.0,2.0,,1.0,81.0
9,"Davies-Uniacke, Luke",12.0,4.0,18.0,30.0,2.0,,,5.0,,3.0,6.0,4.0,,1.0,1.0,11.0,18.0,,1.0,2.0,,,84.0
22,"Goldstein, Todd",5.0,3.0,6.0,11.0,,,19.0,2.0,2.0,2.0,2.0,3.0,,3.0,,5.0,6.0,1.0,,1.0,,1.0,76.0
18,"Greenwood, Hugh",6.0,6.0,18.0,24.0,,1.0,,5.0,1.0,2.0,3.0,4.0,2.0,,,10.0,15.0,,,,,,70.0
43,"Hall, Aaron",22.0,7.0,8.0,30.0,,1.0,,4.0,6.0,6.0,,3.0,2.0,,,7.0,19.0,1.0,,2.0,1.0,,80.0
6,"Horne-Francis, Jason",8.0,2.0,3.0,11.0,1.0,1.0,,,2.0,3.0,,5.0,1.0,3.0,,3.0,9.0,,,,1.0,2.0,73.0
35,"Lazzaro, Charlie",,,,,,,,,,,,,,,,,,,,,,,
11,"McDonald, Luke",12.0,4.0,8.0,20.0,,,,1.0,5.0,2.0,,2.0,,2.0,,9.0,12.0,1.0,,6.0,,,88.0
23,"McKay, Ben",12.0,10.0,5.0,17.0,,,,,2.0,,,2.0,,1.0,,5.0,11.0,3.0,,3.0,1.0,,89.0
39,"Perez, Flynn",11.0,6.0,9.0,20.0,,,,2.0,4.0,2.0,,4.0,,1.0,,3.0,17.0,1.0,,2.0,2.0,1.0,87.0
24,"Powell, Tom",5.0,1.0,14.0,19.0,1.0,,,1.0,,2.0,3.0,2.0,,1.0,,6.0,12.0,,,,,,73.0
8,"Scott, Bailey",11.0,3.0,15.0,26.0,,,,4.0,3.0,1.0,4.0,3.0,,,,10.0,19.0,,,3.0,2.0,,86.0
12,"Simpkin, Jy",8.0,2.0,6.0,14.0,,,,3.0,,1.0,2.0,5.0,1.0,1.0,,5.0,9.0,,,,,,85.0
36,"Spicer, Phoenix",4.0,1.0,1.0,5.0,1.0,,,2.0,,,,2.0,,,,3.0,3.0,,1.0,,,,84.0
2,"Stephenson, Jaidyn",8.0,6.0,10.0,18.0,1.0,,,3.0,,2.0,2.0,2.0,1.0,1.0,,5.0,14.0,1.0,1.0,,,1.0,87.0
5,"Taylor, Curtis",11.0,6.0,4.0,15.0,1.0,,,2.0,5.0,1.0,2.0,3.0,,,,5.0,10.0,1.0,1.0,,1.0,,73.0
17,"Young, Lachie",8.0,5.0,9.0,17.0,,,,7.0,5.0,1.0,,,,,,3.0,14.0,,,3.0,2.0,1.0,83.0
7,"Ziebell, Jack",16.0,7.0,4.0,20.0,3.0,1.0,,2.0,,3.0,3.0,4.0,4.0,,,7.0,12.0,,2.0,1.0,,,85.0
44,"Zurhaar, Cameron",10.0,9.0,3.0,13.0,1.0,2.0,,1.0,,1.0,,1.0,,,,3.0,10.0,,4.0,,,1.0,87.0
Totals,Totals,202.0,95.0,179.0,381.0,11.0,9.0,36.0,59.0,47.0,38.0,32.0,69.0,13.0,22.0,1.0,129.0,253.0,9.0,13.0,38.0,12.0,10.0,
Opposition,Opposition,203.0,85.0,157.0,360.0,19.0,7.0,43.0,51.0,25.0,68.0,42.0,55.0,22.0,13.0,5.0,135.0,230.0,13.0,13.0,42.0,10.0,13.0,
