Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Amon, Karl",21,4,12,33,1,,,1.0,4.0,8.0,1.0,1.0,,,1.0,4.0,25.0,,,,,,74.0
22,"Breust, Luke",4,1,3,7,3,1.0,,2.0,,,,5.0,,4.0,,5.0,4.0,1.0,1.0,2.0,,,71.0
33,"Brockman, Tyler",5,4,6,11,1,,,5.0,,2.0,,1.0,,,,2.0,9.0,,1.0,2.0,,,76.0
12,"Day, Will",12,4,16,28,,,,7.0,2.0,3.0,3.0,,3.0,,,10.0,18.0,,,2.0,1.0,,78.0
8,"Frost, Sam",1,4,7,8,,,,,,,,1.0,,1.0,,5.0,3.0,2.0,,4.0,,,94.0
24 ↑,"Grainger-Barras, Denver",4,3,2,6,1,,,,,,,4.0,1.0,2.0,,3.0,3.0,,1.0,1.0,,,35.0
26 ↓,"Greene, Fergus",3,3,3,6,,1.0,,,,1.0,,1.0,,,,1.0,5.0,,1.0,1.0,,,44.0
15,"Hardwick, Blake",9,6,8,17,,,,4.0,7.0,1.0,,,,,,5.0,9.0,1.0,,6.0,1.0,,89.0
4,"Impey, Jarman",17,4,7,24,1,2.0,,3.0,3.0,6.0,1.0,1.0,3.0,,,9.0,18.0,,,5.0,,,83.0
2,"Lewis, Mitch",7,3,2,9,3,1.0,,,,,,1.0,1.0,,,5.0,4.0,1.0,3.0,1.0,,,82.0
31,"Macdonald, Connor",12,3,15,27,1,1.0,,2.0,,4.0,3.0,1.0,1.0,1.0,,13.0,18.0,,,2.0,1.0,1.0,80.0
32,"Maginness, Finn",7,4,12,19,,1.0,,1.0,,4.0,,1.0,,,,4.0,15.0,,1.0,,1.0,1.0,89.0
17,"Meek, Lloyd",3,1,7,10,,,15.0,2.0,1.0,,2.0,1.0,,1.0,,7.0,3.0,,1.0,3.0,,,71.0
13,"Moore, Dylan",8,1,19,27,,,,5.0,,3.0,1.0,5.0,,3.0,,7.0,19.0,,,1.0,,2.0,87.0
11,"Nash, Conor",10,4,22,32,,,,4.0,2.0,9.0,4.0,2.0,1.0,1.0,,7.0,25.0,,,2.0,2.0,2.0,84.0
3,"Newcombe, Jai",9,6,24,33,,1.0,,3.0,3.0,3.0,7.0,11.0,1.0,5.0,2.0,14.0,19.0,,,2.0,,1.0,82.0
7,"Reeves, Ned",4,1,5,9,,,24.0,2.0,1.0,2.0,2.0,5.0,2.0,3.0,,7.0,2.0,,,3.0,,,75.0
14,"Scrimshaw, Jack",11,8,12,23,,,,,2.0,2.0,2.0,1.0,,,,7.0,17.0,1.0,,3.0,1.0,,84.0
6,"Sicily, James",11,5,6,17,,,,2.0,3.0,3.0,,3.0,,1.0,,4.0,10.0,2.0,,5.0,1.0,,98.0
25,"Ward, Josh",15,5,13,28,,,,,3.0,2.0,4.0,2.0,1.0,,,11.0,18.0,,,,,,85.0
37,"Weddle, Josh",8,4,6,14,,,,,1.0,5.0,,2.0,,,,2.0,12.0,,,4.0,4.0,,84.0
20,"Wingard, Chad",13,6,5,18,,2.0,,4.0,1.0,3.0,,4.0,2.0,2.0,,4.0,14.0,,,,1.0,3.0,83.0
5,"Worpel, James",17,5,15,32,1,3.0,,6.0,1.0,9.0,7.0,2.0,1.0,1.0,3.0,13.0,21.0,,,3.0,,1.0,71.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,211,89,227,438,12,16.0,39.0,53.0,34.0,70.0,37.0,55.0,17.0,25.0,6.0,149.0,291.0,8.0,9.0,52.0,13.0,11.0,
Opposition,Opposition,219,107,159,378,6,4.0,32.0,74.0,57.0,41.0,35.0,58.0,25.0,17.0,,126.0,244.0,10.0,3.0,60.0,8.0,3.0,
