North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
30,"Comben, Charlie",6,4,2,8,,,1.0,1.0,2.0,,1.0,2.0,2.0,2.0,,6.0,2.0,2.0,,1.0,,,90.0
4,"Corr, Aidan",11,4,3,14,,,,5.0,5.0,2.0,1.0,2.0,2.0,1.0,,4.0,11.0,,,6.0,,,96.0
25,"Curtis, Paul",13,6,2,15,3,2.0,,2.0,,2.0,,5.0,3.0,2.0,,8.0,6.0,1.0,4.0,,,1.0,86.0
9,"Davies-Uniacke, Luke",11,2,12,23,,,,4.0,1.0,5.0,6.0,3.0,2.0,1.0,,11.0,13.0,,,,1.0,,83.0
41,"Drury, Blake",7,3,2,9,1,,,1.0,,3.0,,,,,,,9.0,,1.0,1.0,,,76.0
7,"Duursma, Zane",3,1,4,7,,,,1.0,,2.0,,2.0,1.0,1.0,,2.0,6.0,,,,,,72.0
16,"Fisher, Zac",8,5,6,14,,,,2.0,4.0,,1.0,,1.0,,,4.0,10.0,,,1.0,1.0,,70.0
40 ↓,"Ford, Eddie",2,,3,5,1,,,,1.0,,1.0,1.0,,1.0,,4.0,2.0,,,1.0,,,48.0
20,"Larkey, Nick",9,6,2,11,3,1.0,3.0,1.0,,5.0,,3.0,2.0,1.0,,6.0,6.0,2.0,2.0,1.0,,,96.0
35 ↑,"Lazzaro, Charlie",3,2,8,11,,,,1.0,1.0,1.0,1.0,,,,,6.0,5.0,,,,,1.0,35.0
11,"McDonald, Luke",5,3,5,10,,,,,2.0,1.0,,1.0,,1.0,,2.0,8.0,,,1.0,,,72.0
10,"McKercher, Colby",7,5,10,17,,,,2.0,1.0,2.0,1.0,6.0,,,,5.0,12.0,,,,6.0,,82.0
28,"Nyuon, Bigoa",7,4,4,11,,,,3.0,3.0,,,3.0,,2.0,,2.0,6.0,,,6.0,,,95.0
29,"Phillips, Will",3,1,11,14,,,,4.0,,2.0,3.0,1.0,,,,4.0,10.0,,,1.0,,,64.0
24,"Powell, Tom",10,5,10,20,,1.0,,4.0,2.0,4.0,5.0,2.0,,,,7.0,13.0,,,,,,80.0
8,"Scott, Bailey",13,6,8,21,,,,3.0,8.0,2.0,2.0,4.0,,1.0,,4.0,15.0,,,,1.0,,91.0
36,"Sellers, Tyler",,,2,2,,,,,,,,2.0,,2.0,,1.0,1.0,,,1.0,,,53.0
3,"Sheezel, Harry",16,7,10,26,,,,4.0,5.0,2.0,1.0,1.0,1.0,,,5.0,17.0,,,,2.0,1.0,88.0
12,"Simpkin, Jy",8,1,9,17,1,,,5.0,1.0,4.0,3.0,6.0,,3.0,,9.0,8.0,,,2.0,1.0,,88.0
15,"Stephens, Dylan",12,4,6,18,,,,1.0,2.0,4.0,4.0,3.0,,1.0,,6.0,11.0,,,1.0,,,87.0
13,"Tucker, Darcy",11,6,6,17,1,,,1.0,5.0,2.0,,,,,,1.0,14.0,,1.0,2.0,,2.0,81.0
38,"Xerri, Tristan",10,2,8,18,,,44.0,10.0,,6.0,10.0,5.0,2.0,4.0,,12.0,4.0,,,6.0,,1.0,85.0
44,"Zurhaar, Cameron",5,3,6,11,,2.0,,2.0,,3.0,,4.0,1.0,2.0,,5.0,6.0,,3.0,1.0,,,82.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,180,80,139,319,10,8.0,48.0,57.0,43.0,52.0,40.0,56.0,17.0,25.0,,114.0,195.0,5.0,11.0,32.0,12.0,6.0,
Opposition,Opposition,227,108,145,372,17,11.0,29.0,66.0,42.0,63.0,38.0,57.0,25.0,17.0,6.0,126.0,246.0,8.0,19.0,37.0,4.0,16.0,
