Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
16,"Bramble, Lachlan",23y 75d,3 (1-0-2 33.33%),,←,
22,"Breust, Luke",30y 234d,235 (155-1-79 66.17%),434 (1.85),←,
9,"Burgoyne, Shaun",38y 255d,400 (260-2-138 65.25%),301 (0.75),243 (163-2-78 67.49%),130 (0.53)
18,"Ceglar, Jonathon",30y 139d,97 (61-0-36 62.89%),43 (0.44),←,
8,"Frost, Sam",27y 309d,122 (45-0-77 36.89%),8 (0.07),31 (9-0-22 29.03%),
30,"Greaves, Damon",21y 69d,7 (1-0-6 14.29%),1 (0.14),←,
13,"Hanrahan, Oliver",22y 310d,25 (11-0-14 44.00%),16 (0.64),←,
15,"Hardwick, Blake",24y 148d,97 (45-1-51 46.91%),6 (0.06),←,
28,"Hartigan, Kyle",29y 238d,125 (68-0-57 54.40%),1 (0.01),12 (3-0-9 25.00%),
17,"Howe, Daniel",25y 211d,80 (42-1-37 53.13%),17 (0.21),←,
29,"Jiath, Changkuoth",22y 20d,22 (6-0-16 27.27%),,←,
34,"Koschitzke, Jacob",20y 357d,14 (4-0-10 28.57%),18 (1.29),←,
7,"McEvoy, Ben",31y 357d,237 (128-3-106 54.64%),96 (0.41),146 (77-1-68 53.08%),69 (0.47)
3,"Mitchell, Tom",28y 33d,143 (76-1-66 53.50%),66 (0.46),78 (34-1-43 44.23%),28 (0.36)
36,"Moore, Dylan",21y 333d,25 (7-0-18 28.00%),24 (0.96),←,
11,"Nash, Conor",22y 340d,24 (11-0-13 45.83%),11 (0.46),←,
44,"Newcombe, Jai",19y 335d,4 (2-0-2 50.00%),1 (0.25),←,
23,"OBrien, Tim",27y 97d,91 (48-1-42 53.30%),71 (0.78),←,
10,"OMeara, Jaeger",27y 130d,116 (53-0-63 45.69%),59 (0.51),72 (35-0-37 48.61%),32 (0.44)
21,"Phillips, Tom",25y 57d,104 (55-2-47 53.85%),51 (0.49),15 (4-0-11 26.67%),7 (0.47)
14,"Scrimshaw, Jack",22y 302d,41 (13-0-28 31.71%),2 (0.05),37 (13-0-24 35.14%),2 (0.05)
26,"Shiels, Liam",30y 65d,235 (149-1-85 63.62%),85 (0.36),←,
5,"Worpel, James",22y 160d,62 (27-0-35 43.55%),21 (0.34),←,
Totals,Totals,25y 358d,2309 (1268-13-1028 54.92%),1332 (0.58),,
C,"Clarkson, Alastair",53y 67d,383 (225-2-156 59.01%),,←,
