St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
11,"Anderson, Dean",25y 322d,93 (61-0-32 65.59%),83 (0.89),10 (3-0-7 30.00%),9 (0.90)
19,"Atkinson, Brodie",20y 323d,2 (1-0-1 50.00%),,←,
30,"Bingham, Lawrence",24y 22d,22 (10-0-12 45.45%),,19 (9-0-10 47.37%),
3,"Burke, Nathan",23y 133d,131 (57-1-73 43.89%),39 (0.30),←,
8,"Devonport, Craig",23y 143d,66 (32-0-34 48.48%),71 (1.08),←,
2,"Frawley, Danny",29y 284d,198 (68-1-129 34.60%),13 (0.07),←,
6,"Grant, David",26y 316d,156 (57-0-99 36.54%),68 (0.44),←,
27,"Greig, Dean",24y 231d,26 (16-0-10 61.54%),5 (0.19),←,
35,"Harvey, Robert",21y 302d,89 (45-1-43 51.12%),58 (0.65),←,
4,"Lockett, Tony",27y 102d,170 (63-0-107 37.06%),831 (4.89),←,
23,"Loewe, Stewart",25y 27d,151 (62-1-88 41.39%),212 (1.40),←,
5,"McAdam, Gilbert",26y 81d,47 (25-1-21 54.26%),47 (1.00),←,
12,"Morris, Russell",31y 18d,149 (104-2-43 70.47%),75 (0.50),56 (33-1-22 59.82%),23 (0.41)
29,"Peckett, Justin",20y 257d,12 (5-0-7 41.67%),,←,
41,"Pekin, Tim",28y 148d,181 (89-1-91 49.45%),40 (0.22),74 (40-1-33 54.73%),25 (0.34)
37,"Rice, Dean",25y 94d,113 (44-1-68 39.38%),42 (0.37),←,
31,"Shanahan, Jamie",25y 195d,33 (18-0-15 54.55%),,←,
39,"Shaw, Damen",19y 58d,2 (1-0-1 50.00%),,←,
7,"Winmar, Nicky",27y 267d,129 (57-0-72 44.19%),189 (1.47),←,
17,"Wittman, Chris",27y 293d,96 (69-0-27 71.88%),61 (0.64),7 (1-0-6 14.29%),
Totals,Totals,25y 89d,1866 (884-9-973 47.37%),1834 (0.98),,
C,"Sheldon, Ken",33y 170d,80 (42-1-37 53.13%),,←,
