St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Anderson, Dean",9,,2,11,,,,4.0,,,,,,,,,,,,,,,
14,"Bardsley, Kristian",10,3,1,11,,,,,,,,,,1.0,,,,,,,,,
26,"Brown, Tony",12,4,7,19,1,1.0,,1.0,,,,,2.0,1.0,,,,,,,,,
3,"Burke, Nathan",18,1,7,25,1,1.0,,2.0,,,,,,2.0,,,,,,,,,
10,"Everitt, Peter",9,6,5,14,4,1.0,5.0,,,,,,1.0,,,,,,,,,,
2,"Frawley, Danny",7,1,5,12,,,,1.0,,,,,3.0,2.0,,,,,,,,,
6,"Grant, David",,,2,2,,,,1.0,,,,,,,,,,,,,,,
29,"Jones, Austinn",4,1,4,8,1,1.0,,1.0,,,,,,,,,,,,,,,
17,"Keogh, Rod",13,5,2,15,,,,5.0,,,,,1.0,1.0,,,,,,,,,
23,"Loewe, Stewart",12,8,3,15,6,1.0,1.0,2.0,,,,,1.0,2.0,1.0,,,,,,,,
24,"Nugent, Glenn",,,,,,,,,,,,,,,,,,,,,,,
28,"OBrien, Craig",10,5,9,19,3,1.0,,1.0,,,,,2.0,2.0,,,,,,,,,
8,"Peckett, Justin",9,,2,11,,,,3.0,,,,,,1.0,,,,,,,,,
41,"Pekin, Tim",12,8,11,23,,,,2.0,,,,,1.0,,,,,,,,,,
31,"Shanahan, Jamie",9,5,,9,,,,,,,,,3.0,,,,,,,,,,
13,"Sierakowski, David",10,5,2,12,,,14.0,3.0,,,,,1.0,5.0,,,,,,,,,
4,"Smith, Joel",9,2,3,12,,1.0,,,,,,,1.0,,,,,,,,,,
19,"Sziller, Steven",10,1,8,18,,,,1.0,,,,,1.0,3.0,,,,,,,,,
15,"Wakelin, Darryl",4,2,3,7,,,,4.0,,,,,,1.0,,,,,,,,,
12,"Wakelin, Shane",5,3,6,11,,,1.0,1.0,,,,,,,,,,,,,,,
7,"Winmar, Nicky",14,4,13,27,,1.0,1.0,5.0,,,,,,2.0,3.0,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,186,64,95,281,16,9.0,22.0,37.0,,,,,17.0,23.0,4.0,,,,,,,,
Opposition,Opposition,186,83,75,261,14,13.0,14.0,24.0,,,,,23.0,17.0,2.0,,,,,,,,
