St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
3,"Burke, Nathan",27y 51d,203 (86-2-115 42.86%),74 (0.36),←,
30,"Coghlan, Glen",22y 243d,21 (8-0-13 38.10%),7 (0.33),←,
42,"Cook, Brett",23y 344d,26 (1-0-25 3.85%),7 (0.27),1 (0-0-1 0.00%),
18,"Cripps, Jason",20y 166d,12 (6-0-6 50.00%),3 (0.25),←,
34,"Daniels, Jayson",26y 38d,154 (47-1-106 30.84%),28 (0.18),96 (34-1-61 35.94%),24 (0.25)
10,"Everitt, Peter",22y 330d,69 (29-1-39 42.75%),104 (1.51),←,
21,"Gray, Troy",24y 31d,52 (13-1-38 25.96%),26 (0.50),1 (0-0-1 0.00%),2 (2.00)
25,"Hall, Barry",20y 49d,5 (2-0-3 40.00%),2 (0.40),←,
35,"Harvey, Robert",25y 220d,155 (74-2-79 48.39%),91 (0.59),←,
8,"Hudghton, Max",20y 208d,1 (0-0-1 0.00%),,←,
5,"Jones, Austinn",20y 182d,42 (16-0-26 38.10%),36 (0.86),←,
23,"Loewe, Stewart",28y 310d,214 (91-1-122 42.76%),423 (1.98),←,
26,"McLaren, Joe",19y 108d,12 (7-0-5 58.33%),2 (0.17),←,
16,"Neill, Robert",23y 83d,42 (12-0-30 28.57%),16 (0.38),21 (9-0-12 42.86%),7 (0.33)
1,"Peckett, Justin",24y 175d,72 (27-1-44 38.19%),2 (0.03),←,
31,"Shanahan, Jamie",29y 113d,101 (47-1-53 47.03%),,←,
19,"Sziller, Steven",24y 104d,34 (14-0-20 41.18%),9 (0.26),←,
29,"Thompson, Andrew",24y 159d,1 (0-0-1 0.00%),,←,
32,"Traianidis, Jason",22y 142d,14 (6-0-8 42.86%),9 (0.64),←,
7,"Winmar, Nicky",31y 185d,187 (80-1-106 43.05%),242 (1.29),←,
20,"Young, Matthew",24y 193d,41 (19-0-22 46.34%),11 (0.27),20 (10-0-10 50.00%),5 (0.25)
Totals,Totals,24y 42d,1458 (585-11-862 40.12%),1092 (0.75),,
C,"Alves, Stan",50y 311d,67 (25-1-41 38.06%),,←,
