Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Bateman, Chance",8,2,1,9,,1.0,,,,2.0,,3.0,1.0,1.0,,2.0,7.0,1.0,1.0,,,,84.0
14,"Birchall, Grant",15,7,10,25,,,,6.0,2.0,4.0,,2.0,,,,1.0,23.0,,,2.0,2.0,1.0,86.0
30,"Brown, Campbell",5,6,4,9,,,,1.0,1.0,2.0,,3.0,1.0,2.0,,1.0,8.0,,,7.0,1.0,,90.0
39,"Campbell, Robert",4,3,8,12,,1.0,11.0,1.0,,2.0,,1.0,,,,5.0,7.0,1.0,1.0,,,,47.0
9,"Crawford, Shane",7,4,6,13,,,,3.0,1.0,,1.0,3.0,1.0,1.0,,2.0,11.0,,,1.0,1.0,,85.0
24,"Croad, Trent",7,11,9,16,,,,1.0,4.0,,,3.0,,1.0,,2.0,14.0,,,2.0,1.0,,100.0
19,"Dixon, Ben",6,1,,6,2,,,1.0,,,,1.0,2.0,1.0,,3.0,2.0,1.0,1.0,,,,70.0
32,"Ellis, Xavier",5,3,5,10,1,,,4.0,,1.0,,1.0,,1.0,,2.0,9.0,,,2.0,,,51.0
23,"Franklin, Lance",13,8,4,17,5,5.0,,3.0,,6.0,1.0,2.0,1.0,2.0,,7.0,10.0,2.0,5.0,,1.0,1.0,100.0
27,"Gilham, Stephen",8,10,7,15,,,,2.0,3.0,1.0,,1.0,1.0,,,4.0,12.0,1.0,1.0,3.0,1.0,,95.0
18,"Guerra, Brent",12,3,5,17,,1.0,,1.0,4.0,3.0,,,1.0,,,4.0,13.0,,,3.0,,,84.0
15,"Hodge, Luke",18,7,11,29,,,1.0,1.0,3.0,6.0,5.0,4.0,2.0,3.0,,13.0,17.0,1.0,1.0,3.0,,,97.0
4,"Ladson, Rick",10,6,9,19,,,,3.0,4.0,1.0,2.0,1.0,2.0,1.0,,5.0,15.0,,,3.0,1.0,,86.0
3,"Lewis, Jordan",7,5,7,14,,1.0,,4.0,2.0,,3.0,2.0,1.0,1.0,,7.0,7.0,1.0,2.0,1.0,,,85.0
28,"Little, Matthew",4,4,2,6,,1.0,,,,1.0,,1.0,,,,1.0,5.0,,2.0,,,1.0,71.0
22,"McGlynn, Ben",10,6,6,16,1,,1.0,5.0,1.0,1.0,3.0,3.0,4.0,,,8.0,8.0,,,1.0,,,74.0
5,"Mitchell, Sam",7,3,13,20,,,,2.0,,3.0,7.0,3.0,1.0,2.0,,10.0,9.0,,,3.0,3.0,1.0,87.0
2,"Roughead, Jarryd",3,1,4,7,,1.0,3.0,,,,,1.0,1.0,,,4.0,3.0,,,3.0,,1.0,100.0
12,"Sewell, Brad",6,6,13,19,1,,,5.0,,2.0,2.0,1.0,1.0,,,4.0,15.0,,,,1.0,1.0,88.0
11,"Smith, Joel",13,9,9,22,,,,1.0,1.0,4.0,1.0,,1.0,,,6.0,16.0,,,2.0,2.0,,79.0
13,"Taylor, Simon",3,4,4,7,1,,18.0,2.0,,,,4.0,,4.0,,3.0,3.0,2.0,1.0,,,,62.0
45,"Young, Clinton",17,7,6,23,,,,2.0,1.0,7.0,1.0,4.0,1.0,1.0,,5.0,18.0,,,1.0,2.0,2.0,77.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,188,116,143,331,11,12.0,34.0,48.0,27.0,46.0,26.0,44.0,22.0,21.0,,99.0,232.0,10.0,15.0,37.0,16.0,8.0,
Opposition,Opposition,223,134,143,366,14,11.0,28.0,52.0,32.0,43.0,33.0,40.0,21.0,22.0,6.0,114.0,253.0,10.0,12.0,40.0,14.0,9.0,
