Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
17,"Chick, Daniel",21y 75d,27 (14-1-12 53.70%),17 (0.63),←,
3,"Condon, Anthony",29y 141d,143 (97-0-46 67.83%),49 (0.34),←,
23,"Crawford, Justin",20y 37d,20 (13-1-6 67.50%),16 (0.80),3 (2-0-1 66.67%),5 (1.67)
32,"Dixon, Ben",19y 316d,1 (1-0-0 100.00%),,←,
19,"Dunstall, Jason",32y 255d,253 (173-1-79 68.58%),1192 (4.71),←,
34,"Graham, Mark",24y 44d,70 (34-1-35 49.29%),16 (0.23),←,
5,"Harford, Daniel",20y 38d,38 (17-0-21 44.74%),18 (0.47),←,
2,"Holland, Nick",22y 271d,43 (18-1-24 43.02%),38 (0.88),←,
1,"Jencke, Ray",31y 32d,192 (123-1-68 64.32%),27 (0.14),←,
14,"Krummel, Brendan",24y 306d,26 (15-0-11 57.69%),7 (0.27),16 (9-0-7 56.25%),4 (0.25)
37,"Lekkas, Angelo",20y 301d,8 (4-0-4 50.00%),1 (0.13),←,
15,"Lord, Aaron",21y 279d,37 (26-1-10 71.62%),26 (0.70),5 (3-0-2 60.00%),7 (1.40)
7,"McCabe, Luke",20y 259d,21 (11-0-10 52.38%),3 (0.14),←,
18,"Pritchard, Darrin",31y 36d,203 (135-1-67 66.75%),92 (0.45),←,
10,"Robran, Jonathon",24y 187d,22 (11-0-11 50.00%),,←,
4,"Salmon, Paul",32y 96d,232 (134-3-95 58.41%),514 (2.22),23 (11-1-11 50.00%),5 (0.22)
28,"Scott, Brad",20y 358d,5 (3-0-2 60.00%),2 (0.40),←,
29,"Tallis, Rayden",21y 321d,48 (22-0-26 45.83%),10 (0.21),←,
6,"Taylor, Richard",23y 286d,36 (18-1-17 51.39%),16 (0.44),←,
8,"Treleven, Craig",26y 316d,26 (13-1-12 51.92%),8 (0.31),←,
30,"Woods, Tony",27y 298d,76 (34-1-41 45.39%),20 (0.26),45 (18-1-26 41.11%),10 (0.22)
Totals,Totals,24y 255d,1527 (916-14-597 59.99%),2072 (1.36),,
C,"Judge, Ken",39y 101d,28 (14-1-13 51.79%),,←,
