Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
22,"Breust, Luke",30y 179d,228 (153-1-74 67.32%),420 (1.84),←,
24,"Cousins, James",23y 51d,29 (11-0-18 37.93%),10 (0.34),←,
8,"Frost, Sam",27y 254d,115 (43-0-72 37.39%),8 (0.07),24 (7-0-17 29.17%),
13,"Hanrahan, Oliver",22y 255d,22 (11-0-11 50.00%),16 (0.73),←,
15,"Hardwick, Blake",24y 93d,90 (43-1-46 48.33%),6 (0.07),←,
28,"Hartigan, Kyle",29y 183d,121 (67-0-54 55.37%),1 (0.01),8 (2-0-6 25.00%),
27,"Hartley, Michael",27y 336d,48 (17-0-31 35.42%),2 (0.04),4 (0-0-4 0.00%),1 (0.25)
17,"Howe, Daniel",25y 156d,73 (40-1-32 55.48%),15 (0.21),←,
4,"Impey, Jarman",25y 304d,129 (66-0-63 51.16%),55 (0.43),54 (26-0-28 48.15%),21 (0.39)
39,"Jeka, Emerson",19y 233d,2 (0-0-2 0.00%),,←,
29,"Jiath, Changkuoth",21y 330d,15 (4-0-11 26.67%),,←,
34,"Koschitzke, Jacob",20y 302d,7 (2-0-5 28.57%),9 (1.29),←,
2,"Lewis, Mitch",22y 207d,27 (9-0-18 33.33%),33 (1.22),←,
7,"McEvoy, Ben",31y 302d,230 (126-3-101 55.43%),92 (0.40),139 (75-1-63 54.32%),65 (0.47)
3,"Mitchell, Tom",27y 343d,136 (74-1-61 54.78%),64 (0.47),71 (32-1-38 45.77%),26 (0.37)
36,"Moore, Dylan",21y 278d,18 (5-0-13 27.78%),13 (0.72),←,
35,"Morris, Josh",19y 183d,5 (0-0-5 0.00%),1 (0.20),←,
1,"Morrison, Harry",22y 178d,50 (22-0-28 44.00%),9 (0.18),←,
21,"Phillips, Tom",25y 2d,97 (53-2-42 55.67%),47 (0.48),8 (2-0-6 25.00%),3 (0.38)
14,"Scrimshaw, Jack",22y 247d,34 (11-0-23 32.35%),1 (0.03),30 (11-0-19 36.67%),1 (0.03)
26,"Shiels, Liam",30y 10d,229 (147-1-81 64.41%),82 (0.36),←,
20,"Wingard, Chad",27y 284d,183 (90-1-92 49.45%),264 (1.44),36 (14-0-22 38.89%),32 (0.89)
5,"Worpel, James",22y 105d,56 (25-0-31 44.64%),18 (0.32),←,
Totals,Totals,24y 336d,1944 (1019-11-914 52.42%),1166 (0.60),,
C,"Clarkson, Alastair",53y 12d,376 (223-2-151 59.57%),,←,
