Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
12,"Akermanis, Jason",27y 60d,193 (122-4-67 64.25%),227 (1.18),155 (99-3-53 64.84%),183 (1.18)
20,"Black, Simon",25y 21d,131 (91-1-39 69.85%),96 (0.73),←,
16,"Brown, Jonathan",22y 178d,79 (60-0-19 75.95%),90 (1.14),←,
19,"Charman, Jamie",21y 283d,53 (38-1-14 72.64%),14 (0.26),←,
30,"Copeland, Robert",22y 334d,57 (45-0-12 78.95%),13 (0.23),←,
18,"Corrie, Anthony",19y 307d,2 (1-0-1 50.00%),,←,
32,"Hart, Shaun",32y 343d,258 (136-3-119 53.29%),171 (0.66),156 (99-2-55 64.10%),90 (0.58)
2,"Johnson, Chris",27y 330d,202 (98-3-101 49.26%),149 (0.74),143 (91-3-49 64.69%),82 (0.57)
44,"Lappin, Nigel",27y 308d,221 (131-4-86 60.18%),147 (0.67),160 (99-3-58 62.81%),107 (0.67)
23,"Leppitsch, Justin",28y 206d,190 (113-4-73 60.53%),188 (0.99),146 (91-3-52 63.36%),130 (0.89)
11,"Lynch, Alastair",35y 310d,295 (153-2-140 52.20%),604 (2.05),143 (92-2-49 65.03%),342 (2.39)
9,"McGrath, Ashley",20y 340d,37 (25-1-11 68.92%),17 (0.46),←,
25,"McLaren, Dylan",21y 352d,13 (11-0-2 84.62%),1 (0.08),←,
4,"McRae, Craig",30y 215d,181 (115-2-64 64.09%),221 (1.22),142 (94-2-46 66.90%),165 (1.16)
15,"Michael, Mal",26y 305d,138 (79-1-58 57.61%),26 (0.19),77 (58-1-18 75.97%),3 (0.04)
8,"Notting, Tim",25y 186d,93 (66-1-26 71.51%),69 (0.74),←,
13,"Pike, Martin",31y 162d,218 (127-1-90 58.49%),100 (0.46),77 (57-1-19 74.68%),41 (0.53)
6,"Power, Luke",24y 107d,114 (77-1-36 67.98%),137 (1.20),←,
5,"Scott, Brad",27y 357d,123 (74-2-47 60.98%),40 (0.33),101 (66-2-33 66.34%),34 (0.34)
34,"Shattock, Aaron",23y 358d,53 (33-1-19 63.21%),14 (0.26),←,
3,"Voss, Michael",28y 292d,228 (137-2-89 60.53%),206 (0.90),149 (99-1-49 66.78%),134 (0.90)
33,"White, Darryl",30y 317d,247 (136-5-106 56.07%),162 (0.66),157 (97-3-57 62.74%),56 (0.36)
Totals,Totals,26y 225d,3126 (1868-39-1219 59.76%),2692 (0.86),,
C,"Matthews, Leigh",52y 54d,354 (217-6-131 62.15%),,130 (92-1-37 71.15%),
