Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
18,"Cameron, Jeremy",24y 98d,108 (42-2-64 39.81%),277 (2.56),←,
35,"Corr, Aidan",23y 52d,49 (19-2-28 40.82%),1 (0.02),←,
1,"Davis, Phil",26y 312d,111 (50-2-59 45.95%),6 (0.05),93 (39-2-52 43.01%),5 (0.05)
24,"de Boer, Matt",27y 120d,145 (82-3-60 57.59%),51 (0.35),7 (4-2-1 71.43%),3 (0.43)
19,"Haynes, Nick",25y 51d,71 (31-2-38 45.07%),6 (0.08),←,
22,"Kelly, Josh",22y 146d,74 (39-2-33 54.05%),42 (0.57),←,
15,"Kennedy, Matthew",20y 93d,14 (8-2-4 64.29%),5 (0.36),←,
38,"Lloyd, Daniel",25y 140d,7 (5-2-0 85.71%),4 (0.57),←,
37,"Lobb, Rory",24y 149d,46 (27-2-17 60.87%),50 (1.09),←,
41,"Mumford, Shane",31y 3d,166 (108-4-54 66.27%),48 (0.29),66 (39-2-25 60.61%),9 (0.14)
25,"Mzungu, Tendai",31y 130d,104 (59-2-43 57.69%),55 (0.53),2 (0-1-1 25.00%),1 (0.50)
12,"Patton, Jonathon",24y 49d,68 (32-2-34 48.53%),106 (1.56),←,
36,"Perryman, Harry",18y 201d,5 (3-1-1 70.00%),1 (0.20),←,
50,"Reid, Sam",27y 243d,43 (22-2-19 53.49%),20 (0.47),33 (16-2-15 51.52%),19 (0.58)
9,"Scully, Tom",26y 54d,141 (55-3-83 40.07%),67 (0.48),110 (42-2-66 39.09%),61 (0.55)
23,"Shaw, Heath",31y 223d,252 (154-4-94 61.90%),39 (0.15),79 (44-2-33 56.96%),2 (0.03)
5,"Shiel, Dylan",24y 121d,102 (41-2-59 41.18%),55 (0.54),←,
10,"Smith, Devon",24y 49d,103 (35-2-66 34.95%),96 (0.93),←,
20,"Tomlinson, Adam",23y 332d,82 (28-2-52 35.37%),19 (0.23),←,
8,"Ward, Callan",27y 89d,182 (78-2-102 43.41%),91 (0.50),122 (46-2-74 38.52%),58 (0.48)
6,"Whitfield, Lachie",22y 355d,80 (33-2-45 42.50%),38 (0.47),←,
16,"Wilson, Nathan",24y 182d,67 (35-2-30 53.73%),15 (0.22),←,
Totals,Totals,25y 112d,2020 (986-49-985 48.81%),1092 (0.54),,
C,"Cameron, Leon",44y 309d,83 (44-2-37 54.22%),,←,
