Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Dyson, Kevin",17,1,13,30,,3.0,,4.0,,,,,1.0,1.0,,,,,,,,,
21,"Febey, Steven",19,2,2,21,,,,1.0,,,,,1.0,2.0,,,,,,,,,
22,"Hilton, Jeff",5,,6,11,,,,,,,,,,1.0,,,,,,,,,
15,"Hopgood, Paul",5,,5,10,,,,1.0,,,,,,,,,,,,,,,
34,"Irving, Dean",2,1,4,6,,,5.0,1.0,,,,,,,,,,,,,,,
7,"Kowal, Darren",10,3,5,15,,,,2.0,,,,,2.0,,,,,,,,,,
16,"Lovell, Andy",16,8,8,24,5,,,3.0,,,,,,1.0,,,,,,,,,
17,"Lovett, Brett",7,4,15,22,1,,,,,,,,1.0,1.0,,,,,,,,,
6,"Lovett, Glenn",15,5,9,24,,1.0,,3.0,,,,,2.0,,3.0,,,,,,,,
3,"Lyon, Garry",12,8,,12,3,4.0,,1.0,,,,,,2.0,,,,,,,,,
28,"Molloy, Glenn",1,,2,3,,,,2.0,,,,,1.0,,,,,,,,,,
9,"Neitz, David",10,2,7,17,,,,,,,,,1.0,,,,,,,,,,
29,"Obst, Andrew",13,4,10,23,1,,,3.0,,,,,1.0,2.0,,,,,,,,,
10,"Pike, Martin",8,3,3,11,2,2.0,,1.0,,,,,1.0,2.0,,,,,,,,,
19,"Prymke, Paul",,,,,,,,,,,,,,,,,,,,,,,
5,"Schwarz, David",9,6,7,16,1,,2.0,2.0,,,,,1.0,5.0,,,,,,,,,
11,"Stynes, Jim",11,5,1,12,,,16.0,1.0,,,,,4.0,1.0,,,,,,,,,
2,"Tingay, Stephen",15,8,15,30,1,1.0,,2.0,,,,,2.0,1.0,,,,,,,,,
12,"Viney, Todd",18,6,9,27,1,,,2.0,,,,,1.0,3.0,,,,,,,,,
27,"Wight, Sean",6,4,4,10,,,,2.0,,,,,,,1.0,,,,,,,,
8,"Yeats, Graeme",4,,,4,,,,,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,203,70,125,328,15,13.0,23.0,31.0,,,,,19.0,22.0,4.0,,,,,,,,
Opposition,Opposition,164,44,111,275,12,11.0,20.0,35.0,,,,,22.0,19.0,2.0,,,,,,,,
