Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
47,"Beams, Ben",20y 307d,7 (3-0-4 42.86%),8 (1.14),←,
18,"Bishop, Matthew",23y 344d,12 (7-0-5 58.33%),3 (0.25),←,
19,"Chisholm, Scott",26y 23d,71 (28-0-43 39.44%),26 (0.37),8 (4-0-4 50.00%),1 (0.13)
8,"Farmer, Jeff",21y 361d,74 (29-0-45 39.19%),144 (1.95),←,
20,"Febey, Matthew",29y 305d,134 (62-0-72 46.27%),41 (0.31),←,
4,"Grgic, Brent",19y 255d,33 (15-0-18 45.45%),17 (0.52),←,
15,"Hopgood, Paul",25y 334d,102 (43-0-59 42.16%),10 (0.10),←,
27,"Ingerson, Anthony",29y 250d,113 (46-0-67 40.71%),40 (0.35),76 (30-0-46 39.47%),15 (0.20)
16,"Johnstone, Travis",18y 338d,20 (9-0-11 45.00%),15 (0.75),←,
7,"Kowal, Darren",27y 2d,99 (48-0-51 48.48%),42 (0.42),←,
36,"Leoncelli, Andrew",24y 338d,54 (24-0-30 44.44%),13 (0.24),←,
23,"McDonald, James",22y 258d,33 (18-0-15 54.55%),16 (0.48),←,
9,"Neitz, David",24y 149d,128 (58-0-70 45.31%),191 (1.49),←,
44,"Nicholson, Alistair",21y 108d,10 (4-0-6 40.00%),,←,
43,"Rigoni, Guy",24y 328d,37 (21-0-16 56.76%),11 (0.30),←,
5,"Schwarz, David",26y 331d,104 (46-1-57 44.71%),162 (1.56),←,
1,"Shanahan, Jamie",31y 196d,152 (81-1-70 53.62%),,27 (17-0-10 62.96%),
42,"Walsh, Peter",22y 331d,11 (4-0-7 36.36%),,←,
26,"Ward, Daniel",21y 346d,12 (4-0-8 33.33%),1 (0.08),←,
34,"White, Jeff",22y 121d,66 (33-0-33 50.00%),41 (0.62),34 (20-0-14 58.82%),23 (0.68)
22,"Woewodin, Shane",22y 343d,59 (25-0-34 42.37%),18 (0.31),←,
13,"Yze, Adem",21y 272d,84 (35-0-49 41.67%),34 (0.40),←,
Totals,Totals,24y 74d,1415 (643-2-770 45.44%),833 (0.59),,
C,"Daniher, Neale",38y 125d,37 (21-0-16 56.76%),,←,
