North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
18,"Atley, Shaun",24y 319d,150 (78-0-72 52.00%),26 (0.17),←,
50,"Brown, Ben",24y 251d,73 (41-0-32 56.16%),142 (1.95),←,
13,"Clarke, Ryan",20y 42d,17 (6-0-11 35.29%),6 (0.35),←,
10,"Cunnington, Ben",26y 29d,161 (85-0-76 52.80%),65 (0.40),←,
38,"Daw, Majak",26y 140d,32 (11-0-21 34.38%),30 (0.94),←,
14,"Dumont, Trent",22y 29d,35 (10-0-25 28.57%),14 (0.40),←,
24,"Durdin, Sam",21y 53d,4 (1-0-3 25.00%),,←,
27,"Garner, Taylor",23y 202d,31 (16-0-15 51.61%),19 (0.61),←,
43,"Gibson, Sam",31y 63d,126 (68-0-58 53.97%),50 (0.40),←,
4,"Higgins, Shaun",29y 147d,179 (85-1-93 47.77%),193 (1.08),50 (27-0-23 54.00%),65 (1.30)
8,"Hrovat, Nathan",23y 52d,48 (19-0-29 39.58%),25 (0.52),18 (5-0-13 27.78%),11 (0.61)
11,"McDonald, Luke",22y 170d,70 (38-0-32 54.29%),10 (0.14),←,
42,"Mountford, Declan",20y 166d,8 (1-0-7 12.50%),1 (0.13),←,
17,"Mullett, Aaron",25y 156d,82 (39-0-43 47.56%),31 (0.38),←,
26,"Nielson, Dan",21y 81d,4 (1-0-3 25.00%),,←,
31,"Preuss, Braydon",22y 43d,5 (1-0-4 20.00%),3 (0.60),←,
21,"Simpkin, Jy",19y 146d,10 (2-0-8 20.00%),7 (0.70),←,
9,"Swallow, Andrew",30y 57d,220 (109-1-110 49.77%),80 (0.36),←,
25,"Tarrant, Robbie",28y 95d,101 (49-0-52 48.51%),42 (0.42),←,
16,"Thompson, Scott",31y 81d,196 (95-2-99 48.98%),7 (0.04),←,
30,"Waite, Jarrad",34y 175d,231 (96-4-131 42.42%),345 (1.49),47 (30-0-17 63.83%),93 (1.98)
7,"Ziebell, Jack",26y 151d,164 (80-0-84 48.78%),97 (0.59),←,
Totals,Totals,25y 71d,1947 (931-8-1008 47.82%),1193 (0.61),,
C,"Scott, Brad",41y 87d,175 (90-0-85 51.43%),,←,
