Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
20,"Brogan, Dean",27y 199d,77 (55-1-21 72.08%),30 (0.39),←,
7,"Burgoyne, Peter",28y 153d,183 (104-3-76 57.65%),177 (0.97),←,
8,"Burgoyne, Shaun",23y 253d,95 (69-0-26 72.63%),99 (1.04),←,
25,"Cassisi, Domenic",23y 282d,76 (50-1-25 66.45%),33 (0.43),←,
30,"Chaplin, Troy",20y 128d,19 (10-1-8 55.26%),2 (0.11),←,
35,"Cornes, Chad",26y 231d,153 (97-1-55 63.73%),130 (0.85),←,
18,"Cornes, Kane",23y 177d,106 (70-1-35 66.51%),50 (0.47),←,
17,"Dew, Stuart",26y 317d,172 (100-3-69 59.01%),242 (1.41),←,
33,"Ebert, Brett",22y 225d,45 (24-1-20 54.44%),47 (1.04),←,
5,"Lade, Brendon",29y 356d,161 (93-3-65 58.70%),137 (0.85),←,
34,"Lonie, Nathan",23y 119d,76 (26-0-50 34.21%),41 (0.54),12 (6-0-6 50.00%),6 (0.50)
22,"Mahoney, Josh",28y 243d,80 (41-0-39 51.25%),75 (0.94),50 (31-0-19 62.00%),65 (1.30)
15,"Motlop, Daniel",24y 107d,55 (22-1-32 40.91%),56 (1.02),8 (2-0-6 25.00%),3 (0.38)
16,"Pearce, Danyle",20y 85d,20 (10-0-10 50.00%),16 (0.80),←,
36,"Pettigrew, Michael",21y 107d,25 (12-0-13 48.00%),18 (0.72),←,
3,"Salopek, Steven",21y 10d,39 (24-0-15 61.54%),17 (0.44),←,
39,"Surjan, Jacob",20y 320d,16 (10-0-6 62.50%),4 (0.25),←,
23,"Symes, Brad",21y 116d,9 (5-0-4 55.56%),1 (0.11),←,
6,"Thomson, Adam",19y 314d,10 (7-0-3 70.00%),5 (0.50),←,
2,"Wakelin, Darryl",31y 324d,238 (135-2-101 57.14%),12 (0.05),123 (82-1-40 67.07%),4 (0.03)
14,"Ware, Elijah",23y 78d,2 (1-0-1 50.00%),1 (0.50),←,
21,"Wilson, Michael",29y 222d,162 (87-4-71 54.94%),47 (0.29),←,
Totals,Totals,24y 182d,1819 (1052-22-745 57.83%),1240 (0.68),,
C,"Williams, Mark",47y 314d,180 (110-2-68 61.67%),,←,
