Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Banner, Mitchell",9,4,9,18,3.0,,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,10,8,,,1.0,,1.0,87.0
10,"Boak, Travis",8,1,7,15,,,,3.0,,2.0,5.0,3.0,,1.0,,7,7,,,,1.0,,81.0
1,"Cassisi, Domenic",12,2,14,26,1.0,,1.0,8.0,1.0,3.0,7.0,3.0,3.0,1.0,,14,12,,1.0,3.0,,,78.0
30,"Chaplin, Troy",9,4,7,16,,,,2.0,5.0,,,2.0,2.0,1.0,,9,6,2.0,,5.0,,,99.0
35,"Cornes, Chad",12,5,5,17,3.0,2.0,1.0,7.0,,4.0,,,1.0,,,7,8,1.0,2.0,1.0,,2.0,94.0
18,"Cornes, Kane",16,4,10,26,,,,1.0,3.0,2.0,4.0,2.0,,1.0,,7,17,,,1.0,,,94.0
33 ↓,"Ebert, Brett",2,1,5,7,,1.0,,1.0,,2.0,,1.0,,1.0,,6,1,1.0,1.0,,,1.0,55.0
17,"Gray, Robbie",14,6,5,19,2.0,,,6.0,1.0,3.0,4.0,2.0,2.0,1.0,,10,10,2.0,2.0,3.0,,2.0,85.0
8,"Hartlett, Hamish",18,7,4,22,1.0,1.0,,2.0,4.0,3.0,3.0,2.0,1.0,,,6,15,,1.0,1.0,,,82.0
2,"Hitchcock, Cameron",15,6,5,20,2.0,1.0,,,,3.0,1.0,1.0,,,,5,14,,1.0,,1.0,1.0,97.0
16,"Jacobs, Ben",12,2,10,22,,,,1.0,5.0,2.0,3.0,2.0,1.0,1.0,,10,10,,,1.0,1.0,,81.0
23,"Lobbe, Matthew",6,2,7,13,,,22.0,5.0,,3.0,4.0,3.0,3.0,3.0,,8,6,1.0,,3.0,,,75.0
44,"Logan, Tom",7,4,2,9,,,,1.0,4.0,,1.0,1.0,,,,1,7,,,4.0,,,93.0
13,"OShea, Cameron",12,4,8,20,,,,1.0,2.0,2.0,3.0,4.0,1.0,,,7,15,,,5.0,1.0,,81.0
6,"Pearce, Danyle",13,1,8,21,1.0,1.0,,3.0,,4.0,2.0,2.0,1.0,,,11,10,,,3.0,1.0,1.0,93.0
36,"Pettigrew, Michael",3,2,2,5,,,,2.0,1.0,1.0,,1.0,,,,1,4,,,5.0,1.0,1.0,80.0
15 ↑,"Rodan, David",7,1,3,10,,,,3.0,2.0,2.0,3.0,,,,,8,2,,,1.0,1.0,,36.0
3,"Salopek, Steven",15,7,5,20,,1.0,1.0,1.0,2.0,3.0,1.0,1.0,,,,3,17,,1.0,1.0,,,74.0
19,"Salter, Nick",11,5,6,17,,,,2.0,5.0,3.0,,2.0,,,,6,11,1.0,,4.0,,,75.0
28,"Schulz, Jay",4,4,3,7,,,,2.0,,1.0,,1.0,,,,5,3,1.0,,4.0,,,94.0
21,"Thomas, Matt",11,9,14,25,1.0,,,4.0,,2.0,1.0,4.0,,1.0,,10,14,1.0,1.0,1.0,,1.0,83.0
12,"Trengove, Jackson",6,4,12,18,,1.0,2.0,5.0,1.0,,1.0,1.0,,1.0,,6,11,,,4.0,,,82.0
Totals,Totals,222,85,151,373,14.0,8.0,27.0,62.0,37.0,47.0,44.0,40.0,16.0,13.0,,157,208,10.0,10.0,51.0,7.0,10.0,
Opposition,Opposition,198,66,154,352,17.0,11.0,53.0,74.0,29.0,56.0,36.0,44.0,13.0,15.0,6.0,144,204,6.0,14.0,73.0,17.0,13.0,
