Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
28,"Collins, Matthew",3,1.0,6.0,9,,,,2.0,1.0,,1.0,2.0,1.0,,,4,6,,,,,,
33,"Farmer, Jeff",13,6.0,7.0,20,2.0,3.0,,2.0,,5.0,3.0,2.0,2.0,2.0,,14,6,3.0,3.0,,2.0,,
21,"Febey, Steven",6,1.0,3.0,9,,1.0,,1.0,2.0,1.0,1.0,1.0,,1.0,,2,8,,1.0,1.0,,,
18,"Green, Brad",2,1.0,,2,,,,1.0,,,1.0,,,,,1,1,,,,,,
4,"Grgic, Brent",1,,4.0,5,,,,,,1.0,1.0,,,,,3,2,,,1.0,,,
27,"Ingerson, Anthony",3,3.0,3.0,6,,,3.0,3.0,2.0,,,1.0,,1.0,,1,4,,,1.0,,,
16,"Johnstone, Travis",9,3.0,,9,2.0,1.0,,2.0,1.0,2.0,,,1.0,3.0,,6,4,2.0,2.0,1.0,1.0,,
36,"Leoncelli, Andrew",15,4.0,12.0,27,1.0,3.0,,4.0,,4.0,4.0,1.0,1.0,1.0,,12,14,1.0,1.0,1.0,,,
35,"McDonald, Anthony",13,10.0,20.0,33,,,,2.0,8.0,3.0,1.0,,1.0,,2.0,12,21,1.0,1.0,,4.0,,
23,"McDonald, James",13,4.0,9.0,22,,1.0,,4.0,2.0,4.0,3.0,,1.0,,,8,14,,1.0,,1.0,,
44,"Nicholson, Alistair",5,1.0,7.0,12,,,1.0,5.0,2.0,3.0,,1.0,1.0,,,8,4,,,1.0,,,
14,"Pitt, Steven",2,1.0,2.0,4,,,,1.0,,,1.0,1.0,,,,3,1,1.0,1.0,,,,
7,"Powell, Stephen",16,5.0,8.0,24,3.0,,,,1.0,6.0,7.0,1.0,1.0,1.0,,7,16,,3.0,,1.0,,
43,"Rigoni, Guy",13,4.0,3.0,16,1.0,,,1.0,3.0,1.0,1.0,1.0,,,,5,11,1.0,,2.0,1.0,,
24,"Robertson, Russell",10,4.0,10.0,20,2.0,1.0,,,,1.0,2.0,1.0,,1.0,,9,10,,2.0,1.0,,,
5,"Schwarz, David",11,5.0,9.0,20,1.0,1.0,7.0,4.0,,8.0,2.0,3.0,1.0,4.0,,9,11,,1.0,1.0,,,
42,"Walsh, Peter",7,2.0,10.0,17,1.0,1.0,,1.0,3.0,,1.0,3.0,,,,6,11,,1.0,1.0,2.0,,
31,"Wheatley, Paul",11,4.0,2.0,13,,1.0,,1.0,3.0,1.0,3.0,1.0,,1.0,,3,10,,,,,,
45,"Whelan, Matthew",5,2.0,8.0,13,,,,4.0,4.0,,,,1.0,1.0,,6,7,1.0,,,,,
34,"White, Jeff",10,7.0,7.0,17,,,25.0,4.0,1.0,4.0,,2.0,1.0,,,4,13,,,,,,
22,"Woewodin, Shane",16,3.0,5.0,21,1.0,1.0,,3.0,2.0,5.0,2.0,6.0,1.0,2.0,,9,12,,2.0,3.0,,,
13,"Yze, Adem",21,,7.0,28,2.0,,,1.0,2.0,5.0,6.0,2.0,3.0,1.0,3.0,13,13,,,,1.0,,
Totals,Totals,205,71.0,142.0,347,16.0,14.0,36.0,46.0,37.0,54.0,40.0,29.0,16.0,19.0,5.0,145,199,10.0,19.0,14.0,13.0,,
Opposition,Opposition,189,82.0,94.0,283,14.0,16.0,27.0,31.0,29.0,61.0,39.0,24.0,19.0,16.0,1.0,136,150,13.0,11.0,24.0,9.0,,
