Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
2,"Armstrong, Steven",18y 204d,8 (5-0-3 62.50%),2 (0.25),←,
3,"Bizzell, Clint",26y 37d,91 (40-1-50 44.51%),73 (0.80),16 (8-0-8 50.00%),1 (0.06)
20,"Broadbridge, Troy",21y 303d,26 (12-0-14 46.15%),2 (0.08),←,
25,"Brown, Nathan",25y 355d,49 (23-0-26 46.94%),15 (0.31),←,
32,"Bruce, Cameron",22y 308d,59 (31-0-28 52.54%),67 (1.14),←,
30,"Godfrey, Simon",21y 290d,18 (9-0-9 50.00%),2 (0.11),←,
16,"Johnstone, Travis",22y 18d,63 (29-0-34 46.03%),50 (0.79),←,
11,"Jolly, Darren",20y 271d,16 (8-0-8 50.00%),6 (0.38),←,
29,"Lamb, Chris",21y 146d,12 (5-0-7 41.67%),1 (0.08),←,
36,"Leoncelli, Andrew",28y 18d,124 (57-0-67 45.97%),62 (0.50),←,
35,"McDonald, Anthony",30y 52d,103 (48-0-55 46.60%),41 (0.40),←,
37,"Miller, Brad",19y 29d,3 (1-0-2 33.33%),,←,
9,"Neitz, David",27y 194d,198 (91-0-107 45.96%),338 (1.71),←,
24,"Robertson, Russell",23y 253d,94 (48-0-46 51.06%),139 (1.48),←,
19,"Vardy, Peter",26y 190d,111 (56-0-55 50.45%),176 (1.59),15 (8-0-7 53.33%),26 (1.73)
42,"Walsh, Peter",26y 11d,69 (35-0-34 50.72%),17 (0.25),←,
10,"Ward, Daniel",25y 26d,62 (26-0-36 41.94%),20 (0.32),←,
31,"Wheatley, Paul",21y 114d,40 (22-0-18 55.00%),17 (0.43),←,
45,"Whelan, Matthew",22y 264d,43 (22-0-21 51.16%),4 (0.09),←,
34,"White, Jeff",25y 166d,139 (67-0-72 48.20%),63 (0.45),107 (54-0-53 50.47%),45 (0.42)
22,"Woewodin, Shane",26y 23d,132 (60-0-72 45.45%),57 (0.43),←,
13,"Yze, Adem",24y 317d,159 (71-0-88 44.65%),114 (0.72),←,
Totals,Totals,23y 362d,1619 (766-1-852 47.31%),1266 (0.78),,
C,"Daniher, Neale",41y 170d,112 (57-0-55 50.89%),,←,
