Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
2,"Armstrong, Steven",9,3,7,16,,,,2.0,1.0,5.0,2.0,,2.0,,,8.0,8.0,,,1.0,,1.0,91.0
3,"Bizzell, Clint",10,5,5,15,,,,2.0,8.0,1.0,,3.0,1.0,1.0,,6.0,9.0,2.0,,4.0,1.0,,100.0
32,"Bruce, Cameron",5,3,1,6,,,,1.0,,4.0,2.0,,1.0,,,3.0,3.0,1.0,,,,1.0,97.0
35,"Ferguson, Ryan",7,5,4,11,,,,,3.0,2.0,,2.0,2.0,2.0,,4.0,6.0,1.0,,2.0,,1.0,93.0
30,"Godfrey, Simon",2,,7,9,,,,2.0,,2.0,2.0,5.0,,3.0,,4.0,4.0,,,4.0,,,58.0
18,"Green, Brad",16,5,5,21,1,2.0,,2.0,3.0,5.0,1.0,1.0,,1.0,,4.0,16.0,,2.0,,,,100.0
1,"Heffernan, Chris",7,1,1,8,1,,,4.0,1.0,4.0,2.0,2.0,1.0,,,5.0,3.0,,,1.0,,,76.0
40,"Jamar, Mark",4,2,4,8,1,,14.0,1.0,,,4.0,,2.0,,,6.0,2.0,1.0,,3.0,,,48.0
11,"Jolly, Darren",4,1,3,7,,,23.0,1.0,1.0,,4.0,1.0,3.0,,,6.0,1.0,1.0,,3.0,,,74.0
36,"Leoncelli, Andrew",11,5,7,18,1,,,3.0,,3.0,4.0,1.0,,1.0,,8.0,9.0,,,1.0,3.0,,93.0
23,"McDonald, James",6,1,9,15,,,1.0,8.0,,2.0,5.0,,,,,8.0,7.0,,,1.0,2.0,,92.0
37,"Miller, Brad",4,2,5,9,,,,,3.0,,,,,,,5.0,4.0,,,2.0,,,67.0
9,"Neitz, David",6,4,,6,4,1.0,3.0,1.0,,1.0,,2.0,,2.0,,3.0,3.0,1.0,4.0,,,,100.0
43,"Rigoni, Guy",15,5,5,20,1,1.0,,4.0,3.0,6.0,5.0,2.0,,1.0,,5.0,15.0,,1.0,,,1.0,75.0
24,"Robertson, Russell",16,6,3,19,3,1.0,1.0,1.0,,6.0,1.0,,2.0,,1.0,12.0,7.0,3.0,2.0,,,1.0,100.0
6,"Thompson, Scott",8,4,8,16,,,,4.0,1.0,3.0,3.0,3.0,,,,5.0,11.0,,1.0,,,,67.0
19,"Vardy, Peter",9,4,5,14,2,1.0,,3.0,1.0,,,6.0,,2.0,,6.0,7.0,,2.0,,,1.0,100.0
10,"Ward, Daniel",12,2,3,15,,,1.0,,5.0,6.0,1.0,5.0,,1.0,,3.0,11.0,,,2.0,,2.0,100.0
31,"Wheatley, Paul",3,1,2,5,,,,,,,,3.0,,1.0,,3.0,4.0,1.0,,1.0,,1.0,44.0
45,"Whelan, Matthew",7,1,5,12,1,,,1.0,2.0,1.0,,,,,,5.0,6.0,,,1.0,,,100.0
26,"Williams, Luke",4,1,9,13,,,,1.0,1.0,1.0,,2.0,1.0,1.0,,9.0,5.0,,,,,,100.0
13,"Yze, Adem",8,1,1,9,1,,,,,3.0,1.0,3.0,1.0,1.0,,8.0,1.0,1.0,1.0,,,1.0,97.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,173,62,99,272,16,7.0,43.0,41.0,33.0,55.0,37.0,41.0,16.0,17.0,1.0,126.0,142.0,12.0,13.0,26.0,6.0,10.0,
Opposition,Opposition,199,98,85,284,17,10.0,22.0,41.0,37.0,55.0,29.0,36.0,17.0,16.0,5.0,135.0,146.0,22.0,16.0,33.0,13.0,5.0,
