Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
7,"Brown, Nathan",10,5.0,11,21,3.0,,,3.0,,,1.0,1.0,,1.0,,5,16,,3.0,1.0,3.0,,82.0
9,"Cotchin, Trent",5,1.0,10,15,,,1.0,1.0,2.0,2.0,2.0,1.0,3.0,,,10,8,,,1.0,1.0,,61.0
32,"Cousins, Ben",13,1.0,14,27,,1.0,,5.0,2.0,4.0,5.0,2.0,1.0,,3.0,11,16,,,4.0,1.0,1.0,78.0
3,"Deledio, Brett",11,4.0,13,24,2.0,1.0,,6.0,2.0,5.0,2.0,3.0,,,1.0,9,15,1.0,3.0,2.0,3.0,,86.0
10,"Edwards, Shane",7,2.0,7,14,,1.0,,,4.0,2.0,1.0,2.0,,,,5,9,2.0,,,1.0,,75.0
27,"Hislop, Tom",9,4.0,3,12,1.0,,,4.0,1.0,4.0,2.0,2.0,1.0,,,4,9,,,4.0,,3.0,87.0
23,"Jackson, Daniel",12,6.0,10,22,,,2.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,,4,19,,,2.0,,,75.0
46,"King, Jake",8,6.0,12,20,,,,2.0,2.0,4.0,2.0,5.0,1.0,4.0,,9,11,,,4.0,,1.0,82.0
16,"McGuane, Luke",10,10.0,6,16,,,,3.0,3.0,,,2.0,,2.0,,2,14,,,4.0,6.0,,91.0
13,"McMahon, Jordan",14,6.0,9,23,1.0,2.0,,2.0,5.0,7.0,4.0,3.0,,,,5,17,,1.0,1.0,7.0,,80.0
40,"Moore, Kelvin",3,4.0,7,10,,1.0,,6.0,1.0,,,,1.0,,,3,6,,,3.0,,,92.0
20,"Morton, Mitch",11,5.0,9,20,2.0,2.0,,1.0,,3.0,1.0,4.0,,1.0,,8,12,,4.0,,,,91.0
38,"Nahas, Robin",8,4.0,4,12,1.0,2.0,,6.0,1.0,3.0,2.0,2.0,1.0,2.0,,3,8,,1.0,1.0,2.0,1.0,75.0
17,"Newman, Chris",9,,11,20,,,,3.0,3.0,4.0,3.0,,1.0,,,9,10,,,4.0,4.0,2.0,84.0
26,"Pattison, Adam",3,5.0,12,15,,,14.0,3.0,,,1.0,1.0,2.0,,,4,11,,,4.0,1.0,,65.0
14,"Polo, Dean",11,6.0,3,14,,,,1.0,4.0,1.0,2.0,1.0,1.0,,,6,8,2.0,,3.0,,,84.0
37,"Post, Jayden",6,4.0,6,12,,1.0,,1.0,1.0,,1.0,,1.0,,,3,9,,1.0,3.0,1.0,,94.0
8,"Riewoldt, Jack",8,5.0,3,11,1.0,2.0,,1.0,,3.0,,3.0,1.0,,,4,7,,2.0,,1.0,,86.0
30,"Tambling, Richard",11,3.0,11,22,,1.0,,4.0,,5.0,2.0,2.0,1.0,2.0,,9,13,,,1.0,,1.0,83.0
2,"Thursfield, Will",5,5.0,4,9,,,,,,,,1.0,,1.0,,1,8,1.0,,5.0,,,100.0
29,"Vickery, Ty",1,1.0,5,6,1.0,,9.0,1.0,,,1.0,1.0,,1.0,,2,4,,1.0,,,,77.0
35,"White, Matt",5,1.0,10,15,,,,6.0,,3.0,2.0,4.0,,4.0,,6,9,,,2.0,,,69.0
Totals,Totals,180,88.0,180,360,12.0,14.0,26.0,62.0,33.0,53.0,36.0,44.0,17.0,20.0,4.0,122,239,6.0,16.0,49.0,31.0,9.0,
Opposition,Opposition,201,100.0,142,343,12.0,10.0,37.0,71.0,36.0,47.0,28.0,41.0,20.0,17.0,2.0,113,229,6.0,9.0,37.0,15.0,6.0,
