Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
12,"Astbury, David",23y 80d,37 (13-2-22 37.84%),7 (0.19),←,
25,"Chaplin, Troy",28y 83d,170 (72-1-97 42.65%),11 (0.06),30 (17-0-13 56.67%),1 (0.03)
30,"Conca, Reece",21y 278d,60 (28-1-31 47.50%),17 (0.28),←,
9,"Cotchin, Trent",24y 40d,116 (52-2-62 45.69%),67 (0.58),←,
3,"Deledio, Brett",27y 29d,199 (80-5-114 41.46%),129 (0.65),←,
10,"Edwards, Shane",25y 204d,137 (51-5-81 39.05%),89 (0.65),←,
5,"Ellis, Brandon",20y 287d,50 (25-1-24 51.00%),19 (0.38),←,
41,"Foley, Nathan",28y 251d,139 (54-3-82 39.93%),40 (0.29),←,
24,"Griffiths, Ben",22y 242d,26 (14-0-12 53.85%),8 (0.31),←,
6,"Grigg, Shaun",26y 28d,117 (53-2-62 46.15%),50 (0.43),74 (35-2-37 48.65%),40 (0.54)
16,"Hampson, Shaun",26y 57d,70 (36-1-33 52.14%),32 (0.46),7 (2-0-5 28.57%),
14,"Houli, Bachar",26y 5d,99 (44-3-52 45.96%),23 (0.23),73 (34-2-37 47.95%),14 (0.19)
23,"Jackson, Daniel",28y 22d,152 (56-4-92 38.16%),60 (0.39),←,
35,"Lennon, Ben",18y 316d,1 (0-0-1 0.00%),2 (2.00),←,
42,"Lloyd, Sam",24y 75d,5 (1-0-4 20.00%),7 (1.40),←,
4,"Martin, Dustin",22y 325d,94 (40-2-52 43.62%),101 (1.07),←,
36,"McDonough, Matt",20y 111d,5 (0-0-5 0.00%),,←,
38,"Morris, Steven",25y 137d,51 (26-1-24 51.96%),6 (0.12),←,
18,"Rance, Alex",24y 220d,92 (35-2-55 39.13%),8 (0.09),←,
8,"Riewoldt, Jack",25y 198d,142 (56-4-82 40.85%),337 (2.37),←,
29,"Vickery, Ty",23y 351d,81 (33-2-46 41.98%),88 (1.09),←,
31,"Vlastuin, Nick",20y 28d,26 (13-0-13 50.00%),10 (0.38),←,
Totals,Totals,24y 103d,1869 (782-41-1046 41.84%),1111 (0.59),,
C,"Hardwick, Damien",41y 272d,97 (41-2-54 43.30%),,←,
