Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
44,"Arnot, Matt",7,1,3,10,1,,,6.0,1.0,2.0,1.0,6.0,3.0,3.0,,6.0,4.0,,,,,,80.0
12,"Astbury, David",6,2,5,11,,,,3.0,3.0,1.0,1.0,,1.0,,,3.0,7.0,,,6.0,,,100.0
11,"Batchelor, Jake",3,2,4,7,,,,5.0,1.0,1.0,,,,,,4.0,4.0,,,8.0,,1.0,81.0
9,"Cotchin, Trent",13,2,11,24,,1.0,1.0,3.0,3.0,3.0,7.0,3.0,4.0,,,17.0,7.0,1.0,,3.0,2.0,,90.0
39 ↓,"Drummond, Nathan",4,1,1,5,,,,2.0,,1.0,,1.0,,,,1.0,3.0,,,,1.0,,32.0
10,"Edwards, Shane",14,1,10,24,2,1.0,,5.0,1.0,6.0,7.0,6.0,2.0,,1.0,16.0,8.0,1.0,,1.0,2.0,,81.0
5,"Ellis, Brandon",14,3,8,22,,,,7.0,1.0,5.0,4.0,1.0,1.0,,,8.0,13.0,,,1.0,,,90.0
22,"Gordon, Nathan",8,3,2,10,1,1.0,,1.0,,3.0,,4.0,1.0,2.0,,5.0,5.0,,2.0,,,,90.0
24,"Griffiths, Ben",5,3,3,8,1,2.0,7.0,2.0,,1.0,,5.0,2.0,1.0,,6.0,2.0,1.0,2.0,2.0,,,70.0
6,"Grigg, Shaun",10,2,7,17,,,4.0,12.0,1.0,4.0,5.0,1.0,3.0,,,8.0,11.0,,,2.0,,,84.0
14,"Houli, Bachar",12,3,9,21,,,,2.0,5.0,2.0,,4.0,,1.0,,4.0,14.0,,,3.0,5.0,,85.0
28,"Hunt, Taylor",7,2,3,10,1,,1.0,4.0,1.0,5.0,,4.0,1.0,3.0,,2.0,10.0,,,2.0,,,79.0
27,"Lloyd, Sam",5,2,7,12,,,,3.0,,1.0,,2.0,,,,7.0,6.0,1.0,1.0,,1.0,,94.0
20,"Maric, Ivan",6,3,8,14,,1.0,34.0,7.0,,1.0,6.0,1.0,2.0,1.0,,10.0,4.0,1.0,,6.0,,1.0,91.0
4,"Martin, Dustin",16,,8,24,,,,6.0,1.0,6.0,3.0,4.0,1.0,1.0,,9.0,14.0,,,,,,83.0
36 ↑,"McDonough, Matt",6,1,1,7,,,,3.0,2.0,2.0,3.0,2.0,1.0,1.0,,4.0,4.0,,,2.0,,,38.0
33,"McIntosh, Kamdyn",10,2,4,14,,1.0,,2.0,,2.0,1.0,4.0,,2.0,,3.0,10.0,,,4.0,,,88.0
26,"Miles, Anthony",10,2,15,25,,2.0,,4.0,,4.0,7.0,6.0,4.0,5.0,,17.0,9.0,,,,,,85.0
38,"Morris, Steven",,1,4,4,,,,5.0,,,,,1.0,,,3.0,3.0,,,2.0,,,91.0
18,"Rance, Alex",4,4,6,10,,,,3.0,4.0,1.0,,4.0,2.0,4.0,,7.0,6.0,1.0,,12.0,3.0,,96.0
8,"Riewoldt, Jack",10,7,7,17,,4.0,,5.0,,6.0,,1.0,1.0,,,8.0,9.0,2.0,2.0,,,1.0,100.0
31,"Vlastuin, Nick",6,4,4,10,,,,5.0,4.0,,1.0,,,,,7.0,3.0,2.0,,6.0,,,74.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,176,51,130,306,6,15.0,47.0,95.0,28.0,57.0,46.0,59.0,30.0,24.0,1.0,155.0,156.0,10.0,7.0,60.0,14.0,3.0,
Opposition,Opposition,184,55,133,317,12,11.0,39.0,99.0,46.0,43.0,39.0,49.0,24.0,30.0,5.0,160.0,150.0,10.0,8.0,37.0,9.0,8.0,
