Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
12,"Astbury, David",27y 57d,90 (42-2-46 47.78%),8 (0.09),←,
35,"Broad, Nathan",25y 9d,13 (11-0-2 84.62%),,←,
7,"Butler, Dan",21y 325d,28 (21-0-7 75.00%),34 (1.21),←,
11,"Castagna, Jason",21y 286d,35 (23-0-12 65.71%),38 (1.09),←,
30,"Conca, Reece",25y 255d,91 (48-1-42 53.30%),21 (0.23),←,
9,"Cotchin, Trent",28y 17d,203 (105-2-96 52.22%),119 (0.59),←,
10,"Edwards, Shane",29y 181d,212 (98-5-109 47.41%),142 (0.67),←,
5,"Ellis, Brandon",24y 264d,140 (80-1-59 57.50%),46 (0.33),←,
6,"Grigg, Shaun",30y 5d,197 (102-2-93 52.28%),94 (0.48),154 (84-2-68 55.19%),84 (0.55)
2,"Grimes, Dylan",26y 282d,109 (65-0-44 59.63%),3 (0.03),←,
28,"Higgins, Jack",19y 36d,2 (2-0-0 100.00%),5 (2.50),←,
14,"Houli, Bachar",29y 347d,174 (89-3-82 52.01%),38 (0.22),148 (79-2-67 54.05%),29 (0.20)
23,"Lambert, Kane",26y 149d,57 (35-0-22 61.40%),33 (0.58),←,
27,"Lloyd, Sam",28y 52d,52 (26-0-26 50.00%),67 (1.29),←,
4,"Martin, Dustin",26y 302d,183 (94-2-87 51.91%),199 (1.09),←,
33,"McIntosh, Kamdyn",24y 21d,58 (37-0-21 63.79%),13 (0.22),←,
25,"Nankervis, Toby",23y 255d,41 (29-0-12 70.73%),15 (0.37),29 (22-0-7 75.86%),12 (0.41)
3,"Prestia, Dion",25y 194d,119 (45-0-74 37.82%),38 (0.32),24 (19-0-5 79.17%),8 (0.33)
18,"Rance, Alex",28y 197d,180 (90-2-88 50.56%),9 (0.05),←,
8,"Riewoldt, Jack",29y 175d,230 (109-4-117 48.26%),548 (2.38),←,
15,"Short, Jayden",22y 90d,37 (20-0-17 54.05%),8 (0.22),←,
21,"Townsend, Jacob",24y 308d,42 (15-0-27 35.71%),28 (0.67),14 (11-0-3 78.57%),24 (1.71)
Totals,Totals,25y 322d,2293 (1186-24-1083 51.72%),1506 (0.66),,
C,"Hardwick, Damien",45y 249d,187 (96-2-89 51.87%),,←,
