Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
17,"Bowey, Jake",10,2,5,15,,,,8.0,5.0,1.0,,1.0,,,,2.0,7.0,,,1.0,1.0,,69.0
10,"Brayshaw, Angus",10,5,12,22,,,,2.0,,5.0,4.0,3.0,,,,9.0,12.0,,,1.0,,,79.0
37,"Chandler, Kade",4,3,4,8,1,,,3.0,,2.0,,,,,,2.0,6.0,,,,,1.0,74.0
11,"Gawn, Max",19,5,9,28,,1.0,40.0,1.0,1.0,8.0,11.0,5.0,2.0,2.0,3.0,22.0,8.0,1.0,1.0,4.0,,,89.0
4,"Harmes, James",8,3,11,19,,2.0,,4.0,1.0,3.0,4.0,2.0,,1.0,,7.0,12.0,,2.0,1.0,,,74.0
12,"Hunter, Lachie",12,6,4,16,1,,,,1.0,4.0,3.0,,1.0,,,3.0,13.0,,1.0,2.0,,1.0,91.0
23,"Jordon, James",6,2,5,11,,1.0,,3.0,1.0,3.0,2.0,3.0,,2.0,,4.0,10.0,,1.0,2.0,,,69.0
15,"Langdon, Ed",16,7,9,25,,,,5.0,2.0,3.0,2.0,5.0,1.0,,,7.0,18.0,,,,1.0,1.0,90.0
8,"Lever, Jake",11,8,5,16,,,,,3.0,1.0,,3.0,,1.0,,6.0,10.0,,,7.0,,,97.0
1,"May, Steven",8,5,6,14,,,,1.0,4.0,1.0,,1.0,,,,6.0,6.0,3.0,,6.0,,,100.0
41,"McVee, Judd",6,2,5,11,,,,1.0,2.0,,,,,,,6.0,5.0,,,2.0,,,82.0
18,"Melksham, Jake",7,5,2,9,4,,,,,2.0,,5.0,1.0,,,4.0,6.0,1.0,2.0,2.0,,,80.0
30,"Neal-Bullen, Alex",13,3,9,22,1,,,6.0,,8.0,1.0,4.0,2.0,,,11.0,11.0,,,,,1.0,83.0
5,"Petracca, Christian",15,5,14,29,1,3.0,,5.0,,8.0,8.0,2.0,1.0,,1.0,14.0,15.0,,1.0,,,4.0,84.0
35,"Petty, Harry",10,10,1,11,6,,3.0,4.0,,1.0,,1.0,,,2.0,4.0,7.0,4.0,7.0,1.0,,,83.0
36,"Pickett, Kysaiah",10,2,3,13,2,1.0,,3.0,,5.0,1.0,3.0,1.0,1.0,,6.0,8.0,,1.0,2.0,1.0,1.0,84.0
24,"Rivers, Trent",15,3,7,22,,,,2.0,4.0,3.0,2.0,2.0,,1.0,,6.0,15.0,,,1.0,,4.0,70.0
3,"Salem, Christian",9,4,3,12,,,,2.0,2.0,4.0,2.0,,,,,5.0,7.0,2.0,,,,,83.0
29 ↑,"Smith, Joel",4,3,1,5,,,,1.0,1.0,,,1.0,1.0,,,1.0,4.0,1.0,,4.0,,,40.0
20 ↓,"Tomlinson, Adam",4,,3,7,,,,1.0,1.0,,,5.0,,1.0,,4.0,2.0,,,3.0,,,60.0
2,"van Rooyen, Jacob",5,4,2,7,4,,5.0,1.0,,1.0,,,,,,1.0,6.0,1.0,3.0,,,,68.0
7,"Viney, Jack",20,4,12,32,,,,9.0,1.0,9.0,7.0,3.0,1.0,,,10.0,20.0,,1.0,2.0,,1.0,83.0
40,"Woewodin, Taj",5,4,4,9,,,,,1.0,1.0,2.0,1.0,,,,4.0,5.0,,,,,,69.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,227,95,136,363,20,10.0,48.0,62.0,30.0,73.0,49.0,50.0,11.0,9.0,6.0,144.0,213.0,13.0,20.0,41.0,3.0,14.0,
Opposition,Opposition,204,70,130,334,15,8.0,34.0,63.0,53.0,45.0,40.0,65.0,9.0,11.0,,139.0,183.0,6.0,10.0,60.0,7.0,9.0,
