Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
32,"Bugg, Tomas",23y 25d,71 (20-0-51 28.17%),18 (0.25),6 (3-0-3 50.00%),2 (0.33)
14,"Dunn, Lynden",28y 352d,165 (43-2-120 26.67%),97 (0.59),←,
17,"Frost, Sam",22y 246d,29 (9-0-20 31.03%),6 (0.21),8 (4-0-4 50.00%),4 (0.50)
36,"Garlett, Jeff",26y 271d,133 (66-1-66 50.00%),231 (1.74),26 (9-0-17 34.62%),48 (1.85)
11,"Gawn, Max",24y 122d,45 (12-0-33 26.67%),23 (0.51),←,
43,"Harmes, James",20y 208d,14 (6-0-8 42.86%),7 (0.50),←,
1,"Hogan, Jesse",21y 78d,26 (9-0-17 34.62%),60 (2.31),←,
29,"Hunt, Jayden",21y 27d,3 (2-0-1 66.67%),,←,
39,"Jetta, Neville",26y 78d,79 (19-2-58 25.32%),21 (0.27),←,
2,"Jones, Nathan",28y 101d,207 (51-3-153 25.36%),97 (0.47),←,
35,"Kennedy, Ben",22y 58d,31 (15-0-16 48.39%),20 (0.65),6 (3-0-3 50.00%),5 (0.83)
16,"Kent, Dean",22y 66d,38 (8-0-30 21.05%),32 (0.84),←,
8,"Lumumba, Heritier",29y 167d,223 (137-2-84 61.88%),30 (0.13),24 (8-0-16 33.33%),2 (0.08)
25,"McDonald, Tom",23y 225d,88 (21-0-67 23.86%),7 (0.08),←,
21,"Pedersen, Cameron",29y 44d,57 (16-0-41 28.07%),47 (0.82),41 (9-0-32 21.95%),27 (0.66)
5,"Petracca, Christian",20y 117d,1 (0-0-1 0.00%),,←,
3,"Salem, Christian",20y 290d,28 (9-0-19 32.14%),8 (0.29),←,
12,"Tyson, Dom",22y 327d,56 (13-0-43 23.21%),32 (0.57),43 (12-0-31 27.91%),28 (0.65)
23,"Vince, Bernie",30y 211d,177 (80-0-97 45.20%),108 (0.61),48 (12-0-36 25.00%),28 (0.58)
7,"Viney, Jack",22y 17d,55 (13-0-42 23.64%),13 (0.24),←,
42,"Wagner, Josh",21y 311d,4 (2-0-2 50.00%),,←,
4,"Watts, Jack",25y 35d,121 (31-2-88 26.45%),97 (0.80),←,
Totals,Totals,24y 87d,1651 (582-12-1057 35.25%),954 (0.58),,
C,"Roos, Paul",52y 308d,252 (130-2-120 51.98%),,50 (14-0-36 28.00%),
