Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
21,"Barry, Leo",26y 103d,120 (66-0-54 55.00%),50 (0.42),←,
6,"Bolton, Craig",23y 91d,51 (31-0-20 60.78%),10 (0.20),22 (14-0-8 63.64%),
24,"Bolton, Jude",23y 168d,89 (44-1-44 50.00%),53 (0.60),←,
8,"Cresswell, Daryn",32y 100d,242 (109-2-131 45.45%),205 (0.85),←,
28,"Crouch, Jared",25y 178d,130 (66-1-63 51.15%),26 (0.20),←,
2,"Davis, Nick",23y 153d,93 (44-0-49 47.31%),114 (1.23),22 (14-0-8 63.64%),29 (1.32)
15,"Doyle, Stephen",22y 48d,18 (10-1-7 58.33%),12 (0.67),←,
12,"Fosdike, Nic",23y 185d,90 (45-1-44 50.56%),44 (0.49),←,
37,"Goodes, Adam",23y 234d,109 (54-1-54 50.00%),134 (1.23),←,
1,"Hall, Barry",26y 203d,127 (54-2-71 43.31%),255 (2.01),39 (20-1-18 52.56%),111 (2.85)
17,"Kennelly, Tadhg",22y 60d,50 (28-0-22 56.00%),17 (0.34),←,
31,"Kirk, Brett",26y 309d,71 (36-1-34 51.41%),35 (0.49),←,
4,"Mathews, Ben",24y 274d,108 (55-1-52 51.39%),19 (0.18),←,
11,"Maxfield, Stuart",31y 143d,258 (128-3-127 50.19%),141 (0.55),169 (93-2-74 55.62%),76 (0.45)
5,"OKeefe, Ryan",22y 218d,42 (23-0-19 54.76%),36 (0.86),←,
19,"OLoughlin, Michael",26y 191d,181 (99-2-80 55.25%),284 (1.57),←,
30,"Roberts-Thomson, Lewis",19y 356d,14 (9-0-5 64.29%),3 (0.21),←,
25,"Schauble, Andrew",26y 286d,151 (64-0-87 42.38%),33 (0.22),72 (37-0-35 51.39%),22 (0.31)
36,"Schneider, Adam",19y 110d,22 (14-0-8 63.64%),30 (1.36),←,
7,"Seymour, Brad",27y 119d,132 (71-2-59 54.55%),12 (0.09),←,
35,"Sundqvist, Jarrad",20y 262d,9 (8-0-1 88.89%),1 (0.11),←,
10,"Williams, Paul",30y 149d,252 (113-3-136 45.44%),287 (1.14),63 (32-1-30 51.59%),64 (1.02)
Totals,Totals,24y 345d,2359 (1171-21-1167 49.64%),1801 (0.76),,
C,"Roos, Paul",40y 64d,32 (20-0-12 62.50%),,←,
