West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),West Coast Games (W-D-L W%),West Coast Goals (Ave.)
32,"Clape, Matt",23y 36d,3 (3-0-0 100.00%),1 (0.33),←,
23,"Harding, Paul",28y 29d,79 (38-2-39 49.37%),9 (0.11),6 (4-1-1 75.00%),
36,"Hart, David",28y 122d,98 (60-1-37 61.73%),76 (0.78),←,
22,"Hynes, David",25y 94d,23 (18-1-4 80.43%),20 (0.87),←,
27,"Jakovich, Glen",19y 101d,29 (19-1-9 67.24%),12 (0.41),←,
2,"Kemp, Dean",23y 137d,60 (42-2-16 71.67%),22 (0.37),←,
5,"Lamb, Dwayne",30y 196d,121 (73-2-46 61.16%),39 (0.32),←,
19,"Langdon, Karl",24y 97d,83 (54-2-27 66.27%),96 (1.16),←,
28,"Lewis, Chris",23y 108d,104 (63-2-39 61.54%),129 (1.24),←,
3,"Mainwaring, Chris",26y 189d,115 (69-2-44 60.87%),49 (0.43),←,
30,"Matera, Peter",23y 91d,43 (31-1-11 73.26%),49 (1.14),←,
11,"McIntosh, Ashley",19y 257d,25 (19-0-6 76.00%),17 (0.68),←,
17,"McKenna, Guy",23y 53d,95 (58-1-36 61.58%),7 (0.07),←,
6,"Peos, Paul",24y 157d,49 (23-2-24 48.98%),27 (0.55),←,
4,"Sumich, Peter",24y 174d,76 (47-2-27 63.16%),282 (3.71),←,
7,"Turley, Craig",26y 314d,70 (44-2-24 64.29%),55 (0.79),←,
39,"Waterman, Chris",23y 288d,63 (39-2-22 63.49%),33 (0.52),←,
13,"Watters, Scott",23y 160d,41 (27-2-12 68.29%),12 (0.29),←,
31,"White, Mitchell",19y 97d,14 (10-1-3 75.00%),2 (0.14),←,
9,"Wilson, Peter",28y 231d,101 (54-0-47 53.47%),89 (0.88),47 (37-0-10 78.72%),50 (1.06)
Totals,Totals,24y 165d,1292 (791-28-473 61.22%),1026 (0.79),,
C,"Malthouse, Mick",38y 321d,201 (114-4-83 57.71%),,66 (47-2-17 72.73%),
