Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
44,"Bail, Rohan",25y 277d,46 (11-1-34 25.00%),17 (0.37),←,
10,"Byrnes, Shannon",29y 357d,127 (81-0-46 63.78%),116 (0.91),19 (2-0-17 10.53%),16 (0.84)
18,"Cross, Daniel",31y,212 (98-3-111 46.93%),33 (0.16),2 (0-0-2 0.00%),
14,"Dunn, Lynden",26y 320d,119 (30-2-87 26.05%),91 (0.76),←,
48,"Fitzpatrick, Jack",22y 277d,16 (1-0-15 6.25%),18 (1.13),←,
8,"Frawley, James",25y 191d,120 (31-1-88 26.25%),3 (0.03),←,
41,"Georgiou, Alex",24y 57d,2 (0-0-2 0.00%),,←,
31,"Grimes, Jack",24y 323d,70 (14-2-54 21.43%),5 (0.07),←,
38,"Howe, Jeremy",23y 274d,58 (11-0-47 18.97%),65 (1.12),←,
45,"Jones, Matt",26y 163d,24 (2-0-22 8.33%),3 (0.13),←,
2,"Jones, Nathan",26y 69d,159 (37-3-119 24.21%),76 (0.48),←,
24,"Kennedy Harris, Jay",19y 9d,2 (0-0-2 0.00%),1 (0.50),←,
25,"McDonald, Tom",21y 193d,41 (7-0-34 17.07%),,←,
22,"Michie, Viv",22y 35d,3 (0-0-3 0.00%),,2 (0-0-2 0.00%),
21,"Pedersen, Cameron",27y 13d,28 (8-0-20 28.57%),25 (0.89),12 (1-0-11 8.33%),5 (0.42)
42,"Spencer, Jake",24y 172d,26 (2-0-24 7.69%),3 (0.12),←,
46,"Terlich, Dean",24y 107d,22 (2-0-20 9.09%),1 (0.05),←,
5,"Toumpas, Jimmy",20y 87d,16 (1-0-15 6.25%),2 (0.13),←,
9,"Trengove, Jack",22y 209d,81 (20-2-59 25.93%),38 (0.47),←,
12,"Tyson, Dom",20y 295d,15 (1-0-14 6.67%),5 (0.33),2 (0-0-2 0.00%),1 (0.50)
23,"Vince, Bernie",28y 179d,131 (68-0-63 51.91%),81 (0.62),2 (0-0-2 0.00%),1 (0.50)
4,"Watts, Jack",23y 4d,75 (18-2-55 25.33%),60 (0.80),←,
Totals,Totals,24y 214d,1393 (443-16-934 31.80%),643 (0.46),,
C,"Roos, Paul",50y 276d,204 (116-2-86 57.35%),,2 (0-0-2 0.00%),
