Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
12,"Akermanis, Jason",23y 81d,103 (56-3-44 55.83%),99 (0.96),65 (33-2-30 52.31%),55 (0.85)
20,"Black, Simon",21y 42d,41 (23-0-18 56.10%),34 (0.83),←,
26,"Bolton, Craig",19y 350d,9 (4-0-5 44.44%),5 (0.56),←,
1,"Champion, Richard",32y 31d,178 (71-3-104 40.73%),79 (0.44),59 (27-1-31 46.61%),42 (0.71)
32,"Hart, Shaun",28y 364d,172 (71-2-99 41.86%),130 (0.76),70 (34-1-35 49.29%),49 (0.70)
31,"Heuskes, Adam",24y 56d,121 (63-2-56 52.89%),10 (0.08),35 (22-0-13 62.86%),3 (0.09)
2,"Johnson, Chris",23y 351d,119 (34-2-83 29.41%),124 (1.04),60 (27-2-31 46.67%),57 (0.95)
41,"Kennedy, Matthew",30y 101d,178 (68-2-108 38.76%),30 (0.17),65 (29-1-35 45.38%),5 (0.08)
18,"Lambert, Craig",31y 223d,213 (78-2-133 37.09%),79 (0.37),41 (21-1-19 52.44%),7 (0.17)
44,"Lappin, Nigel",23y 329d,137 (69-3-65 51.46%),93 (0.68),76 (37-2-37 50.00%),53 (0.70)
23,"Leppitsch, Justin",24y 227d,115 (57-3-55 50.87%),150 (1.30),71 (35-2-34 50.70%),92 (1.30)
11,"Lynch, Alastair",31y 331d,212 (91-2-119 43.40%),339 (1.60),60 (30-2-28 51.67%),77 (1.28)
17,"Martin, Michael",23y 80d,57 (30-1-26 53.51%),18 (0.32),9 (4-0-5 44.44%),
43,"McDonald, Beau",20y 194d,15 (7-0-8 46.67%),3 (0.20),←,
4,"McRae, Craig",26y 236d,106 (55-2-49 52.83%),136 (1.28),67 (34-2-31 52.24%),80 (1.19)
7,"Molloy, Jarrod",24y 3d,106 (36-1-69 34.43%),147 (1.39),47 (28-1-18 60.64%),93 (1.98)
6,"Power, Luke",20y 128d,34 (18-0-16 52.94%),36 (1.06),←,
22,"Scott, Chris",24y 12d,115 (58-2-55 51.30%),50 (0.43),60 (31-1-28 52.50%),27 (0.45)
34,"Shattock, Aaron",20y 13d,6 (3-0-3 50.00%),,←,
13,"Voss, Brett",22y 83d,25 (12-1-12 50.00%),6 (0.24),←,
3,"Voss, Michael",24y 313d,138 (69-1-68 50.36%),112 (0.81),59 (31-0-28 52.54%),40 (0.68)
33,"White, Darryl",26y 338d,166 (75-4-87 46.39%),142 (0.86),76 (36-2-38 48.68%),36 (0.47)
Totals,Totals,24y 343d,2366 (1048-36-1282 44.29%),1822 (0.77),,
C,"Matthews, Leigh",48y 75d,259 (147-5-107 57.72%),,35 (22-0-13 62.86%),
