Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Bowden, Joel",16,7,6,22,1,,,9.0,4.0,3.0,7.0,,2.0,,,10.0,11.0,1.0,,2.0,,,100.0
15,"Cameron, Leon",10,5,2,12,,,,2.0,,6.0,,1.0,,,,2.0,10.0,1.0,,1.0,,,83.0
6,"Chaffey, Mark",12,5,7,19,,,,1.0,4.0,1.0,1.0,2.0,2.0,,,4.0,14.0,,,,1.0,,100.0
24,"Coughlan, Mark",7,2,8,15,,,,6.0,2.0,3.0,5.0,,1.0,,,9.0,6.0,,,2.0,,,89.0
14,"Fiora, Aaron",7,4,5,12,1,1.0,,1.0,1.0,3.0,,1.0,,,,5.0,7.0,,1.0,1.0,1.0,,79.0
19,"Fleming, Tim",7,5,5,12,1,,,5.0,,2.0,1.0,,1.0,,,5.0,8.0,,1.0,,,,80.0
2,"Gaspar, Darren",6,3,4,10,,,,1.0,,,,1.0,,1.0,,3.0,7.0,,,,,,97.0
20,"Hall, Ray",3,,1,4,,,4.0,4.0,,2.0,1.0,1.0,1.0,1.0,,2.0,2.0,,,1.0,,,44.0
1,"Hilton, Rory",5,,,5,,,,2.0,,,2.0,1.0,,1.0,,3.0,3.0,,,,,,41.0
44,"Houlihan, Adam",9,5,2,11,2,1.0,,1.0,,3.0,,3.0,,2.0,,5.0,5.0,1.0,3.0,,,,56.0
28,"Johnson, Kane",11,3,6,17,,,,2.0,3.0,5.0,5.0,,1.0,,,8.0,9.0,,1.0,,,3.0,91.0
39,"Kellaway, Andrew",5,6,10,15,,,,1.0,2.0,,1.0,,1.0,,,5.0,10.0,2.0,,5.0,,,100.0
21,"King, Clinton",3,1,1,4,,,,,,,1.0,,,,,1.0,3.0,,,,,,30.0
27,"Krakouer, Andrew",7,3,,7,3,1.0,,4.0,2.0,1.0,,,1.0,,,2.0,5.0,,1.0,2.0,,,92.0
35,"Newman, Chris",7,2,4,11,,,,,1.0,,2.0,,,,,6.0,5.0,,,3.0,,,95.0
5,"Ottens, Brad",3,4,2,5,2,,10.0,1.0,,,1.0,,,,,3.0,3.0,1.0,2.0,1.0,,,58.0
12,"Richardson, Matthew",15,10,4,19,1,,2.0,1.0,,9.0,,7.0,2.0,2.0,,10.0,7.0,5.0,4.0,1.0,,3.0,100.0
18,"Rodan, David",7,1,5,12,1,3.0,,2.0,1.0,2.0,2.0,2.0,,1.0,,9.0,5.0,,1.0,1.0,,,80.0
4,"Rogers, Matthew",12,5,8,20,,,,3.0,2.0,2.0,2.0,,1.0,,,5.0,15.0,,,,,,91.0
10,"Stafford, Greg",4,2,2,6,,,27.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,,5.0,2.0,1.0,,2.0,,,95.0
32,"Tivendale, Greg",15,6,5,20,1,1.0,,2.0,2.0,4.0,,1.0,,,,7.0,12.0,1.0,,2.0,,1.0,100.0
36,"Zantuck, Ty",7,8,9,16,,,,3.0,3.0,3.0,2.0,,,,,5.0,13.0,1.0,,3.0,,,100.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,178,87,96,274,13,11.0,43.0,52.0,28.0,52.0,37.0,21.0,14.0,9.0,,114.0,162.0,14.0,14.0,27.0,2.0,7.0,
Opposition,Opposition,185,90,104,289,13,14.0,31.0,48.0,36.0,44.0,40.0,37.0,9.0,14.0,6.0,111.0,177.0,10.0,12.0,50.0,21.0,12.0,
