Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
12,"Astbury, David",5,4,4,9,,,,3.0,1.0,,,,1.0,,,5.0,4.0,1.0,,9.0,,,100.0
11,"Batchelor, Jake",5,2,4,9,,,,,2.0,,,1.0,,,,5.0,3.0,1.0,,1.0,,,90.0
25,"Chaplin, Troy",7,4,2,9,,,,2.0,2.0,1.0,,1.0,1.0,1.0,,1.0,9.0,,,,,,90.0
9,"Cotchin, Trent",20,3,14,34,,,,5.0,5.0,8.0,7.0,5.0,1.0,,,13.0,21.0,,,,,1.0,91.0
3,"Deledio, Brett",11,7,13,24,1,,,4.0,6.0,2.0,2.0,3.0,,,,10.0,14.0,1.0,1.0,,,,91.0
10,"Edwards, Shane",9,,9,18,,1.0,,3.0,1.0,4.0,4.0,,,,,10.0,10.0,,,1.0,,1.0,83.0
5,"Ellis, Brandon",5,,2,7,,,,2.0,3.0,1.0,3.0,2.0,,1.0,,4.0,3.0,,,2.0,,,86.0
32,"Ellis, Corey",14,4,6,20,,1.0,,1.0,5.0,2.0,,3.0,1.0,,,2.0,16.0,,,,,,77.0
24,"Griffiths, Ben",5,2,7,12,,,6.0,1.0,,2.0,2.0,,1.0,,,6.0,6.0,1.0,,2.0,,,61.0
6,"Grigg, Shaun",12,3,26,38,,,3.0,4.0,3.0,6.0,9.0,,,,,15.0,22.0,,,,,1.0,87.0
16,"Hampson, Shaun",3,2,5,8,,,51.0,2.0,2.0,1.0,1.0,3.0,,3.0,,4.0,3.0,1.0,,6.0,,,94.0
28,"Hunt, Taylor",12,5,7,19,,,,2.0,5.0,1.0,,1.0,,,,5.0,14.0,,,,,,92.0
23,"Lambert, Kane",7,3,4,11,,2.0,,4.0,1.0,1.0,,,,,,5.0,6.0,,1.0,,,,91.0
27,"Lloyd, Sam",7,4,2,9,1,1.0,,4.0,,,,4.0,,3.0,,2.0,8.0,1.0,1.0,1.0,,,89.0
4,"Martin, Dustin",13,2,9,22,,,,3.0,1.0,3.0,3.0,4.0,1.0,3.0,,12.0,11.0,,,,,,75.0
26,"Miles, Anthony",16,3,15,31,1,,,4.0,1.0,3.0,9.0,2.0,3.0,,,14.0,18.0,,,3.0,,1.0,89.0
38,"Morris, Steven",,,1,1,,,,,,,,,,,,2.0,,,,1.0,,,10.0
18,"Rance, Alex",11,8,6,17,,,,6.0,3.0,,1.0,4.0,1.0,1.0,,10.0,7.0,2.0,,8.0,,,99.0
8,"Riewoldt, Jack",11,6,3,14,2,,1.0,3.0,1.0,3.0,,6.0,2.0,1.0,,6.0,7.0,3.0,1.0,3.0,,,99.0
17,"Rioli, Daniel",6,3,5,11,,,,2.0,1.0,1.0,1.0,4.0,,3.0,,4.0,8.0,,1.0,1.0,,1.0,78.0
29,"Vickery, Ty",6,4,2,8,2,1.0,1.0,3.0,,1.0,1.0,1.0,,1.0,,5.0,3.0,2.0,3.0,3.0,,,93.0
1,"Vlastuin, Nick",3,2,2,5,,,,,1.0,1.0,,2.0,,,,2.0,3.0,,,3.0,,,36.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,6.0,,,,,,,,,,,,,,,,,
Totals,Totals,188,71,148,336,7,12.0,62.0,58.0,44.0,41.0,43.0,46.0,12.0,17.0,,142.0,196.0,13.0,8.0,44.0,,5.0,
Opposition,Opposition,206,72,174,380,18,16.0,28.0,94.0,28.0,72.0,35.0,47.0,17.0,12.0,6.0,157.0,223.0,13.0,14.0,54.0,3.0,12.0,
