St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
29,"Burke, Nathan",21y 124d,84 (31-1-52 37.50%),24 (0.29),←,
15,"Coghlan, Frank",28y 222d,85 (27-1-57 32.35%),28 (0.33),←,
14,"Craven, Danny",24y 38d,15 (8-1-6 56.67%),5 (0.33),←,
2,"Frawley, Danny",27y 275d,155 (44-1-110 28.71%),10 (0.06),←,
6,"Grant, David",24y 307d,124 (38-0-86 30.65%),66 (0.53),←,
10,"Harding, Paul",27y 6d,61 (27-1-33 45.08%),6 (0.10),50 (20-1-29 41.00%),4 (0.08)
35,"Harvey, Robert",19y 293d,45 (19-1-25 43.33%),36 (0.80),←,
58,"Hilton, Jeff",19y 14d,2 (2-0-0 100.00%),2 (1.00),←,
24,"Jeffrey, Russell",25y 124d,39 (14-0-25 35.90%),3 (0.08),←,
9,"Kitschke, Damian",25y 28d,25 (12-1-12 50.00%),13 (0.52),←,
4,"Lockett, Tony",25y 93d,130 (41-0-89 31.54%),580 (4.46),←,
23,"Loewe, Stewart",23y 18d,106 (37-1-68 35.38%),125 (1.18),←,
5,"McAdam, Gilbert",24y 72d,11 (7-1-3 68.18%),11 (1.00),←,
12,"Morris, Russell",29y 9d,104 (78-2-24 75.96%),67 (0.64),11 (7-1-3 68.18%),15 (1.36)
1,"Newport, Stephen",25y 217d,111 (60-1-50 54.50%),58 (0.52),10 (6-1-3 65.00%),
41,"Pekin, Tim",26y 139d,139 (65-1-73 47.12%),30 (0.22),32 (16-1-15 51.56%),15 (0.47)
13,"Ralphsmith, Sean",24y 178d,12 (7-1-4 62.50%),3 (0.25),8 (5-1-2 68.75%),
37,"Rice, Dean",23y 85d,93 (35-1-57 38.17%),29 (0.31),←,
28,"Smith, Rohan",24y 347d,2 (2-0-0 100.00%),,←,
7,"Winmar, Nicky",25y 258d,86 (32-0-54 37.21%),153 (1.78),←,
Totals,Totals,24y 270d,1429 (586-15-828 41.01%),1249 (0.87),,
C,"Sheldon, Ken",31y 161d,33 (16-1-16 50.00%),,←,
