St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
27,"Beveridge, Luke",3,2,,3,1,,,,,1.0,,1.0,,,,,,,,,,,
2,"Brown, Tony",6,2,2,8,,,,,,,2.0,2.0,1.0,1.0,,,,,,,,,
3,"Burke, Nathan",18,8,10,28,,2.0,,7.0,2.0,6.0,9.0,1.0,1.0,,,,,,,,,,
41,"Campbell, Brad",7,1,7,14,,,,,1.0,,3.0,3.0,1.0,,,,,,,,,,
38,"Elliott, Tim",1,1,2,3,,,5.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,
10,"Everitt, Peter",10,5,3,13,,,24.0,,,1.0,3.0,1.0,2.0,,,,,,,,,,
35,"Harvey, Robert",12,1,10,22,,1.0,,3.0,2.0,5.0,9.0,1.0,1.0,,,,,,,,,,
6,"Healy, Daniel",4,3,3,7,1,,,,1.0,2.0,,,,,,,,,,,,,
24,"Heatley, Jason",3,,,3,2,,,2.0,,,,,1.0,,,,,,,,,,
8,"Hudghton, Max",4,1,1,5,,,,,1.0,,,,,,,,,,,,,,
5,"Jones, Austinn",13,3,10,23,,,,,1.0,5.0,5.0,5.0,2.0,1.0,,,,,,,,,
22,"Lappin, Matthew",6,2,3,9,1,,,3.0,1.0,2.0,,1.0,1.0,,,,,,,,,,
23,"Loewe, Stewart",6,4,3,9,1,1.0,11.0,2.0,,2.0,1.0,,2.0,1.0,,,,,,,,,
11,"Mitchell, Gavin",7,5,6,13,2,,,5.0,1.0,,1.0,1.0,2.0,3.0,,,,,,,,,
1,"Peckett, Justin",11,6,5,16,,,,,4.0,3.0,,2.0,1.0,2.0,,,,,,,,,
13,"Sierakowski, David",6,5,6,12,,,4.0,1.0,2.0,,,,,2.0,,,,,,,,,
19,"Sziller, Steven",7,3,8,15,1,,,,5.0,2.0,4.0,,,2.0,,,,,,,,,
29,"Thompson, Andrew",12,3,6,18,,,,4.0,,4.0,2.0,3.0,,1.0,,,,,,,,,
15,"Wakelin, Darryl",3,2,3,6,,,,1.0,,,,,2.0,,,,,,,,,,
12,"Wakelin, Shane",4,1,1,5,1,,,3.0,1.0,,1.0,,1.0,1.0,,,,,,,,,
7,"Winmar, Nicky",9,3,4,13,2,1.0,,2.0,,1.0,2.0,,1.0,1.0,,,,,,,,,
20,"Young, Matthew",16,1,3,19,,,,4.0,7.0,1.0,3.0,,1.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,168,62,96,264,12,7.0,44.0,38.0,30.0,35.0,46.0,21.0,20.0,17.0,,,,,,,,,
Opposition,Opposition,188,55,109,297,22,13.0,35.0,41.0,19.0,55.0,43.0,33.0,17.0,20.0,6.0,,,,,,,,
