North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
15,"Abraham, Winston",12,3,3,15,5,1.0,,,,5.0,2.0,3.0,1.0,1.0,,,,,,,,,
14,"Anderson, Brady",6,1,2,8,,1.0,,,1.0,2.0,1.0,,,,,,,,,,,,
11,"Archer, Glenn",9,6,6,15,,,,3.0,4.0,,,1.0,1.0,1.0,,,,,,,,,
26,"Bell, Peter",13,2,14,27,1,,,2.0,2.0,3.0,4.0,6.0,,1.0,,,,,,,,,
12,"Blakey, John",12,2,5,17,,4.0,,1.0,,7.0,3.0,1.0,1.0,,,,,,,,,,
18,"Carey, Wayne",20,14,6,26,6,2.0,,,,5.0,,5.0,1.0,2.0,2.0,,,,,,,,
9,"Chandler, Brett",4,1,3,7,,,,2.0,,,1.0,,1.0,,,,,,,,,,
6,"Grant, Shannon",9,3,4,13,3,,,1.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,
29,"Harvey, Brent",6,3,7,13,,1.0,,3.0,,3.0,2.0,,2.0,,,,,,,,,,
21,"Hewitt, Evan",,,,,,,1.0,,,,,,,1.0,,,,,,,,,
34,"King, David",20,2,6,26,1,,,6.0,4.0,6.0,2.0,1.0,2.0,2.0,3.0,,,,,,,,
4,"Martyn, Mick",8,1,4,12,,,6.0,,2.0,2.0,1.0,1.0,,,1.0,,,,,,,,
5,"McCartney, Jason",5,2,2,7,,,2.0,1.0,,2.0,2.0,2.0,1.0,,,,,,,,,,
31,"McKernan, Corey",8,5,6,14,3,,20.0,2.0,,5.0,11.0,,2.0,1.0,,,,,,,,,
28,"Pickett, Byron",6,1,5,11,,,,3.0,,1.0,1.0,7.0,2.0,3.0,,,,,,,,,
13,"Pike, Martin",4,,5,9,,,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
22,"Roberts, Mark",13,5,7,20,1,2.0,3.0,2.0,,2.0,,,1.0,2.0,,,,,,,,,
8,"Scott, Robert",7,,3,10,1,,,3.0,1.0,2.0,,,,1.0,,,,,,,,,
24,"Sholl, Craig",5,1,2,7,,1.0,1.0,2.0,,1.0,1.0,,,3.0,,,,,,,,,
37,"Simpson, Adam",8,2,13,21,,,1.0,3.0,2.0,1.0,2.0,1.0,,,,,,,,,,,
10,"Stevens, Anthony",12,1,6,18,1,,,3.0,1.0,3.0,8.0,2.0,,2.0,,,,,,,,,
36,"Watt, Shannon",1,,,1,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,188,55,109,297,22,13.0,35.0,41.0,19.0,55.0,43.0,33.0,17.0,20.0,6.0,,,,,,,,
Opposition,Opposition,168,62,96,264,12,7.0,44.0,38.0,30.0,35.0,46.0,21.0,20.0,17.0,,,,,,,,,
